Application:, Trigno Discover (2.0.1.3)
Date/Time:, 04-Nov-25 15:06:57
Collection Length (seconds):, 2.997
 Hamstrings right (85641), , , , , , , ,  Rectus Femoris right (85844), , , , , , , ,  Gastrocnemius left (85904), , , , , , , , TibilaisÂ Anterior right (85650), , , , , , , ,  Hamstrings left (85586), , , , , , , , TibilaisÂ Anterior left (85605), , , , , , , ,  Rectus Femoris left (85878), , , , , , , ,  Gastrocnemius right (85873)
sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49
EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s)
, 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz
, 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0.0051923, -0.0862745, 0.135, 32.0121956, 0.135, 0, 0.135, 35.7926826, 0.0051923, 0.0179599, 0.135, -13.6585369, 0.135, -17.9878044, 0.135, -57.9268303, 0.0051923, -0.0298772, 0.135, 55.1219521, 0.135, -125.9146347, 0.135, 73.4146347, 0.0051923, -0.0209812, 0.135, 37.5, 0.135, -14.0853662, 0.135, -55.7926826, 0.0051923, 0.0070497, 0.135, 0.8536586, 0.135, -27.4390259, 0.135, -8.3536587, 0.0051923, -0.0673075, 0.135, -81.7682953, 0.135, -73.4756088, 0.135, 23.4756107, 0.0051923, -0.01561, 0.135, -17.8658543, 0.135, -45.3048782, 0.135, 5.9146342, 0.0051923, -0.0003357, 0.135, 41.8902435, 0.135, 14.3292685, 0.135, 43.9024391, , , , , , , , , , , , , , , , , , , , , , 
0.0057115, -0.0575723, 0.1485, 32.4390259, 0.1485, 1.9512196, 0.1485, 59.4512215, 0.0057115, 0.0172885, 0.1485, 0.7317073, 0.1485, 25.9756107, 0.1485, -72.9268341, 0.0057115, -0.0370947, 0.1485, 38.7804871, 0.1485, -106.4634171, 0.1485, 62.0731735, 0.0057115, -0.0162814, 0.1485, 29.3292694, 0.1485, -52.1341476, 0.1485, -65.7317123, 0.0057115, 0.0099031, 0.1485, -0.1829268, 0.1485, -28.2926826, 0.1485, -16.5243912, 0.0057115, -0.0780499, 0.1485, -70.0609741, 0.1485, -46.0365868, 0.1485, 18.0487804, 0.0057115, -0.01561, 0.1485, -18.2926826, 0.1485, -46.2804871, 0.1485, 4.0853658, 0.0057115, 0.0102388, 0.1485, 44.8780479, 0.1485, -19.1463413, 0.1485, 52.3170738, , , , , , , , , , , , , , , , , , , , , , 
0.0062308, -0.0384375, 0.162, 17.8658543, 0.162, 2.2560976, 0.162, 83.0487823, 0.0062308, 0.01561, 0.162, 22.9268303, 0.162, 36.4024391, 0.162, -86.0975647, 0.0062308, -0.0360876, 0.162, 9.2682924, 0.162, -25.2439022, 0.162, 63.4146347, 0.0062308, -0.0129244, 0.162, 22.7439022, 0.162, -71.8902435, 0.162, -69.5121994, 0.0062308, 0.0132601, 0.162, 4.9390244, 0.162, -29.0853672, 0.162, -25.060976, 0.0062308, -0.0726787, 0.162, -66.5853653, 0.162, -2.6829269, 0.162, 11.0365858, 0.0062308, -0.0182956, 0.162, -21.0975609, 0.162, -48.2926826, 0.162, -4.7560978, 0.0062308, 0.0149386, 0.162, 52.9878044, 0.162, -59.8780518, 0.162, 56.7682953, , , , , , , , , , , , , , , , , , , , , , 
0.00675, -0.0258488, 0.1755, 4.6951222, 0.1755, -8.2317076, 0.1755, 92.2561035, 0.00675, 0.0152743, 0.1755, 53.1707344, 0.1755, 17.560976, 0.1755, -90.4268341, 0.00675, -0.0270237, 0.1755, 7.3780489, 0.1755, 16.1585369, 0.1755, 83.3536606, 0.00675, -0.0065461, 0.1755, 14.0243902, 0.1755, -92.9878082, 0.1755, -78.6585388, 0.00675, 0.0159457, 0.1755, 4.7560978, 0.1755, -37.0731697, 0.1755, -30.6097565, 0.00675, -0.0679789, 0.1755, -88.3536606, 0.1755, 23.2926826, 0.1755, 13.7195129, 0.00675, -0.0216526, 0.1755, -22.9268303, 0.1755, -64.5731735, 0.1755, -11.4634151, 0.00675, 0.0062104, 0.1755, 65.3658524, 0.1755, -85.3048782, 0.1755, 59.1463432, , , , , , , , , , , , , , , , , , , , , , 
0.0072692, -0.0162814, 0.189, -16.0365849, 0.189, -20.7926826, 0.189, 91.0365906, 0.0072692, 0.0159457, 0.189, 69.3292694, 0.189, -10.9146347, 0.189, -86.8902435, 0.0072692, -0.0169528, 0.189, 2.0121951, 0.189, 2.195122, 0.189, 104.7561035, 0.0072692, 0.0005035, 0.189, 6.0975609, 0.189, -99.2682953, 0.189, -92.7439041, 0.0072692, 0.0179599, 0.189, 1.3414634, 0.189, -49.2073174, 0.189, -28.4146347, 0.0072692, -0.0676432, 0.189, -102.4390259, 0.189, 29.5121956, 0.189, 15.7317076, 0.0072692, -0.0263523, 0.189, -21.0365868, 0.189, -69.2682953, 0.189, -11.7073174, 0.0072692, -0.0045319, 0.189, 81.0975647, 0.189, -89.9390259, 0.189, 61.5243912, , , , , , , , , , , , , , , , , , , , , , 
0.0077885, -0.0052033, 0.2025, -37.8048782, 0.2025, -35, 0.2025, 87.6219559, 0.0077885, 0.0179599, 0.2025, 74.2682953, 0.2025, -25.3658543, 0.2025, -81.7682953, 0.0077885, -0.0117494, 0.2025, -4.1463413, 0.2025, -3.6585367, 0.2025, 110.9756088, 0.0077885, 0.0041962, 0.2025, -1.7073171, 0.2025, -109.2073212, 0.2025, -109.3902435, 0.0077885, 0.0186313, 0.2025, 0.5487805, 0.2025, -62.8048782, 0.2025, -20.6097565, 0.0077885, -0.0565652, 0.2025, -104.6341476, 0.2025, 26.0975609, 0.2025, 13.1707315, 0.0077885, -0.0297093, 0.2025, -12.0731707, 0.2025, -75.6707306, 0.2025, -9.1463413, 0.0077885, -0.0149386, 0.2025, 91.8292694, 0.2025, -92.5, 0.2025, 66.1585388, , , , , , , , , , , , , , , , , , , , , , 
0.0083077, 0.0046998, 0.216, -60.5487823, 0.216, -49.7560997, 0.216, 91.1585388, 0.0083077, 0.0223239, 0.216, 81.5853653, 0.216, -46.5243912, 0.216, -69.6341476, 0.0083077, -0.0109102, 0.216, 8.719512, 0.216, -2.7439024, 0.216, 94.8780518, 0.0083077, 0.0030213, 0.216, -5.9756098, 0.216, -113.5975647, 0.216, -128.5975647, 0.0083077, 0.0164492, 0.216, 3.0487804, 0.216, -78.2317123, 0.216, -15.8536587, 0.0083077, -0.0297093, 0.216, -101.1585388, 0.216, 18.4756107, 0.216, 12.3170738, 0.0083077, -0.0290379, 0.216, -12.8658543, 0.216, -80, 0.216, -6.4634147, 0.0083077, -0.0260166, 0.216, 102.4390259, 0.216, -78.4756088, 0.216, 72.68293, , , , , , , , , , , , , , , , , , , , , , 
0.0088269, 0.0140993, 0.2295, -70.9146347, 0.2295, -66.8292694, 0.2295, 102.0731735, 0.0088269, 0.0246738, 0.2295, 90.0609741, 0.2295, -51.9512215, 0.2295, -64.6341476, 0.0088269, -0.0105745, 0.2295, 5.7317076, 0.2295, -7.1951222, 0.2295, 77.9878082, 0.0088269, 0.0018463, 0.2295, -1.4634147, 0.2295, -80.8536606, 0.2295, -129.0243988, 0.0088269, 0.0152743, 0.2295, 14.2682934, 0.2295, -91.4024429, 0.2295, -17.7439022, 0.0088269, -0.0015106, 0.2295, -84.2073212, 0.2295, 17.8048782, 0.2295, 8.2317076, 0.0088269, -0.0280308, 0.2295, -24.4512196, 0.2295, -79.3902435, 0.2295, -5.3048782, 0.0088269, -0.0344091, 0.2295, 107.7439041, 0.2295, -73.7195129, 0.2295, 68.2926865, , , , , , , , , , , , , , , , , , , , , , 
0.0093462, 0.0199741, 0.243, -69.5731735, 0.243, -73.7804871, 0.243, 107.1341476, 0.0093462, 0.0240024, 0.243, 105.6097565, 0.243, -81.0365906, 0.243, -61.8292694, 0.0093462, -0.0115816, 0.243, 3.1707318, 0.243, -9.0243902, 0.243, 81.0365906, 0.0093462, 0.0011749, 0.243, 2.7439024, 0.243, -123.4146347, 0.243, -112.5, 0.0093462, 0.0162814, 0.243, 19.2073174, 0.243, -94.6951218, 0.243, -19.6951218, 0.0093462, 0.0379339, 0.243, -80.6097565, 0.243, 7.6219516, 0.243, -0.6707317, 0.0093462, -0.0271916, 0.243, -33.1097565, 0.243, -75.4268341, 0.243, -5.7317076, 0.0093462, -0.0350805, 0.243, 80.4878082, 0.243, -138.7195129, 0.243, 72.9878082, , , , , , , , , , , , , , , , , , , , , , 
0.0098654, 0.0224918, 0.2565, -60.4878044, 0.2565, -78.9024429, 0.2565, 103.6585388, 0.0098654, 0.0226596, 0.2565, 138.7804871, 0.2565, -131.4024353, 0.2565, -61.2804909, 0.0098654, -0.0119173, 0.2565, -5.7926831, 0.2565, -16.2195129, 0.2565, 91.5853653, 0.0098654, -0.002182, 0.2565, 3.5365853, 0.2565, -207.5609741, 0.2565, -99.6341476, 0.0098654, 0.0179599, 0.2565, 29.0243912, 0.2565, -91.7073212, 0.2565, -20.060976, 0.0098654, 0.0636149, 0.2565, -90, 0.2565, -1.402439, 0.2565, -5.7317076, 0.0098654, -0.0223239, 0.2565, -37.1341476, 0.2565, -72.3170776, 0.2565, -2.4390244, 0.0098654, -0.0307164, 0.2565, 57.6219521, 0.2565, -212.7439117, 0.2565, 83.1707306, , , , , , , , , , , , , , , , , , , , , , 
