Application:, Trigno Discover (2.0.1.3)
Date/Time:, 04-Nov-25 15:08:10
Collection Length (seconds):, 2.997
 Hamstrings right (85641), , , , , , , ,  Rectus Femoris right (85844), , , , , , , ,  Gastrocnemius left (85904), , , , , , , , TibilaisÂ Anterior right (85650), , , , , , , ,  Hamstrings left (85586), , , , , , , , TibilaisÂ Anterior left (85605), , , , , , , ,  Rectus Femoris left (85878), , , , , , , ,  Gastrocnemius right (85873)
sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49
EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s)
, 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz
, 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0.0051923, -0.0229953, 0.135, 19.6951218, 0.135, 29.3292694, 0.135, 0.3658537, 0.0051923, 0.0159457, 0.135, -19.0243912, 0.135, 10.6097565, 0.135, -6.2195125, 0.0051923, -0.0330663, 0.135, 5.2439027, 0.135, 7.1341467, 0.135, 24.8170738, 0.0051923, -0.0135958, 0.135, 20.8536587, 0.135, 3.7195122, 0.135, -0.6707317, 0.0051923, -0.0008392, 0.135, -16.9512196, 0.135, 19.5121956, 0.135, -3.1707318, 0.0051923, -0.0159457, 0.135, -25.3658543, 0.135, 7.4390244, 0.135, 11.8292685, 0.0051923, -0.0124208, 0.135, -9.1463413, 0.135, 19.6341476, 0.135, 2.9878049, 0.0051923, 0.0005035, 0.135, -18.9634151, 0.135, 11.9512196, 0.135, 0.1219512, , , , , , , , , , , , , , , , , , , , , , 
0.0057115, -0.0297093, 0.1485, 21.6463413, 0.1485, 28.780489, 0.1485, 1.5243902, 0.0057115, 0.01561, 0.1485, -20.8536587, 0.1485, 7.7439027, 0.1485, -8.9634151, 0.0057115, -0.0330663, 0.1485, 7.3170733, 0.1485, 9.6341467, 0.1485, 33.6585388, 0.0057115, -0.0142672, 0.1485, 20.4878044, 0.1485, -2.5609756, 0.1485, -2.3170731, 0.0057115, -0.0025177, 0.1485, -21.7073174, 0.1485, 22.2560978, 0.1485, -4.4512196, 0.0057115, -0.0151064, 0.1485, -34.4512215, 0.1485, 8.9024391, 0.1485, 12.7439032, 0.0057115, -0.0115816, 0.1485, -1.2804878, 0.1485, 24.0243912, 0.1485, 1.3414634, 0.0057115, 0.0006714, 0.1485, -19.0853672, 0.1485, 11.0975609, 0.1485, 1.2195122, , , , , , , , , , , , , , , , , , , , , , 
0.0062308, -0.0360876, 0.162, 23.5365868, 0.162, 26.5243912, 0.162, 3.4146342, 0.0062308, 0.0172885, 0.162, -21.0365868, 0.162, 7.7439027, 0.162, -10.9756098, 0.0062308, -0.0323949, 0.162, 8.9024391, 0.162, 9.0243902, 0.162, 40.2439041, 0.0062308, -0.0151064, 0.162, 21.1585369, 0.162, 0.5487805, 0.162, -1.8902439, 0.0062308, -0.0041962, 0.162, -31.0975609, 0.162, 28.9024391, 0.162, -6.4024391, 0.0062308, -0.0142672, 0.162, -40.6097565, 0.162, 7.1341467, 0.162, 13.7195129, 0.0062308, -0.0129244, 0.162, 7.2560978, 0.162, 30.4268303, 0.162, 0.1829268, 0.0062308, -0.0010071, 0.162, -19.2073174, 0.162, 14.4512196, 0.162, 0.6097561, , , , , , , , , , , , , , , , , , , , , , 
0.00675, -0.0391089, 0.1755, 25.6097565, 0.1755, 27.4390259, 0.1755, 5.0609756, 0.00675, 0.0172885, 0.1755, -21.4024391, 0.1755, 12.5, 0.1755, -11.5243902, 0.00675, -0.0290379, 0.1755, 11.6463413, 0.1755, 8.5975609, 0.1755, 46.9512215, 0.00675, -0.01561, 0.1755, 23.3536587, 0.1755, 9.5731707, 0.1755, -0.7317073, 0.00675, -0.0062104, 0.1755, -42.1341476, 0.1755, 35.4878044, 0.1755, -6.5853658, 0.00675, -0.0157778, 0.1755, -48.7195129, 0.1755, 9.3902445, 0.1755, 14.8780489, 0.00675, -0.012253, 0.1755, 19.0243912, 0.1755, 38.2926826, 0.1755, -3.2317073, 0.00675, -0.0041962, 0.1755, -21.0365868, 0.1755, 23.6585369, 0.1755, 0.3048781, , , , , , , , , , , , , , , , , , , , , , 
0.0072692, -0.0397803, 0.189, 25.4878063, 0.189, 27.4390259, 0.189, 7.3780489, 0.0072692, 0.0166171, 0.189, -21.1585369, 0.189, 15.7926836, 0.189, -12.9268293, 0.0072692, -0.0243381, 0.189, 13.2926836, 0.189, 4.0243902, 0.189, 55.18293, 0.0072692, -0.0142672, 0.189, 24.8170738, 0.189, 22.560976, 0.189, -3.7195122, 0.0072692, -0.0085603, 0.189, -55.3048782, 0.189, 42.3780479, 0.189, -6.0975609, 0.0072692, -0.0176242, 0.189, -57.7439041, 0.189, 7.4390244, 0.189, 14.2682934, 0.0072692, -0.0109102, 0.189, 24.0853672, 0.189, 41.2804871, 0.189, -5.4878049, 0.0072692, -0.0062104, 0.189, 0, 0.189, 0, 0.189, 0, , , , , , , , , , , , , , , , , , , , , , 
0.0077885, -0.0414588, 0.2025, 24.1463413, 0.2025, 27.4390259, 0.2025, 10.1219511, 0.0077885, 0.0152743, 0.2025, -20, 0.2025, 16.5853653, 0.2025, -15.7317076, 0.0077885, -0.0221561, 0.2025, 10.8536587, 0.2025, -3.9024391, 0.2025, 62.9268303, 0.0077885, -0.0139315, 0.2025, 25.4878063, 0.2025, 32.3170738, 0.2025, -8.1097565, 0.0077885, -0.0085603, 0.2025, -68.6585388, 0.2025, 46.7682953, 0.2025, -7.8048782, 0.0077885, -0.018967, 0.2025, -64.1463394, 0.2025, -2.8658538, 0.2025, 10, 0.0077885, -0.0109102, 0.2025, 31.8902454, 0.2025, 44.4512215, 0.2025, -8.780488, 0.0077885, -0.0048676, 0.2025, 0, 0.2025, 0, 0.2025, 0, , , , , , , , , , , , , , , , , , , , , , 
0.0083077, -0.0433051, 0.216, 25.7317085, 0.216, 28.1707325, 0.216, 12.0731707, 0.0083077, 0.0149386, 0.216, -17.439024, 0.216, 12.1951218, 0.216, -16.4024391, 0.0083077, -0.0226596, 0.216, 8.2926826, 0.216, -14.3292685, 0.216, 69.8780518, 0.0083077, -0.0146029, 0.216, 26.5243912, 0.216, 27.1951218, 0.216, -4.0243902, 0.0083077, -0.0092317, 0.216, -77.68293, 0.216, 46.5243912, 0.216, -11.280488, 0.0083077, -0.0176242, 0.216, -71.4634171, 0.216, -17.1341476, 0.216, 4.8170733, 0.0083077, -0.0109102, 0.216, 40.8536606, 0.216, 49.6951218, 0.216, -5.9756098, 0.0083077, -0.0018463, 0.216, 0, 0.216, 0, 0.216, 0, , , , , , , , , , , , , , , , , , , , , , 
0.0088269, -0.0441444, 0.2295, 26.9512196, 0.2295, 30, 0.2295, 10.6707315, 0.0088269, 0.01561, 0.2295, -17.6219521, 0.2295, 11.4634151, 0.2295, -12.6219511, 0.0088269, -0.0236667, 0.2295, 8.0487804, 0.2295, -29.6341476, 0.2295, 75.3658524, 0.0088269, -0.0139315, 0.2295, 24.7560978, 0.2295, 8.1707315, 0.2295, 0.6097561, 0.0088269, -0.0112459, 0.2295, -80.18293, 0.2295, 44.4512215, 0.2295, -12.9268293, 0.0088269, -0.0151064, 0.2295, -74.8170776, 0.2295, -24.8780499, 0.2295, 2.8658538, 0.0088269, -0.0093996, 0.2295, 55.7317085, 0.2295, 58.9024391, 0.2295, 0.9146342, 0.0088269, 0.0011749, 0.2295, -19.8170738, 0.2295, 20.1219521, 0.2295, 1.2195122, , , , , , , , , , , , , , , , , , , , , , 
0.0093462, -0.0433051, 0.243, 23.2926826, 0.243, 30.9756107, 0.243, 6.7073174, 0.0093462, 0.0159457, 0.243, -15.5487804, 0.243, 12.6219511, 0.243, -8.2317076, 0.0093462, -0.0251774, 0.243, 6.4634147, 0.243, -51.1585388, 0.243, 75.6097565, 0.0093462, -0.012253, 0.243, 22.5, 0.243, -8.2317076, 0.243, 0.4878049, 0.0093462, -0.0117494, 0.243, -78.9024429, 0.243, 37.9878044, 0.243, -12.5, 0.0093462, -0.0149386, 0.243, -77.1341476, 0.243, -37.0121956, 0.243, -1.7073171, 0.0093462, -0.0085603, 0.243, 72.8658524, 0.243, 61.8292694, 0.243, 5.3658538, 0.0093462, 0.002182, 0.243, 0, 0.243, 0, 0.243, 0, , , , , , , , , , , , , , , , , , , , , , 
0.0098654, -0.0391089, 0.2565, 17.9878044, 0.2565, 27.8658543, 0.2565, 2.7439024, 0.0098654, 0.0172885, 0.2565, -13.7195129, 0.2565, 11.4024391, 0.2565, -7.0121951, 0.0098654, -0.0243381, 0.2565, 0.8536586, 0.2565, -65.18293, 0.2565, 69.3902435, 0.0098654, -0.0129244, 0.2565, 23.7195129, 0.2565, -2.6829269, 0.2565, -4.1463413, 0.0098654, -0.0082246, 0.2565, -78.8414688, 0.2565, 24.0853672, 0.2565, -13.0487804, 0.0098654, -0.0159457, 0.2565, -71.8902435, 0.2565, -42.0121956, 0.2565, -8.3536587, 0.0098654, -0.008896, 0.2565, 79.0853653, 0.2565, 55.2439041, 0.2565, 3.8414636, 0.0098654, 0.002182, 0.2565, 0, 0.2565, 0, 0.2565, 0, , , , , , , , , , , , , , , , , , , , , , 
