Application:, Trigno Discover (2.0.1.3)
Date/Time:, 04-Nov-25 15:25:48
Collection Length (seconds):, 2.997
 Hamstrings right (85641), , , , , , , ,  Rectus Femoris right (85844), , , , , , , ,  Gastrocnemius left (85904), , , , , , , , TibilaisÂ Anterior right (85650), , , , , , , ,  Hamstrings left (85586), , , , , , , , TibilaisÂ Anterior left (85605), , , , , , , ,  Rectus Femoris left (85878), , , , , , , ,  Gastrocnemius right (85873)
sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49
EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s)
, 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz
, 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0.0051923, -0.054551, 0.135, -334.3292847, 0.135, 403.1097717, 0.135, 127.1341476, 0.0051923, 0.179263, 0.135, 407.5609741, 0.135, 377.8658752, 0.135, 52.5609779, 0.0051923, -0.0139315, 0.135, -42.8048782, 0.135, -105.7317123, 0.135, -46.1585388, 0.0051923, -0.0146029, 0.135, 1019.8780518, 0.135, -78.3536606, 0.135, 676.8292847, 0.0051923, 0.0597543, 0.135, 113.5365906, 0.135, -197.6219482, 0.135, -37.5, 0.0051923, -0.0287022, 0.135, 54.9390259, 0.135, -92.6219559, 0.135, -44.5731735, 0.0051923, 0.0975204, 0.135, -85.9756088, 0.135, -150.9756165, 0.135, -40.3048782, 0.0051923, -0.0162814, 0.135, -1144.6341553, 0.135, -173.5365906, 0.135, 544.1463623, , , , , , , , , , , , , , , , , , , , , , 
0.0057115, -0.057908, 0.1485, -173.4756165, 0.1485, 273.2926941, 0.1485, -32.1951218, 0.0057115, 0.1868162, 0.1485, 428.6585388, 0.1485, 446.8292847, 0.1485, 127.5, 0.0057115, -0.0213169, 0.1485, -45.9146347, 0.1485, -78.7804871, 0.1485, -46.7073174, 0.0057115, -0.0171206, 0.1485, 1201.8902588, 0.1485, -8.9634151, 0.1485, 806.5853882, 0.0057115, 0.0414588, 0.1485, 112.6219559, 0.1485, -211.7682953, 0.1485, -56.0975609, 0.0057115, -0.0290379, 0.1485, 51.4024391, 0.1485, -59.8170738, 0.1485, -46.7073174, 0.0057115, 0.0998703, 0.1485, -94.0853653, 0.1485, -186.2804871, 0.1485, -17.9268303, 0.0057115, -0.01561, 0.1485, -1310.1219482, 0.1485, -41.0975609, 0.1485, 764.6341553, , , , , , , , , , , , , , , , , , , , , , 
0.0062308, -0.0616007, 0.162, -9.6341467, 0.162, -84.3902435, 0.162, -134.0243988, 0.0062308, 0.1995727, 0.162, -11.9512196, 0.162, 307.1951294, 0.162, 124.4512253, 0.0062308, -0.0253452, 0.162, -47.5609779, 0.162, -70.4878082, 0.162, -35.6097565, 0.0062308, -0.018967, 0.162, 1071.2194824, 0.162, 14.0243902, 0.162, 896.0975952, 0.0062308, 0.0360876, 0.162, 85.18293, 0.162, -178.5365906, 0.162, -83.7804871, 0.0062308, -0.0186313, 0.162, 43.0487823, 0.162, -45.1829262, 0.162, -45.1219521, 0.0062308, 0.0965133, 0.162, -79.8170776, 0.162, -194.9390259, 0.162, 23.2926826, 0.0062308, -0.0132601, 0.162, -1358.963501, 0.162, 552.2561035, 0.162, 632.1951294, , , , , , , , , , , , , , , , , , , , , , 
0.00675, -0.0626078, 0.1755, -49.5121956, 0.1755, -284.3292847, 0.1755, -109.5731735, 0.00675, 0.2133364, 0.1755, -353.4756165, 0.1755, -265.2438965, 0.1755, 33.1707306, 0.00675, -0.0236667, 0.1755, -39.0853653, 0.1755, -92.4390259, 0.1755, -26.3414631, 0.00675, -0.0231632, 0.1755, 511.4024658, 0.1755, 296.5853577, 0.1755, 496.4634399, 0.00675, 0.0506905, 0.1755, 70.7926865, 0.1755, -139.6951294, 0.1755, -102.0121994, 0.00675, -0.0070497, 0.1755, 30.2439022, 0.1755, -44.8170738, 0.1755, -40.3658562, 0.00675, 0.0876173, 0.1755, -72.7439041, 0.1755, -191.8902435, 0.1755, 41.2195129, 0.00675, -0.0104067, 0.1755, -680.8536987, 0.1755, 999.3292847, 0.1755, 122.3170776, , , , , , , , , , , , , , , , , , , , , , 
0.0072692, -0.0614328, 0.189, -142.3780518, 0.189, -160.1829376, 0.189, -171.2195129, 0.0072692, 0.2227359, 0.189, -226.0975647, 0.189, -472.3780518, 0.189, 116.3414688, 0.0072692, -0.0240024, 0.189, -46.7073174, 0.189, -118.6585388, 0.189, -18.5975609, 0.0072692, -0.0310521, 0.189, 570.3658447, 0.189, 702.5, 0.189, 481.6463623, 0.0072692, 0.0800641, 0.189, 84.9390259, 0.189, -112.6219559, 0.189, -101.5243912, 0.0072692, 0.0005035, 0.189, 21.1585369, 0.189, -92.2561035, 0.189, -59.2682953, 0.0072692, 0.0777142, 0.189, -55.1219521, 0.189, -173.0487823, 0.189, 59.2682953, 0.0072692, -0.0068818, 0.189, -484.9390259, 0.189, -257.1341553, 0.189, -74.5731735, , , , , , , , , , , , , , , , , , , , , , 
0.0077885, -0.0589151, 0.2025, -222.86586, 0.2025, -53.7804909, 0.2025, -149.6951294, 0.0077885, 0.2240787, 0.2025, -48.2317085, 0.2025, -289.1463623, 0.2025, 263.9634094, 0.0077885, -0.0340734, 0.2025, -64.8170776, 0.2025, -141.646347, 0.2025, -20.5487804, 0.0077885, -0.0330663, 0.2025, 431.6463623, 0.2025, 475.7926941, 0.2025, 740.3658447, 0.0077885, 0.1122911, 0.2025, 91.0975647, 0.2025, -84.6341476, 0.2025, -88.2926865, 0.0077885, -0.0036927, 0.2025, 22.1951218, 0.2025, -98.4146347, 0.2025, -82.9878082, 0.0077885, 0.0710002, 0.2025, -37.9878044, 0.2025, -98.3536606, 0.2025, 53.7195129, 0.0077885, -0.0041962, 0.2025, -967.6219482, 0.2025, 910.1829224, 0.2025, -70.6707306, , , , , , , , , , , , , , , , , , , , , , 
0.0083077, -0.0565652, 0.216, -458.7195129, 0.216, -420.3049011, 0.216, -122.9878082, 0.0083077, 0.2143435, 0.216, 478.2926941, 0.216, -536.7683105, 0.216, 171.646347, 0.0083077, -0.0411231, 0.216, -73.2926865, 0.216, -148.4146423, 0.216, -27.5, 0.0083077, -0.026688, 0.216, 67.5609741, 0.216, -99.7561035, 0.216, 597.8658447, 0.0083077, 0.1401541, 0.216, 63.841465, 0.216, -17.1341476, 0.216, -64.7560959, 0.0083077, -0.0283665, 0.216, 26.5243912, 0.216, -105.6097565, 0.216, -88.2317123, 0.0083077, 0.0679789, 0.216, -44.9390259, 0.216, -48.0487823, 0.216, 49.3902435, 0.0083077, -0.0005035, 0.216, -525.3048706, 0.216, -92.8048782, 0.216, -235.9146423, , , , , , , , , , , , , , , , , , , , , , 
0.0088269, -0.0542153, 0.2295, -471.5244141, 0.2295, -377.3780518, 0.2295, -88.2317123, 0.0088269, 0.191516, 0.2295, 439.3902588, 0.2295, -432.012207, 0.2295, 250, 0.0088269, -0.04448, 0.2295, -77.9878082, 0.2295, -147.5609741, 0.2295, -17.0731716, 0.0088269, -0.0203098, 0.2295, 96.2195129, 0.2295, -46.7073174, 0.2295, 515, 0.0088269, 0.1596246, 0.2295, 44.0243912, 0.2295, -19.5731716, 0.2295, -42.0731735, 0.0088269, -0.0599222, 0.2295, 20.3048782, 0.2295, -134.3902435, 0.2295, -93.9634171, 0.0088269, 0.068986, 0.2295, -42.6219521, 0.2295, -41.8292694, 0.2295, 48.4756126, 0.0088269, 0.002182, 0.2295, -458.1097717, 0.2295, -658.8414917, 0.2295, -172.1951294, , , , , , , , , , , , , , , , , , , , , , 
0.0093462, -0.0535439, 0.243, -280.2438965, 0.243, 234.3902435, 0.243, -60.3048782, 0.0093462, 0.1589532, 0.243, 264.2683105, 0.243, 137.2561035, 0.243, 305.2438965, 0.0093462, -0.082414, 0.243, -77.0731735, 0.243, -168.5365906, 0.243, 4.8780489, 0.0093462, -0.0172885, 0.243, -120.7317123, 0.243, -252.3780518, 0.243, 194.6951294, 0.0093462, 0.1633173, 0.243, 45.1219521, 0.243, -41.7073174, 0.243, -32.2560997, 0.0093462, -0.0783856, 0.243, 10.4878054, 0.243, -150.5487823, 0.243, -85.7317123, 0.0093462, 0.0730144, 0.243, -45.7317085, 0.243, -69.0853653, 0.243, 25.2439022, 0.0093462, 0.005539, 0.243, -111.7682953, 0.243, -297.1951294, 0.243, -148.0487823, , , , , , , , , , , , , , , , , , , , , , 
0.0098654, -0.0522011, 0.2565, -120.6097565, 0.2565, -127.1341476, 0.2565, -122.0731735, 0.0098654, 0.1230335, 0.2565, 295.7926941, 0.2565, -141.0975647, 0.2565, 186.5243988, 0.0098654, -0.1824521, 0.2565, -53.7195129, 0.2565, -149.6951294, 0.2565, -3.0487804, 0.0098654, -0.0166171, 0.2565, -243.1097565, 0.2565, -32.1341476, 0.2565, 107.3170776, 0.0098654, 0.1428397, 0.2565, 49.7560997, 0.2565, -74.5731735, 0.2565, -14.6341467, 0.0098654, -0.0760357, 0.2565, 6.5243902, 0.2565, -121.4634171, 0.2565, -69.7560959, 0.0098654, 0.0803998, 0.2565, -56.7073174, 0.2565, -61.8292694, 0.2565, -0.9146342, 0.0098654, 0.0075532, 0.2565, -5.1829271, 0.2565, -43.841465, 0.2565, -239.4512177, , , , , , , , , , , , , , , , , , , , , , 
