Application:, Trigno Discover (2.0.1.3)
Date/Time:, 24-09-2025 11:03:44
Collection Length (seconds):, 4.995
 Hamstrings left (85586), , TibilaisÂ Anterior right (85650), ,  Rectus Femoris left (85878), ,  Rectus Femoris right (85844), ,  Hamstrings right (85641), ,  Gastrocnemius left (85904), ,  Gastrocnemius right (85873), , TibilaisÂ Anterior left (85605)
sensor mode: 40, , sensor mode: 40, , sensor mode: 40, , sensor mode: 40, , sensor mode: 40, , sensor mode: 40, , sensor mode: 40, , sensor mode: 40
EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV)
, 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz
, 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0.0083793, -0.0149386, 0.0083793, -0.0115816, 0.0083793, -0.0109102, 0.0083793, 0.0198062, 0.0083793, -0.0280308, 0.0083793, -0.026688, 0.0083793, -0.0001678, 0.0083793, -0.0176242, , , , , , , , , , , , , , , , , , , , , , 
0.0088448, -0.0132601, 0.0088448, -0.0125887, 0.0088448, -0.0109102, 0.0088448, 0.0193027, 0.0088448, -0.0261845, 0.0088448, -0.0270237, 0.0088448, -0.0031891, 0.0088448, -0.0179599, , , , , , , , , , , , , , , , , , , , , , 
0.0093103, -0.0124208, 0.0093103, -0.0139315, 0.0093103, -0.0109102, 0.0093103, 0.0199741, 0.0093103, -0.0250095, 0.0093103, -0.0290379, 0.0093103, -0.005539, 0.0093103, -0.0186313, , , , , , , , , , , , , , , , , , , , , , 
0.0097759, -0.0129244, 0.0097759, -0.0137636, 0.0097759, -0.0109102, 0.0097759, 0.018967, 0.0097759, -0.0246738, 0.0097759, -0.0297093, 0.0097759, -0.0075532, 0.0097759, -0.0182956, , , , , , , , , , , , , , , , , , , , , , 
0.0102414, -0.01561, 0.0102414, -0.0135958, 0.0102414, -0.0109102, 0.0102414, 0.0179599, 0.0102414, -0.0248417, 0.0102414, -0.0276951, 0.0102414, -0.0078889, 0.0102414, -0.0184634, , , , , , , , , , , , , , , , , , , , , , 
0.0107069, -0.0166171, 0.0107069, -0.012253, 0.0107069, -0.0115816, 0.0107069, 0.0182956, 0.0107069, -0.0256809, 0.0107069, -0.0270237, 0.0107069, -0.0072175, 0.0107069, -0.0186313, , , , , , , , , , , , , , , , , , , , , , 
0.0111724, -0.0149386, 0.0111724, -0.0112459, 0.0111724, -0.0109102, 0.0111724, 0.0179599, 0.0111724, -0.0263523, 0.0111724, -0.0280308, 0.0111724, -0.0068818, 0.0111724, -0.0172885, , , , , , , , , , , , , , , , , , , , , , 
0.0116379, -0.0139315, 0.0116379, -0.0102388, 0.0116379, -0.0109102, 0.0116379, 0.0186313, 0.0116379, -0.0263523, 0.0116379, -0.0283665, 0.0116379, -0.0052033, 0.0116379, -0.0162814, , , , , , , , , , , , , , , , , , , , , , 
0.0121034, -0.0142672, 0.0121034, -0.0092317, 0.0121034, -0.0119173, 0.0121034, 0.0196384, 0.0121034, -0.0263523, 0.0121034, -0.0276951, 0.0121034, -0.0025177, 0.0121034, -0.0169528, , , , , , , , , , , , , , , , , , , , , , 
0.012569, -0.0146029, 0.012569, -0.0105745, 0.012569, -0.012253, 0.012569, 0.0186313, 0.012569, -0.0270237, 0.012569, -0.0280308, 0.012569, -0.0001678, 0.012569, -0.0176242, , , , , , , , , , , , , , , , , , , , , , 
0.0130345, -0.0149386, 0.0130345, -0.0119173, 0.0130345, -0.0124208, 0.0130345, 0.0166171, 0.0130345, -0.0283665, 0.0130345, -0.0287022, 0.0130345, 0.0015106, 0.0130345, -0.0176242, , , , , , , , , , , , , , , , , , , , , , 
0.0135, -0.0149386, 0.0135, -0.0129244, 0.0135, -0.0125887, 0.0135, 0.0169528, 0.0135, -0.0287022, 0.0135, -0.0293736, 0.0135, 0.0025177, 0.0135, -0.0179599, , , , , , , , , , , , , , , , , , , , , , 
0.0139655, -0.0146029, 0.0139655, -0.0130922, 0.0139655, -0.0119173, 0.0139655, 0.0179599, 0.0139655, -0.0283665, 0.0139655, -0.0293736, 0.0139655, 0.0031891, 0.0139655, -0.0182956, , , , , , , , , , , , , , , , , , , , , , 
0.014431, -0.0142672, 0.014431, -0.011078, 0.014431, -0.011078, 0.014431, 0.0182956, 0.014431, -0.0270237, 0.014431, -0.0290379, 0.014431, 0.0035248, 0.014431, -0.0176242, , , , , , , , , , , , , , , , , , , , , , 
0.0148966, -0.0135958, 0.0148966, -0.0104067, 0.0148966, -0.0095674, 0.0148966, 0.0193027, 0.0148966, -0.0273594, 0.0148966, -0.0276951, 0.0148966, 0.0052033, 0.0148966, -0.0169528, , , , , , , , , , , , , , , , , , , , , , 
