Time,Rectus Femoris right,Rectus Femoris left,Hamstrings right,Hamstrings left,TibilaisÂ Anterior right,TibilaisÂ Anterior left,Gastrocnemius right,Gastrocnemius left
0.0,0.015117930417795522,0.005308460318406405,0.04377770291355103,-0.009949207936318719,-0.02496339206368128,-0.019371861904478076,0.01165643861866691,-0.03002194603184064
0.0004655,0.015264100949342616,0.0023859202683551906,0.049768866487111485,-0.010533715946328962,-0.02437888405367104,-0.020248623919493444,-0.004417444598525699,-0.02972969202683552
0.000931,0.017028781153278164,0.0007716639914559838,0.04679212412656242,-0.010884874625529223,-0.02358227873185352,-0.020947429480795074,-0.022142267498605577,-0.03025511063407324
0.0013966,0.018565357036915232,-0.0012899922441667688,0.03430500961367296,-0.01039213099021441,-0.02190091197287036,-0.020135023945740717,-0.030834342494845606,-0.031401652108518564
0.0018621,0.018695944847531457,-0.0020382154538674006,0.021315351215158082,-0.0109981359089779,-0.02038893969860114,-0.01870391666548726,-0.03525791536383978,-0.03050381027256906
0.0023276,0.01861120120783677,0.0003084915451426192,0.010381657924110086,-0.011702192752979387,-0.021182181934503278,-0.01748350845485738,-0.03793693673982295,-0.02933340241567354
0.0027931,0.018979529356479292,0.001355003795076914,-0.002619154342126064,-0.013413415216292569,-0.02283343911683727,-0.016003839134829723,-0.041782196204923086,-0.02851981521629257
0.0032586,0.01847312238648837,0.002959364231980695,-0.021640619854774987,-0.014225429294775254,-0.027277396058469336,-0.013201849656573362,-0.04142747197108144,-0.027715985352612375
0.0037241,0.02017227684094272,0.0024981978072800386,-0.04243829926473674,-0.013611497857627775,-0.02759327611874928,-0.013238450703554483,-0.038945923209405015,-0.0280308
0.0041897,0.019941280845554306,0.0006146579246212385,-0.05602980951738663,-0.014201561691108608,-0.027826376617782787,-0.013530161691108607,-0.03483574900779405,-0.02984808507332582
0.0046552,0.021222089933710848,-0.004958105168691157,-0.064399634965866,-0.014827417482932998,-0.02281215929355597,-0.014638840134557156,-0.028853716509353512,-0.031649378321955336
0.0051207,0.023080252821169225,-0.008245742035474759,-0.06268436838111868,-0.013969784190559335,-0.018809955754514655,-0.01621121041659343,-0.026137835170819017,-0.03107762279370622
0.0055862,0.024154033243001673,-0.007769700270994983,-0.04971852655853242,-0.013614748509216325,-0.015680341824747073,-0.01702583486928284,-0.030345731074730542,-0.030115341824747073
0.0060517,0.02533600215142857,-0.005368910607204139,-0.04608937955271415,-0.013738290365646196,-0.013614201178578237,-0.017155212964360615,-0.03579765992833992,-0.029171187035639385
0.0065172,0.025184577328525765,-0.0041962,-0.04664844475352368,-0.013663216811214495,-0.013676111335737116,-0.01632155566786856,-0.04059942814695161,-0.02807095566786856
0.0069828,0.022449978700629872,-0.005022504154992127,-0.031172635535892217,-0.013325028701169299,-0.0142672,-0.016066235535892214,-0.04030146423706151,-0.028566814350584648
0.0074483,0.023387336841637386,-0.0046558410516022485,-0.009635004209964862,-0.012403900625698882,-0.014222130526690092,-0.018374471578292337,-0.04372750737188334,-0.028438625691026346
0.0079138,0.023331,-0.005982666711961825,0.0005875828527439687,-0.012259657050197131,-0.013300054202941185,-0.02055227352647057,-0.04898003295254688,-0.027406015220391114
0.0083793,0.024208007369015048,-0.007504278948358412,0.00042242842065663504,-0.012253,-0.012383092630984952,-0.021522507369015047,-0.044210178658032895,-0.026190056841313272
0.0088448,0.024895370663252234,-0.007973515459154916,-0.011444644795902681,-0.011951535401282395,-0.013015703469398213,-0.020485718928553127,-0.03256805709193347,-0.025874923272213135
0.0093103,0.02491221648594838,-0.00813367916421217,-0.038646721341741415,-0.010497616321795388,-0.013946653472631305,-0.02058488610947478,-0.024964039582106086,-0.02574151389052522
0.0097759,0.022496004500301384,-0.009381221335195256,-0.0758720941363124,-0.009602191910986983,-0.014381929424208273,-0.023318791254119144,-0.013733102225325425,-0.02798937487102173
0.0102414,0.02258004888725656,-0.013665075692668043,-0.09415562125239788,-0.009660211935474424,-0.01721557633641295,-0.02675314491598492,0.0099031,-0.025733935391699672
0.0107069,0.024547328774479016,-0.018404898455032036,-0.07886182590949903,-0.008679747023074173,-0.02148396890860117,-0.028225976183529115,0.03126679288715631,-0.027051805181899806
0.0111724,0.02518228849021803,-0.024462403898307034,-0.03680954273629937,-0.008678636335894815,-0.021947534244136684,-0.02600304128008091,0.03551522732821037,-0.027237164649975294
0.0116379,0.024670101828629203,-0.027765949389604527,0.019419484973212702,-0.009665823388912954,-0.02001179276951702,-0.023239028832783646,0.03115463323117455,-0.02813385953834247
0.0121034,0.026987229281736667,-0.025323667217077173,0.08056636869608949,-0.00912228784521,-0.017814017126946666,-0.022291216481591918,0.018482103407034746,-0.027177046408683334
0.012569,0.026580091661193548,-0.01917079719850537,0.09948657729385585,-0.008080722214924731,-0.016509191661193547,-0.020339754349335507,0.011731420634245137,-0.02542911387611828
