Time,Rectus Femoris right,Rectus Femoris left,Hamstrings right,Hamstrings left,TibilaisÂ Anterior right,TibilaisÂ Anterior left,Gastrocnemius right,Gastrocnemius left
0.0,0.01787065626559183,-0.0055156530704285976,-0.0260399469295714,-0.012946704287509221,-0.008828031203224512,-0.014736765601612257,-0.005158678132795915,-0.02686855946075506
0.0004655,0.017676055197616496,-0.006334859889226815,-0.027421629944613408,-0.01437091657435568,-0.011706059889226815,-0.016530319778453633,-0.004511156685128864,-0.029730043314871137
0.000931,0.018427578469814573,-0.008138623205315195,-0.028323511602657597,-0.015874052671095994,-0.013509823205315194,-0.020137846410630388,-0.0042105294657808,-0.0300306705342192
0.0013966,0.02007665558719484,-0.00791820284332395,-0.0283665,-0.015448829997279302,-0.01187206303678867,-0.023199141569481215,-0.0028240971566760513,-0.0293149943133521
0.0018621,0.02116578762184302,-0.008258176355007488,-0.0283665,-0.013750543084268926,-0.00789449661482864,-0.02186330256462662,-0.002532622824447772,-0.028705930706111944
0.0023276,0.020429539884664935,-0.008842009971166234,-0.028943421470246065,-0.014105229913498702,-0.0007312279837427794,-0.018546118702756534,-0.0019002900288337661,-0.028567224927915587
0.0027931,0.020674269855277285,-0.009715159044357241,-0.02932756548895813,-0.014455140955642761,0.006497189189079955,-0.01635620608044304,-0.0034845198028383637,-0.028974602547317426
0.0032586,0.020387709231912035,-0.009654735585472063,-0.02899634020142808,-0.013628023846010995,0.009731164813669983,-0.01615250461595602,-0.0073329338441539375,-0.02910234769202199
0.0037241,0.02005633133860551,-0.008998795297127795,-0.0292058,-0.012417462677211014,0.004812935039541303,-0.01760698561200852,-0.009680395017752929,-0.027564978346513766
0.0041897,0.0193776885345838,-0.008603806407886558,-0.02880288613162634,-0.013504892791127621,-0.005487704805914919,-0.02136039228789818,-0.009640498398028361,-0.026111401601971642
0.0046552,0.02006150954225757,-0.007261204771128785,-0.028644557059840932,-0.01569740954225757,-0.023972633397901493,-0.02416328091548486,-0.008159049352805054,-0.025790168437320193
0.0051207,0.020964891003135817,-0.00819198200627164,-0.02793294601881492,-0.014684444984320902,-0.029849292037629836,-0.025550428025086558,-0.00564501090872007,-0.0265202
0.0055862,0.020321388075296053,-0.009474667774090938,-0.02774146611295453,-0.013769218604659142,-0.021675783056477268,-0.023898530564772653,-0.002575210228157974,-0.027706694981181213
0.0060517,0.019618600444593858,-0.010219000444593857,-0.028006050555742325,-0.014242450555742324,-0.013635399110812284,-0.01826095077803925,-0.0008787991108122841,-0.026539999555406143
0.0065172,0.020261783562655723,-0.009519383562655723,-0.029133932874688552,-0.014315216437344278,-0.013943665215885349,-0.01415915944013107,0.0018107063092460411,-0.0250095
0.0069828,0.019605477431382058,-0.008896,-0.03029181004544555,-0.014925430972552823,-0.01629456902744718,-0.012753208723852195,0.005710191276147805,-0.024996330972552824
0.0074483,0.018325675755120507,-0.008682225251706836,-0.030833897316310754,-0.013372264318586536,-0.014399691247155275,-0.01217171649886211,0.009322732327689655,-0.026433583501137888
0.0079138,0.01752748333723673,-0.009137791656908173,-0.03306349168032856,-0.010577308319671443,-0.008345503031065255,-0.012346908343091826,0.008412416686183652,-0.02741056665105308
0.0083793,0.01889620036149843,-0.008577999909625392,-0.036900000994120684,-0.008966799638501569,-0.00695259963850157,-0.013224700180749215,0.0076239996385015696,-0.024797699367377746
0.0088448,0.01908792347806063,-0.008596096086989894,-0.03870160782602021,-0.010699780972905653,-0.011650737391838315,-0.013709911201074138,0.006639953043878736,-0.023809884347959578
0.0093103,0.01749512701850447,-0.008896,-0.037422882653485305,-0.012029826778762697,-0.01643444532375631,-0.013215818385242413,0.009840309432248003,-0.0250095
0.0097759,0.017204188669449803,-0.009320426967478411,-0.03503171647426022,-0.011537232111188433,-0.020280224344173862,-0.012110260018897923,0.020808884363071788,-0.02570010786991364
0.0102414,0.017442715778334884,-0.009438886851387596,-0.03146803951638294,-0.011788786851387597,-0.015248597370277518,-0.014008607889167442,0.02792798948111008,-0.023873150116369583
0.0107069,0.018929661411258774,-0.0092317,-0.028813868467552645,-0.013484131532447353,-0.005911691290070195,-0.0162814,0.01769922447615348,-0.024674147298671033
0.0111724,0.018862870719831174,-0.009417163359212144,-0.0263523,-0.013526380479887449,-0.00600192779071962,-0.016107851199718623,-0.005504290239943724,-0.025252468320393927
0.0116379,0.018389677005321594,-0.011125088502660797,-0.02229031974636429,-0.012570125682023548,-0.0136260028743348,-0.015730811497339202,-0.019151685628325997,-0.025969611497339205
0.0121034,0.01900191727746247,-0.011321095680634382,-0.02001704776619335,-0.012065010798414044,-0.019266398041026808,-0.016657378403171913,-0.018615176042779485,-0.02531028272253753
0.012569,0.02028525141010057,-0.010918382863299811,-0.01832014858989943,-0.01290803427340038,-0.01929860734957391,-0.01759146854680076,-0.00994396179536898,-0.023699431453199242
0.0130345,0.019494506257004964,-0.011125995691469135,-0.017672095691469134,-0.01172544167600662,-0.019782331522053453,-0.01810374167600662,-0.00515538748599007,-0.024721816647986762
0.0135,0.018793119527615816,-0.010426921415500397,-0.01780234046907988,-0.01105995858284745,-0.02326642322855931,-0.016710070708576275,-0.0071245292914237255,-0.027205752994019373
0.0139655,0.01837427540797777,-0.009389050815955539,-0.01651742622393331,-0.01101510054397036,-0.025943247008163025,-0.01597192513599259,-0.02077139891205928,-0.02748529891205928
0.014431,0.017792,-0.009574992882078028,-0.017684924967566268,-0.011642324967566267,-0.025377279684433145,-0.016693006209457836,-0.03775091875810843,-0.0273594
0.0148966,0.01793275002308889,-0.009922959709564697,-0.01938924308137951,-0.012783649976911112,-0.01892008332563704,-0.018248683325637036,-0.03748904234901013,-0.02738285833718148
0.0153621,0.01793721268610308,-0.0092317,-0.02205635856258532,-0.012634074627793838,-0.013629830970845379,-0.016862050744412323,-0.026770820883333834,-0.02706907462779384
0.0158276,0.01904665591474783,-0.008254722305736518,-0.026292055388526962,-0.011000566917209553,-0.015033321554107859,-0.013933631804940923,-0.0162814,-0.025850931804940924
0.0162931,0.01988192383239231,-0.009011227073984412,-0.027984711916196156,-0.011443335748588464,-0.020658583413373083,-0.012660954910550014,-0.010502245089449986,-0.027649011916196155
0.0167586,0.01981643734723473,-0.008580768597181054,-0.028503694055584217,-0.013472988416913677,-0.022242031708564192,-0.013575331402818946,-0.014316339639465245,-0.029586488416913678
0.0172241,0.018746197059249264,-0.007482463528900882,-0.027938225482584254,-0.014368765695163542,-0.013874008047764131,-0.013829847459613983,-0.021714332138573798,-0.03011573647109912
