Time,Rectus Femoris right,Rectus Femoris left,Hamstrings right,Hamstrings left,TibilaisÂ Anterior right,Gastrocnemius right,Gastrocnemius left
0.0,-0.0008747993617422755,-0.0028957886129588914,0.0019026151137928485,0.0008956487675231007,0.0005791376149807635,-0.011100900217149448,0.00043698721675278614
0.0004655,-0.0008339860758926728,-0.0027669081350223403,0.001932234002561868,0.0008994111085440195,0.0006029515174674424,-0.010868979437302731,0.0005251379386777355
0.000931,-0.0007932264409665744,-0.0026383592200672212,0.001961809952372341,0.0009031704243049011,0.0006267504941619564,-0.010637294849165133,0.0006125444383619335
0.0013966,-0.0007525259971986065,-0.0025101595265798336,0.0019913385281776935,0.0009069262075889479,0.0006505313207471334,-0.01040587435515079,0.0006991870399503977
0.0018621,-0.0007118902672815934,-0.00238232662353014,0.002020815298185666,0.0009106779543506032,0.0006742907791136256,-0.01017474575512528,0.0007850461967166857
0.0023276,-0.0006713247544820431,-0.002254877984835583,0.002050235835192225,0.0009144251639814612,0.0006980256584939994,-0.009943936738058703,0.0008701024986067669
0.0027931,-0.000630834940767088,-0.0021278309838742315,0.002079595717914327,0.0009181673395771376,0.0007217327565939274,-0.009713474873761197,0.0009543366797925404
0.0032586,-0.0005904262849446934,-0.0020012028880508712,0.0021088905323207174,0.0009219039882048956,0.0007454088807194426,-0.009483387604706794,0.0010377296262321966
0.0037241,-0.0005501042208188404,-0.0018750108534196087,0.002138115872959966,0.0009256346211718155,0.0007690508488992407,-0.00925370223795113,0.001120262383234629
0.0041897,-0.0005098741553612574,-0.0017492719193664679,0.002167267344284934,0.0009293587542932928,0.0007926554910010524,-0.009024445937148214,0.0012019161630251135
0.0046552,-0.00046974146690112684,-0.0016240030033553999,0.002196340561972876,0.0009330759081616492,0.0008162196498411479,-0.00879564571467109,0.0012826723523094872
0.0051207,-0.00042971150333403677,-0.001499220895741033,0.002225331154240364,0.0009367856084146432,0.000839740182286089,-0.00856732842384085,0.0013625125198340805
0.0055862,-0.0003897895803513128,-0.0013749422546514172,0.0022542347631522427,0.0009404873860036687,0.0008632139603459058,-0.008339520751268276,0.0014414184239386644
0.0060517,-0.00034998097969074694,-0.0012511836009439334,0.0022830470459238275,0.0009441807774614426,0.0008866378722579412,-0.008112249209312096,0.001519372020099697
0.0065172,-0.00031029094740964283,-0.001127961313237443,0.002311763676215576,0.0009478653251689861,0.0009100088235606625,-0.007885540128657692,0.0015963554684611607
0.0069828,-0.0002707246921810043,-0.00100529162302365,0.0023403803454194985,0.0009515405776217089,0.000933323738156795,-0.007659419651019809,0.0016723511413503022
0.0074483,-0.00023128738361360792,-0.0008831906098605141,0.002368892763936615,0.0009552060896944031,0.0009565795593651817,-0.00743391372197262,0.00174734163077561
0.0079138,-0.0001919841505966219,-0.0007616741966503905,0.0023972966624447984,0.0009588614229049582,0.0009797732509608079,-0.007209048083910258,0.0018213097559044112
0.0083793,-0.00015282007966936514,-0.000640758145005409,0.00242558779315639,0.0009625061456765987,0.0010029017982024603,-0.0069848482691406396,0.0018942385705175227
0.0088448,-0.0001138002134167457,-0.0005204580507024392,0.002453761931064983,0.0009661398335984407,0.0010259622088475053,-0.006761339593115101,0.0019661113704384633
0.0093103,-7.492954889087695e-05,-0.0004007893392298257,0.0024818148751807735,0.0009697620696841622,0.0010489515141532861,-0.006538547147796075,0.002036911700934823
0.0097759,-3.621303605933781e-05,-0.00028176726142794406,0.00250974244975387,0.0009733724446285784,0.0010718667698646543,-0.006316495795164759,0.0021066233640894606
0.0102414,2.3444237194809158e-06,-0.0001634068892254997,0.002537540505484945,0.0009769705570619137,0.001094705057187165,-0.006095210160870543,0.002175230426139281
0.0107069,4.073797919352083e-05,-4.5723111473380286e-05,0.0025652049207225834,0.0009805560138015658,0.0011174634837454796,-0.005874714628023803,0.002242717224779387
0.0111724,7.896283068628446e-05,7.126937012221829e-05,0.002592731602646682,0.0009841284301011625,0.0011401391845265328,-0.005655033331133511,0.002309068376430427
0.0116379,0.00011701423153775896,0.0001875560449657444,0.0026201164884372286,0.000987687429896711,0.0011627293228070239,-0.00543619015019103,0.0023742687834669837
0.0121034,0.00015488748951666498,0.0003031225974357314,0.0026473555464277686,0.0009912326460496494,0.001185231091064804,-0.00521820870490127,0.0024383036414048504
0.012569,0.00019257796820367826,0.000417954910644201,0.002674444777242869,0.0009947637205866122,0.0012076417118737374,-0.005001112349062229,0.002501158446045079
0.0130345,0.00023008108834528864,0.0005320390700906013,0.002701380214918854,0.000998280304935734,0.0012299584387816325,-0.004784924165093772,0.0025628190005727164
0.0135,0.00026739232917797256,0.0006453613672089973,0.002728157928007096,0.001001782060159329,0.001252178557170857,-0.004569666958716304,0.0026232714226082153
0.0139655,0.0003045072297223642,0.0007579083028074242,0.002754774020659127,0.0010052686571827931,0.001274299385101279,-0.004355363253779841,0.0026825021512095846
0.014431,0.0003414213900471154,0.0008696665903985277,0.002781224633692833,0.0010087397770195921,0.0012963182741351992,-0.004142035287243888,0.0027404979538234162
0.0148966,0.00037813047250213417,0.0009806231594208313,0.0028075059456389865,0.0010121951109922018,0.0013182326101439552,-0.003929705004308412,0.0027972459331830003
0.0153621,0.00041463020292089486,0.0010907651583501642,0.0028336141737673767,0.0010156343609488718,0.0013400398140958937,-0.003718394053696125,0.002852733534151791
0.0158276,0.0004509163717915101,0.001200079957700938,0.0028595455750917765,0.0010190572394760875,0.0013617373428254208,-0.003508123783086218,0.002906948550510515
