Time,Rectus Femoris right,Rectus Femoris left,Hamstrings right,Hamstrings left,TibilaisÂ Anterior right,Gastrocnemius right,Gastrocnemius left
0.0,-0.00015247448353596972,-0.001350900071599443,0.0038328555527065,0.0060336191567894205,0.010523434380959411,-0.004670298418910392,0.013019968869492195
0.0004655,-5.818982638501684e-05,-0.0011403805144335822,0.0039393448764453,0.006191798689984532,0.010609518298920607,-0.004526511050566161,0.01342196606497528
0.000931,3.563958241744718e-05,-0.0009307080463189042,0.004047291060664419,0.006351289512003885,0.010695110161821687,-0.0043831799666788785,0.013822667499389117
0.0013966,0.00012899958114896633,-0.000721916489095112,0.004156698038974559,0.006512075928564701,0.010780195835046856,-0.004240324371429299,0.01422201526878575
0.0018621,0.00022187613844948734,-0.0005140394759654026,0.00426756957059939,0.006674141837942431,0.010864761330822904,-0.0040979633086491215,0.014619951862424605
0.0023276,0.00031425535864735405,-0.000307110439778232,0.0043799092386503325,0.006837470732172433,0.010948792814389485,-0.003956115654654881,0.01501642018418759
0.0027931,0.00040612348704456775,-0.00010116260137919973,0.004493720448418293,0.007002045698384076,0.011032276610128957,-0.0038148001111456484,0.015411363573836856
0.0032586,0.0004974669151581984,0.00010377104195824487,0.004609006425682029,0.007167849420267793,0.011115199207650299,-0.0036740351981695103,0.01580472582809696
0.0037241,0.0005882721859148654,0.0003076577280147504,0.004725770215032839,0.0073348641796755,0.01119754726782163,-0.00353383924716365,0.016196451221543322
0.0041897,0.0006785259987952293,0.0005104649410113181,0.004844014678215269,0.0075030718583548265,0.011279307628745848,-0.003394230394072653,0.01658648452727928
0.0046552,0.0007682152149254479,0.0007121604228917269,0.004963742492483557,0.00767245393981754,0.011360467311674095,-0.003255226572549461,0.016974771037384602
0.0051207,0.0008573268621125583,0.0009127121844932658,0.005084956148973552,0.007842991511342516,0.011441013526851741,-0.003116845507243209,0.017361256583119083
0.0055862,0.0009458481398207527,0.0011120885165982512,0.005207657951089863,0.008014665266113554,0.011520933679291788,-0.002979104707177961,0.017745887554865943
0.0060517,0.0010337664240855301,0.0013102580008591868,0.005331850012907998,0.008187455505492288,0.01160021537447069,-0.0028420214592261867,0.01812861092180059
0.0065172,0.0011210692723627074,0.0015071895205908256,0.005457534257591288,0.008361342141426385,0.011678846423941557,-0.002705612821680616,0.01850937425127145
0.0069828,0.0012077444283092968,0.0017028522714227783,0.0055847124158223726,0.008536304698993176,0.01175681485085989,-0.0025698956179279445,0.01888812572788027
0.0074483,0.0012937798264932665,0.0018972157718066926,0.005713386024249045,0.00871232231907879,0.01183410889541699,-0.002434886430227686,0.019264814172249838
0.0079138,0.0013791635970292343,0.0020902498733723594,0.005843556423944238,0.008889373761192811,0.011910717020176298,-0.0023006015935992797,0.019639389059467403
0.0083793,0.0014638840701372104,0.0022819247711273836,0.005975224758879949,0.009067437406418419,0.011986627915307989,-0.0021670571898203582,0.020011800537192252
0.0088448,0.0015479297806215934,0.002472211013495288,0.006108391974414861,0.009246491260497888,0.012061830503717206,-0.0020342690415388926,0.02038199944341651
0.0093103,0.0016312894722677453,0.002661079512187104,0.006243058815795397,0.009426512957053237,0.012136313946061433,-0.0019022527065016936,0.02074993732386893
0.0097759,0.0017139521021535995,0.0028485015519016913,0.0063792258266699,0.009607479760941819,0.012210067645652732,-0.0017710234719015437,0.021115566449052495
0.0102414,0.001795906844873879,0.0030344487998502363,0.006516893347615625,0.009789368571746511,0.012283081253240792,-0.0016405963488450143,0.021478839830907773
0.0107069,0.0018771430966746014,0.0032188933151006643,0.006656061514678208,0.00997215592740019,0.012355344671673036,-0.0015109860669428057,0.02183971123909509
0.0111724,0.0019576504794956142,0.0034018075577380152,0.006796730257923253,0.010155818007944076,0.01242684806042831,-0.001382207069024238,0.02219813521688932
0.0116379,0.0020374188449189556,0.0035831643978372235,0.006938899299999699,0.01034033063941959,0.012497581840021118,-0.0012542735059773425,0.022554067096681753
0.0121034,0.002116438278020847,0.0037629371242451507,0.0070825681547146,0.010525669297893258,0.012567536696273933,-0.0011271992317158277,0.02290746301508357
0.012569,0.00219469910112514,0.003941099453169146,0.007227736125618939,0.010711809113614303,0.012636703584455917,-0.0010009977982740894,0.02325827992762567
0.0130345,0.0022721918774560607,0.004117625536569783,0.0073744023046040386,0.010898724875304477,0.012705073733286755,-0.0008756824510313347,0.0236064756230495
0.0135,0.002348907414688109,0.004292489970355741,0.007522565570508112,0.011086391034579701,0.01277263864880483,-0.0007512661240658419,0.02395200873718335
0.0139655,0.002424836768391031,0.004465667802379032,0.007672224587732448,0.011274781710503081,0.012839390118099097,-0.0006277614356403401,0.024294838766398655
0.014431,0.0024999712453678477,0.004637134540228884,0.007823377804866704,0.011463870694268758,0.012905320212903994,-0.0005051806838194518,0.02463492608064073
0.0148966,0.0025743024068839975,0.004806866158822699,0.007976023453322774,0.011653631454016072,0.012970421293056773,-0.00038353584222009906,0.024972231936028405
0.0153621,0.002647822071785741,0.004974839107792475,0.008130159545976647,0.01184403713977338,0.013034686009816495,-0.0002628385558957156,0.025306718487017342
0.0158276,0.002720522319506009,0.005141030318665166,0.008285783875817703,0.01203506058853082,0.013098107309043924,-0.0001431001373550426,0.02563834879812208
0.0162931,0.002792395492955896,0.005305417211835406,0.00844289401460481,0.01222667432944127,0.013160678434241445,-2.4331562716208243e-05,0.025967086855192587
0.0167586,0.00286343420130002,0.005467977703329142,0.008601487311528593,0.012418850589148628,0.01322239292945226,9.345653200329101e-05,0.026292897576241685
