Time,Rectus Femoris right,Rectus Femoris left,Hamstrings right,Hamstrings left,TibilaisÂ Anterior right,TibilaisÂ Anterior left,Gastrocnemius left
0.0,-0.03162087789041389,0.010492569882771707,-0.01562954585883164,-0.0005076520735237331,0.0124806662633816,-0.006824974437448592,-0.0002368981459531512
0.0004655,-0.030701793186828513,0.01063483059209385,-0.014343380813491445,-0.0004029828468909019,0.014689693379637471,-0.006552819242670147,-3.7869584181540225e-05
0.000931,-0.029784313165214876,0.010777309920772722,-0.013050521346318218,-0.00029855338482142143,0.01692013208672533,-0.006280021953732586,0.0001617543795412135
0.0013966,-0.028868562259675885,0.010919989051357677,-0.01175109927576087,-0.00019437859971723802,0.01917184169534556,-0.006006609663332185,0.00036194959400635135
0.0018621,-0.027954664507316363,0.011062849074985292,-0.010445248421130666,-9.047335043725562e-05,0.02144467612246354,-0.0057326095729612146,0.0005626917022400486
0.0023276,-0.027042743510791046,0.011205870996340229,-0.009133104584591283,1.3147562356501868e-05,0.023738483883143435,-0.00545804898648246,0.0007639561467356853
0.0027931,-0.026132922401128512,0.011349035738648199,-0.007814805532701998,0.00011646940082999672,0.026053108083618718,-0.005182955303722435,0.0009657181747482521
0.0032586,-0.02522532380085643,0.011492324148697825,-0.006490490977521343,0.00021947749458290313,0.028388386415606155,-0.0049073560140872954,0.0011679528436487666
0.0037241,-0.02432006978745282,0.011635717001888287,-0.005160302557278335,0.00032215724522631744,0.030744151151870458,-0.0046312786902053425,0.0013706350263366094
0.0041897,-0.023417281857147407,0.011779195007299707,-0.0038243838166180997,0.0004244941309298249,0.03312022914304708,-0.004354750981599925,0.0015737394167077224
0.0046552,-0.02251708088909631,0.011922738812783397,-0.0024828801864282433,0.000526473710935301,0.03551644181573109,-0.004077800608396445,0.0017772405351766632
0.0051207,-0.021619587109952376,0.012066329010069068,-0.0011359389632517672,0.0006280816300348356,0.03793260517184061,-0.0038004553550670616,0.0019811127342505455
0.0055862,-0.020724920058852313,0.012209946139886175,0.00021629071170828194,0.0007293036230101757,0.040368529789264015,-0.0035227430642165306,0.002185330204152956
0.0060517,-0.01983319855284058,0.01235357069709645,0.0015736578739879417,0.0008301255190310989,0.042824020823800664,-0.0032446916304124432,0.002389866978495972
0.0065172,-0.018944540652748643,0.01249718313583467,0.002936009757661414,0.000930533246010133,0.0452988780124057,-0.0029663289940629963,0.0025946969399984737
0.0069828,-0.01805906362954676,0.012640763874654615,0.004303191817536938,0.0010305128349110575,0.04779289567775014,-0.002687683135345271,0.0027997938262490007
0.0074483,-0.01717688393118409,0.012784293301677041,0.005675047751746978,0.0011300504240086373,0.050305862734108135,-0.0024087820681868697,0.0030051312355114943
0.0079138,-0.016298117149931495,0.01292775177973643,0.007051419524730943,0.0012291322630970769,0.05283756269458396,-0.002129653834303614,0.0032106826325723646
0.0083793,-0.015422877990240006,0.013071119651523196,0.008432147390609398,0.0013277447176447482,0.05538777367969181,-0.0018503264972957881,0.0034164213546274166
0.0088448,-0.014551280237126579,0.013214377244718073,0.009817069916949419,0.0014258742728928252,0.05795626842730198,-0.0015708281368051597,0.0036223206172072567
0.0093103,-0.013683436725097519,0.013357504877115439,0.01120602400892146,0.0015235075378955654,0.060542814303967,-0.0012911868427347608,0.0038283535201398865
0.0097759,-0.012819459307618738,0.013500482861732579,0.012598844933848694,0.0016206312495000996,0.0631471733176417,-0.001011430709533182,0.004034493053549224
0.0102414,-0.011959458827140916,0.01364329151190214,0.013995366346150236,0.0017172322762637295,0.0657691021318108,-0.0007315878305449359,0.004240712103888305
0.0107069,-0.0111035450856868,0.013785911146345337,0.015395420312679996,0.0018132976223068857,0.06840835208103731,-0.00045168629242835044,0.00444698346000592
0.0111724,-0.010251826816007083,0.013928322094223726,0.016798837338463206,0.0019088144311000498,0.07106466918794531,-0.00017175416964236638,0.004653279819245435
0.0116379,-0.009404411653310662,0.014070504700167711,0.018205446392832697,0.0020037699891831203,0.07373779418164994,0.00010818048099644084,0.004859573793574491
0.0121034,-0.008561406107574604,0.014212439329279942,0.01961507493596712,0.00209815172981586,0.07642746251764763,0.00038808962568534646,0.005065837915744301
0.012569,-0.007722915536438645,0.014354106372112022,0.02102754894583329,0.002191947236558233,0.07913340439917976,0.0006679452589342488,0.005272044645477196
0.0130345,-0.006889044118688763,0.014495486249612869,0.02244269294553501,0.0022851442467795996,0.0818553448000823,0.0009477194087905651,0.005478166375681066
0.0135,-0.006059894828334062,0.014636559418047061,0.02386033003107072,0.0023777306550959087,0.0845930034891345,0.0012273841419891632,0.0056841754386893146
0.0139655,-0.00523556940928092,0.014777306373881551,0.025280281899502627,0.002469694516734175,0.08734609505591867,0.0015069115690263444,0.005890044112524942
0.014431,-0.004416168350608119,0.01491770765863913,0.026702368877540197,0.0025610240508236546,0.09011432893820329,0.0017862738491570215,0.006095744627187314
0.0148966,-0.0036017908624462825,0.015057743863717155,0.02812640995054131,0.002651707643613234,0.0928974094508605,0.00206544319531439,0.00630124917096017
0.0153621,-0.00279253485246459,0.015197395635170164,0.029552222791934497,0.002741733851614636,0.09569503581632915,0.0023443918789515373,0.006506529896739334
0.0158276,-0.0019884969029673486,0.015336643678455086,0.030979623793065975,0.0028310914046710766,0.09850690219663329,0.0026230922348046003,0.006711558928378624
0.0162931,-0.001189772248602586,0.0154754687631379,0.03240842809347517,0.0029197692089510184,0.10133269772696585,0.0029015166655772117,0.006916308367052342
0.0167586,-0.0003964547546843663,0.015613851727560538,0.03383844961160223,0.0030077563498666867,0.10417210655084676,0.0031796376465461165,0.007120750297632764
0.0172241,0.00039136310386992095,0.015751773483466965,0.0352695010759313,0.0030950420949170054,0.1070248078568642,0.003457427730087937,0.007324856795081016
0.0176897,0.0011735902629865609,0.01588921502058735,0.03670139405657322,0.003181615896454634,0.10989047591700755,0.003734859550127143,0.007528599930849676
0.0181552,0.0019501370892665443,0.01602615741117941,0.03813393899729115,0.003267467394376807,0.11276878012660023,0.004011905826505333,0.007731951779295445
0.0186207,0.0027209153992008056,0.016162581814526157,0.03956694524797276,0.003352586418739708,0.115659385045841,0.004288539369271941,0.007934884424100182
0.0190862,0.0034858384777702355,0.016298469481389525,0.04100022109755206,0.0034369629922961892,0.11856195044296149,0.0045647330828965035,0.008137369964698587
0.0195517,0.004244821096431357,0.016433801758419436,0.04243357380738397,0.0035205873329566648,0.1214761313390073,0.004840459970402626,0.008339380522710738
0.0200172,0.0049977795304888524,0.016568560092518163,0.043866809645074153,0.003603449856173069,0.12440157805425009,0.0051156931374237895,0.008540888248377716
0.0204828,0.005744631575856431,0.0167027260351598,0.045299733918766676,0.0036855411772457928,0.12733793625623713,0.005390405796181137,0.00874186532699852
0.0209483,0.006485296565207834,0.01683628124666497,0.046732151011891314,0.003766852113553537,0.13028484700948476,0.005664571269383394,0.00894228398536652
0.0214138,0.007219695383520068,0.016969207500430884,0.04816386441837257,0.0038473736867060105,0.1332419468268215,0.005938162994049067,0.009142116498203626
0.0218793,0.007947750483011263,0.017101486687117015,0.0495946767783018,0.0039270971246194285,0.13620886772238644,0.006211154525251083,0.009341335194590367
0.0223448,0.008669385897475842,0.017233100818786748,0.05102438991407372,0.00400601386351477,0.139185237266288,0.006483519539784086,0.00953991246439001
0.0228103,0.009384527256019914,0.01736403203300533,0.05245280486698838,0.004084115549838751,0.1421706786409287,0.0067552318397546005,0.009737820764664852
0.0232759,0.010093101796200073,0.017494262596894496,0.05387972193431914,0.004161394042107497,0.1451648106990005,0.007026265356094381,0.009935032626082762
0.0237414,0.010795038376569034,0.01762377491114421,0.05530494070684686,0.004237841412672924,0.14816724802315567,0.007296594151997277,0.010131520659312032
0.0242069,0.011490267488631767,0.01775255151398194,0.05672826010686028,0.004313449949411843,0.15117760098735655,0.007566192426280065,0.010327257561402518
0.0246724,0.012178721268216067,0.017880575085099815,0.05814947842662215,0.004388212157337844,0.15419547581990783,0.007835034516667796,0.010522216122151094
0.0251379,0.012860333506261876,0.01800782844954024,0.05956839336730036,0.004462120760136022,0.15722047466817404,0.008103094903004324,0.010716369230449321
0.0256034,0.013535039659033866,0.018134294581540217,0.06098480207836335,0.004535168701620624,0.16025219566498428,0.008370348210388779,0.010909689880611292
0.026069,0.014202776857762276,0.018259956608334817,0.06239850119743888,0.004607349147115665,0.1632902329967258,0.008636769212238923,0.01110215117867965
0.0265345,0.01486348391771716,0.018384797813919978,0.06380928689063564,0.004678655484758595,0.16633417697312733,0.008902332833282378,0.011293726348707806
0.027,0.01551710134672153,0.018508801642774814,0.06521695489332725,0.004749081326727026,0.16938361409873243,0.009167014152476843,0.01148438873901656
0.0274655,0.016163571353109092,0.01863195170354345,0.06662130055139814,0.004818620510388558,0.17243812714606133,0.009430788405860523,0.011674111828423364
0.027931,0.016802837853132368,0.018754231772676204,0.06802211886295072,0.004887267099373655,0.1754972952304601,0.009693630989333997,0.011862869232442634
0.0283966,0.017434846477827264,0.018875625798029944,0.06941920452047314,0.0049550153845715735,0.17856069388663384,0.009955517461374809,0.01205063470945565
0.0288621,0.018059544579340153,0.018996117902427227,0.0708123519534666,0.005021859885049314,0.18162789514686095,0.010216423545686085,0.012237382166848661
0.0293276,0.018676881236723654,0.019115692387173772,0.07220135537153108,0.005087795348893623,0.18469846762088396,0.010476325133780398,0.012423085667117887
0.0297931,0.019286807261207215,0.01923433373553373,0.07358600880790782,0.00515281675397613,0.18777197657747174,0.010735198287500082,0.01260771943394018
0.0302586,0.019889275200948634,0.019352026616162053,0.07496610616347742,0.0052169193086418104,0.19084798402764827,0.010993019241475152,0.012791257858208028
0.0307241,0.020484239345272538,0.019468755886493164,0.07634144125121167,0.005280098452321044,0.19392604880958095,0.011249764405519912,0.012973675504027633
0.0311897,0.021071655728401823,0.01958450659608495,0.07771180784107715,0.005342349856065639,0.19700572667512167,0.011505410366969407,0.013154947114678682
0.0316552,0.021651482132688103,0.019699263989916956,0.0790769997053887,0.005403669423009274,0.20008657037799266,0.011759933892956872,0.0133350476185345
0.0321207,0.022223678091347124,0.019813013511641615,0.08043681066461056,0.005464053288752881,0.20316812976360818,0.012013311932633415,0.013513952134941358
0.0325862,0.02278820489070523,0.019925740806787197,0.08179103463360216,0.005523497821675573,0.20624995186052295,0.01226552161933133,0.013691635980055785
0.0330517,0.023345025571962875,0.02003743172591105,0.0831394656683056,0.005581999623171716,0.20933158097349638,0.012516540272672665,0.013868074672639093
0.0335172,0.02389410493248109,0.02014807232770157,0.08448189801287087,0.0056395555278148475,0.21241255877816093,0.012766345400624745,0.014043243939808358
0.0339828,0.02443540952659679,0.0202576488820273,0.0858181261472142,0.005696162603449115,0.2154924244172813,0.013014914701504482,0.014217119722743417
0.0344483,0.02496890766597259,0.020366147872931527,0.08714794483500463,0.005751818151208969,0.21857071459859145,0.013262226065933334,0.01438967818234947
0.0349138,0.02549456941948688,0.020473556001570622,0.08847114917207248,0.00580651970546782,0.2216469636941934,0.013508257578744772,0.014560895704874966
0.0353793,0.026012366612669504,0.02057986018909468,0.08978753463523312,0.00586026503371642,0.2247207038415018,0.013752987520845986,0.014730748907484421
0.0358448,0.026522272826688603,0.020685047579468936,0.09109689713151896,0.005913052136371733,0.22779146504571632,0.01399639437103559,0.01489921464378582
0.0363103,0.027024263396893743,0.020789105542234683,0.09239903304781105,0.0059648792465170795,0.23085877528380216,0.014238456807778986,0.015066270009312184
0.0367759,0.02751831541092046,0.020892021675208615,0.09369373930086157,0.006015744829574378,0.2339221606099584,0.01447915371094306,0.0152318923469569
0.0372414,0.02800440770636108,0.02099378380711975,0.09498081338769725,0.0060656475829092785,0.23698114526255157,0.01471846416349191,0.015396059252362336
0.0377069,0.02848252086800668,0.021094380000183474,0.09626005343639353,0.0061145864353700525,0.2400352517724905,0.014956367453145311,0.0155587485792612
0.0381724,0.028952637224664738,0.021193798552612372,0.09753125825720799,0.006162560546761067,0.2430840010730172,0.015192843074001686,0.01571993844476998
0.0386379,0.029414740845557157,0.02129202800106406,0.098794227394061,0.006209569307251724,0.24612691261088618,0.015427870728127333,0.01587960723463373
0.0391034,0.029868817536303268,0.02138905712302633,0.10004876117635103,0.006255612336721725,0.2491635044589028,0.01566143032711362,0.016037733608421333
0.039569,0.03031485483449247,0.02148487493914045,0.10129466077109094,0.006300689484043493,0.25219329342979013,0.01589350199360391,0.0161942965046703
0.0400345,0.030752842004851323,0.021579470715463372,0.10253172823535103,0.006344800826302585,0.25521579519135207,0.01612406606279183,0.016349275145980023
0.0405,0.031182770034010227,0.021672833965670026,0.10375976656899369,0.006387946667956914,0.25823052438289856,0.016353103083892623,0.016502649044052384
0.0409655,0.03160463162487511,0.021764954453196705,0.10497857976768385,0.006430127539935572,0.2612369947328988,0.016580593821589062,0.016654398004678505
0.041431,0.03201842119061009,0.021855822193326695,0.10618797287615858,0.006471344198678065,0.26423471917782726,0.01680651925745346,0.016804502132670388
0.0418966,0.03242413484823745,0.021945427455219164,0.10738775204173776,0.006511597625114743,0.26722320998216686,0.017030860591347112,0.01695294183673614
0.0423621,0.03282177041186193,0.02203376076388235,0.10857772456805781,0.006550889023589206,0.27020197885953173,0.017253599242798442,0.01709969783429735
0.0428276,0.03321132738552639,0.022120812902091905,0.10975769896900867,0.0065892198207234695,0.2731705370948726,0.017474716852361044,0.01724475115624708
0.0432931,0.03359280695570655,0.022206574912255167,0.11092748502285388,0.0066265916642266375,0.27612839566772585,0.017694195282952636,0.01738808315164705
0.0437586,0.03396621198345234,0.022291038098221957,0.1120868938265135,0.006663006421647846,0.279075065376466,0.017912016621176023,0.01752967549236245
0.0442241,0.03433154699618366,0.022374194027042472,0.11323573784998826,0.006698466179074269,0.2820100569635192,0.018128163178623043,0.017669510177632946
0.0446897,0.034688818179148616,0.02245603453067257,0.11437383099090313,0.006732973239774999,0.28493288124149446,0.01834261749316256,0.01780756953857846
0.0451552,0.035038033366551855,0.02253655170762684,0.11550098862914834,0.006766530122791667,0.287843049220186,0.018555362330213716,0.017943836242638286
0.0456207,0.03537920203236113,0.022615737924579556,0.11661702768159478,0.006799139561476692,0.2907400722343998,0.018766380684005525,0.018078293297942093
0.0460862,0.03571233528079971,0.022693585817913725,0.11772176665686032,0.006830804501980112,0.29362346207255274,0.018975655778824173,0.01821092405761125
0.0465517,0.0360374458365321,0.022770088295218257,0.11881502571010351,0.006861528101685981,0.2964927311059931,0.019183171070249236,0.018341712223988865
0.0470172,0.03635454803455051,0.022845238536733203,0.11989662669781966,0.006891313727599316,0.2993473924189875,0.01938891024638023,0.01847064185279679
0.0474828,0.03666365780976892,0.02291902999674291,0.12096639323261392,0.006920164954684659,0.30218695993931743,0.019592857229054798,0.01859769735721788
0.0479483,0.036964792686331786,0.022991456404916937,0.12202415073792498,0.006948085564157263,0.3050109485694286,0.01979499617505974,0.018722863511901746
