Time,Rectus Femoris right,Rectus Femoris left,Hamstrings right,Hamstrings left,TibilaisÂ Anterior right,TibilaisÂ Anterior left,Gastrocnemius right,Gastrocnemius left
0.0,0.01786121971573587,-0.005548680994924452,-0.026006919005075547,-0.012949062722221509,-0.008856340852792388,-0.014750920426396193,-0.005153959857867935,-0.026816658436547288
0.0004655,0.017650650254460172,-0.006131049236619487,-0.02728004923661949,-0.014161398982159318,-0.011343547709858463,-0.01614914872769915,-0.004584800508920342,-0.029524148218778808
0.000931,0.018400112905828964,-0.00826076559283891,-0.02825800322148327,-0.016036113982097276,-0.013830876353452913,-0.02039116989059049,-0.00416003440716109,-0.029918420425063815
0.0013966,0.020062090252646155,-0.007914041142065975,-0.0283665,-0.015471719974052379,-0.011926165153142322,-0.02321786860528787,-0.0028282588579340248,-0.02932331771586805
0.0018621,0.021351940528328714,-0.008630494491089328,-0.0283665,-0.013605758859570103,-0.007956555799064173,-0.02233903624362041,-0.0026980975515952564,-0.028747299387898814
0.0023276,0.02058548335048036,-0.008859990010288215,-0.028989886680384287,-0.014171173360768577,-0.000791190255996413,-0.018157710112565884,-0.0019303233093274962,-0.02864218335048036
0.0027931,0.02058188979521238,-0.009655782506883752,-0.02935770218593482,-0.01422827157157196,0.0063234642832433316,-0.01642451822364042,-0.0041450042338110156,-0.028878874488030948
0.0032586,0.0206455,-0.0097353,-0.02922976160010049,-0.013715636560216507,0.00884820015953593,-0.0162814,-0.006402425199419912,-0.0290379
0.0037241,0.019720086496073357,-0.008817843789681338,-0.028990864601232687,-0.012174843789681339,0.003766340843247366,-0.01847586101989728,-0.010012377021870007,-0.02726171055749267
0.0041897,0.019548915003352346,-0.0082246,-0.029116315003352346,-0.013817613088376124,-0.004926722346799806,-0.021111351623969495,-0.009727162797369399,-0.02604100676143401
0.0046552,0.02000595035338626,-0.007233425176693128,-0.028894573409761842,-0.015641850353386257,-0.023778176236851897,-0.02427439929322749,-0.008200714606896068,-0.02572071531366858
0.0051207,0.020943343625992632,-0.008148887251985268,-0.027803661755955805,-0.01479218187003683,-0.029590723511911606,-0.02537804900794107,-0.005785072069471175,-0.0265202
0.0055862,0.020331293313385287,-0.009395402257367312,-0.027781098871316343,-0.013630503950392796,-0.021695599435658172,-0.024096694356581717,-0.0023374195809895324,-0.027716606122272884
0.0060517,0.01967088239392062,-0.01020631760607938,-0.02807952359088093,-0.0142672,-0.013603918179475543,-0.018100705636476287,-0.0007255164592870578,-0.026447112194673997
0.0065172,0.020216288217288554,-0.009473888217288553,-0.029224923565422892,-0.014360711782711448,-0.014114276149107657,-0.014056791524959514,0.002095055605886274,-0.0250095
0.0069828,0.019540007920898855,-0.00887632158417977,-0.03042989897050318,-0.014859886336719084,-0.016183007920898856,-0.012726985307222266,0.0058938420193395645,-0.025088213663280914
0.0074483,0.01802401120832576,-0.008816744833303037,-0.030883411381847678,-0.013339355166696962,-0.014506733187511361,-0.011996555166696963,0.008847921368197766,-0.026304221368197767
0.0079138,0.017575751330525115,-0.009017121673687211,-0.033232429656837904,-0.010408370343162096,-0.00828516444487678,-0.012467578326312788,0.008653756652625575,-0.02721749467789954
0.0083793,0.018977945365385624,-0.008166149434569912,-0.03705090549272999,-0.009038328887195652,-0.006903697253635006,-0.01299733295637994,0.007356124717284956,-0.024827080775445032
0.0088448,0.019089651849889318,-0.008602909630022136,-0.03809144591964582,-0.010531890369977865,-0.010715824491197009,-0.013614472641307692,0.006551277040177091,-0.024092796300221365
0.0093103,0.017507117472470145,-0.008896,-0.03738348544759809,-0.01204609979284301,-0.016433589117885658,-0.013213248747122871,0.009817185240441102,-0.0250095
0.0097759,0.01697944180835247,-0.00919744624640397,-0.035492319452435625,-0.011608241808352468,-0.020267934301160407,-0.012418897580560216,0.021181350200414034,-0.025329976109512875
0.0102414,0.017167792527220716,-0.00926563131805179,-0.031516016372493225,-0.012128538077363747,-0.015319560807673792,-0.014384153022922315,0.028181684340974105,-0.023940214544063435
0.0107069,0.018390898359391977,-0.009423733880202675,-0.028677843625121928,-0.012780015299493313,-0.006354425410152006,-0.016521442350253344,0.01762455929035468,-0.024674159290354682
