Application:, Trigno Discover (2.0.1.3)
Date/Time:, 24-09-2025 10:38:32
Collection Length (seconds):, 5.8185
 Hamstrings left (85586), , TibilaisÂ Anterior right (85650), ,  Rectus Femoris left (85878), ,  Rectus Femoris right (85844), ,  Hamstrings right (85641), ,  Gastrocnemius right (85873), ,  Gastrocnemius left (85904), , TibilaisÂ Anterior left (85605)
sensor mode: 40, , sensor mode: 40, , sensor mode: 40, , sensor mode: 40, , sensor mode: 40, , sensor mode: 40, , sensor mode: 40, , sensor mode: 40
EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV)
, 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz
, 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0.0083793, -0.0125887, 0.0083793, -0.0125887, 0.0083793, -0.0129244, 0.0083793, 0.0169528, 0.0083793, -0.0293736, 0.0083793, -0.0070497, 0.0083793, -0.0129244, 0.0083793, -0.018967, , , , , , , , , , , , , , , , , , , , , , 
0.0088448, -0.008896, 0.0088448, -0.0135958, 0.0088448, -0.0135958, 0.0088448, 0.01561, 0.0088448, -0.030045, 0.0088448, -0.005539, 0.0088448, -0.0240024, 0.0088448, -0.0191348, , , , , , , , , , , , , , , , , , , , , , 
0.0093103, -0.0062104, 0.0093103, -0.0135958, 0.0093103, -0.0119173, 0.0093103, 0.0152743, 0.0093103, -0.0303807, 0.0093103, -0.0028534, 0.0093103, -0.0270237, 0.0093103, -0.0191348, , , , , , , , , , , , , , , , , , , , , , 
0.0097759, -0.0072175, 0.0097759, -0.0115816, 0.0097759, -0.0095674, 0.0097759, 0.0162814, 0.0097759, -0.0317235, 0.0097759, -0.0041962, 0.0097759, -0.0256809, 0.0097759, -0.018967, , , , , , , , , , , , , , , , , , , , , , 
0.0102414, -0.0097353, 0.0102414, -0.0095674, 0.0102414, -0.0083925, 0.0102414, 0.0172885, 0.0102414, -0.0310521, 0.0102414, -0.0072175, 0.0102414, -0.0253452, 0.0102414, -0.0193027, , , , , , , , , , , , , , , , , , , , , , 
0.0107069, -0.0109102, 0.0107069, -0.0085603, 0.0107069, -0.0082246, 0.0107069, 0.0172885, 0.0107069, -0.0270237, 0.0107069, -0.0082246, 0.0107069, -0.0243381, 0.0107069, -0.018967, , , , , , , , , , , , , , , , , , , , , , 
0.0111724, -0.0109102, 0.0111724, -0.0090639, 0.0111724, -0.0082246, 0.0111724, 0.0172885, 0.0111724, -0.0243381, 0.0111724, -0.005539, 0.0111724, -0.0203098, 0.0111724, -0.018967, , , , , , , , , , , , , , , , , , , , , , 
0.0116379, -0.0105745, 0.0116379, -0.0102388, 0.0116379, -0.0083925, 0.0116379, 0.0166171, 0.0116379, -0.0248417, 0.0116379, -0.0035248, 0.0116379, -0.0112459, 0.0116379, -0.0186313, , , , , , , , , , , , , , , , , , , , , , 
0.0121034, -0.0112459, 0.0121034, -0.0109102, 0.0121034, -0.008896, 0.0121034, 0.0169528, 0.0121034, -0.0263523, 0.0121034, -0.0031891, 0.0121034, -0.0025177, 0.0121034, -0.018967, , , , , , , , , , , , , , , , , , , , , , 
0.012569, -0.0129244, 0.012569, -0.0109102, 0.012569, -0.010071, 0.012569, 0.0171206, 0.012569, -0.0271916, 0.012569, -0.0035248, 0.012569, -0.0005035, 0.012569, -0.018967, , , , , , , , , , , , , , , , , , , , , , 
0.0130345, -0.014435, 0.0130345, -0.012253, 0.0130345, -0.0109102, 0.0130345, 0.0182956, 0.0130345, -0.0270237, 0.0130345, -0.0023499, 0.0130345, -0.005539, 0.0130345, -0.0186313, , , , , , , , , , , , , , , , , , , , , , 
0.0135, -0.0149386, 0.0135, -0.0139315, 0.0135, -0.0102388, 0.0135, 0.0186313, 0.0135, -0.0260166, 0.0135, -0.0005035, 0.0135, -0.0139315, 0.0135, -0.0186313, , , , , , , , , , , , , , , , , , , , , , 
0.0139655, -0.0149386, 0.0139655, -0.0149386, 0.0139655, -0.0092317, 0.0139655, 0.0186313, 0.0139655, -0.0250095, 0.0139655, 0.0005035, 0.0139655, -0.0193027, 0.0139655, -0.0182956, , , , , , , , , , , , , , , , , , , , , , 
0.014431, -0.01561, 0.014431, -0.0147707, 0.014431, -0.0092317, 0.014431, 0.0176242, 0.014431, -0.0243381, 0.014431, -0.0005035, 0.014431, -0.0203098, 0.014431, -0.0166171, , , , , , , , , , , , , , , , , , , , , , 
0.0148966, -0.018967, 0.0148966, -0.0135958, 0.0148966, -0.0099031, 0.0148966, 0.0184634, 0.0148966, -0.0250095, 0.0148966, -0.0015106, 0.0148966, -0.0218204, 0.0148966, -0.0169528, , , , , , , , , , , , , , , , , , , , , , 
0.0153621, -0.0213169, 0.0153621, -0.0129244, 0.0153621, -0.0105745, 0.0153621, 0.0206455, 0.0153621, -0.0256809, 0.0153621, -0.002182, 0.0153621, -0.0236667, 0.0153621, -0.0176242, , , , , , , , , , , , , , , , , , , , , , 
0.0158276, -0.0206455, 0.0158276, -0.0139315, 0.0158276, -0.0109102, 0.0158276, 0.0213169, 0.0158276, -0.0260166, 0.0158276, -0.0028534, 0.0158276, -0.0256809, 0.0158276, -0.0166171, , , , , , , , , , , , , , , , , , , , , , 
0.0162931, -0.0172885, 0.0162931, -0.0152743, 0.0162931, -0.012253, 0.0162931, 0.0209812, 0.0162931, -0.0270237, 0.0162931, -0.0028534, 0.0162931, -0.0256809, 0.0162931, -0.0169528, , , , , , , , , , , , , , , , , , , , , , 
0.0167586, -0.0139315, 0.0167586, -0.0142672, 0.0167586, -0.0125887, 0.0167586, 0.0186313, 0.0167586, -0.0273594, 0.0167586, -0.0035248, 0.0167586, -0.0256809, 0.0167586, -0.0176242, , , , , , , , , , , , , , , , , , , , , , 
0.0172241, -0.0114137, 0.0172241, -0.0129244, 0.0172241, -0.0102388, 0.0172241, 0.0169528, 0.0172241, -0.0256809, 0.0172241, -0.0028534, 0.0172241, -0.0276951, 0.0172241, -0.0179599, , , , , , , , , , , , , , , , , , , , , , 
0.0176897, -0.0119173, 0.0176897, -0.011078, 0.0176897, -0.0085603, 0.0176897, 0.0166171, 0.0176897, -0.0243381, 0.0176897, -0.0011749, 0.0176897, -0.0297093, 0.0176897, -0.0176242, , , , , , , , , , , , , , , , , , , , , , 
0.0181552, -0.0129244, 0.0181552, -0.0102388, 0.0181552, -0.0082246, 0.0181552, 0.0164492, 0.0181552, -0.0236667, 0.0181552, -0.0003357, 0.0181552, -0.0297093, 0.0181552, -0.0171206, , , , , , , , , , , , , , , , , , , , , , 
0.0186207, -0.0135958, 0.0186207, -0.0102388, 0.0186207, -0.008896, 0.0186207, 0.0159457, 0.0186207, -0.0243381, 0.0186207, -0.0005035, 0.0186207, -0.0290379, 0.0186207, -0.0159457, , , , , , , , , , , , , , , , , , , , , , 
0.0190862, -0.012253, 0.0190862, -0.0105745, 0.0190862, -0.0095674, 0.0190862, 0.0152743, 0.0190862, -0.0263523, 0.0190862, -0.0008392, 0.0190862, -0.0303807, 0.0190862, -0.0149386, , , , , , , , , , , , , , , , , , , , , , 
0.0195517, -0.0105745, 0.0195517, -0.0102388, 0.0195517, -0.0095674, 0.0195517, 0.0159457, 0.0195517, -0.026688, 0.0195517, -0.0018463, 0.0195517, -0.0317235, 0.0195517, -0.0151064, , , , , , , , , , , , , , , , , , , , , , 
0.0200172, -0.0109102, 0.0200172, -0.0109102, 0.0200172, -0.0104067, 0.0200172, 0.0172885, 0.0200172, -0.0261845, 0.0200172, -0.002182, 0.0200172, -0.0310521, 0.0200172, -0.0149386, , , , , , , , , , , , , , , , , , , , , , 
0.0204828, -0.0105745, 0.0204828, -0.0115816, 0.0204828, -0.0109102, 0.0204828, 0.0186313, 0.0204828, -0.0250095, 0.0204828, -0.0015106, 0.0204828, -0.0297093, 0.0204828, -0.0149386, , , , , , , , , , , , , , , , , , , , , , 
