Application:, Trigno Discover (2.0.1.3)
Date/Time:, 04-Nov-25 14:29:38
Collection Length (seconds):, 2.997
 Hamstrings right (85641), , , , , , , ,  Rectus Femoris right (85844), , , , , , , ,  Gastrocnemius left (85904), , , , , , , , TibilaisÂ Anterior right (85650), , , , , , , ,  Hamstrings left (85586), , , , , , , , TibilaisÂ Anterior left (85605), , , , , , , ,  Rectus Femoris left (85878), , , , , , , ,  Gastrocnemius right (85873)
sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49
EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s)
, 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz
, 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0.0051923, -0.01561, 0.135, 121.9512253, 0.135, -168.5975647, 0.135, -3.4146342, 0.0051923, 0.0135958, 0.135, -79.8170776, 0.135, -94.146347, 0.135, -23.5365868, 0.0051923, -0.0310521, 0.135, 42.5, 0.135, 16.0975609, 0.135, 28.4146347, 0.0051923, 0.0075532, 0.135, 0, 0.135, 0, 0.135, 0, 0.0051923, 0.0191348, 0.135, -28.6585369, 0.135, -17.6829281, 0.135, -11.7073174, 0.0051923, -0.0186313, 0.135, -45.4878044, 0.135, 23.2926826, 0.135, 23.780489, 0.0051923, -0.0095674, 0.135, 6.0365853, 0.135, -26.7682934, 0.135, 2.1341465, 0.0051923, -0.0164492, 0.135, 442.1341553, 0.135, -36.0365868, 0.135, 82.6219559, , , , , , , , , , , , , , , , , , , , , , 
0.0057115, -0.0176242, 0.1485, 48.1707344, 0.1485, -140.1219482, 0.1485, -1.4634147, 0.0057115, 0.0125887, 0.1485, -40.2439041, 0.1485, -82.8048782, 0.1485, -24.0243912, 0.0057115, -0.0360876, 0.1485, 32.2560997, 0.1485, -1.402439, 0.1485, 32.2560997, 0.0057115, 0.0182956, 0.1485, -59.2682953, 0.1485, -39.3902435, 0.1485, -348.2926941, 0.0057115, 0.0011749, 0.1485, -24.3292694, 0.1485, -20.5487804, 0.1485, -14.6951227, 0.0057115, -0.0082246, 0.1485, -43.0487823, 0.1485, 8.6585369, 0.1485, 11.9512196, 0.0057115, -0.0104067, 0.1485, 0.9756098, 0.1485, -22.9878063, 0.1485, 11.0975609, 0.0057115, -0.0077211, 0.1485, 354.3292847, 0.1485, -45.5487823, 0.1485, 68.0487823, , , , , , , , , , , , , , , , , , , , , , 
0.0062308, -0.0198062, 0.162, 0, 0.162, 0, 0.162, 0, 0.0062308, 0.014435, 0.162, 8.719512, 0.162, -113.9024429, 0.162, -21.1585369, 0.0062308, -0.0317235, 0.162, 22.2560978, 0.162, -20.3048782, 0.162, 34.6951218, 0.0062308, 0.0159457, 0.162, -23.2926826, 0.162, -34.8170738, 0.162, -259.0243835, 0.0062308, -0.0127565, 0.162, -10.8536587, 0.162, -41.1585388, 0.162, -13.780488, 0.0062308, 0.0015106, 0.162, -41.6463432, 0.162, -2.0731707, 0.162, 5.4268293, 0.0062308, -0.0112459, 0.162, -14.2073174, 0.162, -45.3658562, 0.162, 18.9024391, 0.0062308, 0.0099031, 0.162, 253.4146423, 0.162, 9.6951218, 0.162, 66.9512177, , , , , , , , , , , , , , , , , , , , , , 
0.00675, -0.0273594, 0.1755, 0, 0.1755, 0, 0.1755, 0, 0.00675, 0.0159457, 0.1755, 42.9878044, 0.1755, -135.1219482, 0.1755, -23.9634151, 0.00675, -0.023331, 0.1755, 17.8658543, 0.1755, -34.4512215, 0.1755, 35.3048782, 0.00675, 0.0031891, 0.1755, 29.2682934, 0.1755, -22.9878063, 0.1755, -152.9878082, 0.00675, -0.0149386, 0.1755, 4.8170733, 0.1755, -74.9390259, 0.1755, -9.3292685, 0.00675, -0.0001678, 0.1755, -40, 0.1755, -31.4634151, 0.1755, -6.0365853, 0.00675, -0.012253, 0.1755, -36.7073174, 0.1755, -87.6219559, 0.1755, 21.5243912, 0.00675, 0.0159457, 0.1755, 142.5609741, 0.1755, 63.4756126, 0.1755, 81.2195129, , , , , , , , , , , , , , , , , , , , , , 
0.0072692, -0.0370947, 0.189, 0, 0.189, 0, 0.189, 0, 0.0072692, 0.017792, 0.189, 119.2682953, 0.189, -169.4512177, 0.189, -31.7682934, 0.0072692, -0.0209812, 0.189, 8.841464, 0.189, -65.8536606, 0.189, 38.4146347, 0.0072692, -0.008896, 0.189, 58.9634171, 0.189, -13.4146347, 0.189, -94.8170776, 0.0072692, -0.0085603, 0.189, 21.7073174, 0.189, -126.4634171, 0.189, -7.6829271, 0.0072692, -0.0082246, 0.189, -38.2317085, 0.189, -61.9512215, 0.189, -17.9268303, 0.0072692, -0.0129244, 0.189, -59.8170738, 0.189, -137.86586, 0.189, 20.8536587, 0.0072692, 0.003357, 0.189, 79.2682953, 0.189, 75.7317123, 0.189, 84.9390259, , , , , , , , , , , , , , , , , , , , , , 
0.0077885, -0.0441444, 0.2025, -238.7804871, 0.2025, -122.86586, 0.2025, 38.5365868, 0.0077885, 0.017792, 0.2025, 202.012207, 0.2025, -189.0853729, 0.2025, -38.4146347, 0.0077885, -0.0276951, 0.2025, 3.8414636, 0.2025, -102.7439041, 0.2025, 37.9268303, 0.0077885, -0.008896, 0.2025, 126.0365906, 0.2025, -0.5487805, 0.2025, 30.8536587, 0.0077885, -0.0008392, 0.2025, 28.4756107, 0.2025, -164.3902435, 0.2025, -12.9268293, 0.0077885, -0.0193027, 0.2025, -35, 0.2025, -90.3048782, 0.2025, -24.7560978, 0.0077885, -0.0132601, 0.2025, -63.1707344, 0.2025, -166.9512177, 0.2025, 23.5365868, 0.0077885, -0.0151064, 0.2025, -65, 0.2025, 79.0243912, 0.2025, 84.7560959, , , , , , , , , , , , , , , , , , , , , , 
0.0083077, -0.0466621, 0.216, -277.5609741, 0.216, -108.4756088, 0.216, 34.0853653, 0.0083077, 0.0169528, 0.216, 278.23172, 0.216, -183.4146423, 0.216, -46.2804871, 0.0083077, -0.0387732, 0.216, 0.6097561, 0.216, -122.0121994, 0.216, 33.4146347, 0.0083077, 0.0005035, 0.216, 202.012207, 0.216, 21.6463413, 0.216, 165.36586, 0.0083077, 0.0070497, 0.216, 28.3536587, 0.216, -192.6219482, 0.216, -19.0243912, 0.0083077, -0.0297093, 0.216, -31.5243912, 0.216, -101.8292694, 0.216, -25.4878063, 0.0083077, -0.0151064, 0.216, -53.1707344, 0.216, -180.1829376, 0.216, 29.4512196, 0.0083077, -0.0250095, 0.216, -235.6097565, 0.216, 89.0243912, 0.216, 80.4878082, , , , , , , , , , , , , , , , , , , , , , 
0.0088269, -0.0426337, 0.2295, 0, 0.2295, 0, 0.2295, 0, 0.0088269, 0.0179599, 0.2295, 340.8536682, 0.2295, -165.9146423, 0.2295, -55.1219521, 0.0088269, -0.0453193, 0.2295, 3.5975611, 0.2295, -134.3902435, 0.2295, 31.4634151, 0.0088269, 0.0018463, 0.2295, 273.7804871, 0.2295, 51.7682953, 0.2295, 300.73172, 0.0088269, 0.0119173, 0.2295, 22.5, 0.2295, -220.9756165, 0.2295, -20.4268303, 0.0088269, -0.0303807, 0.2295, -33.2926826, 0.2295, -107.1951218, 0.2295, -23.1707325, 0.0088269, -0.01561, 0.2295, -51.2804909, 0.2295, -189.0853729, 0.2295, 32.0731697, 0.0088269, -0.0236667, 0.2295, 0, 0.2295, 0, 0.2295, 0, , , , , , , , , , , , , , , , , , , , , , 
0.0093462, -0.0337377, 0.243, -443.1097717, 0.243, -13.780488, 0.243, 28.1707325, 0.0093462, 0.018967, 0.243, 385.9146423, 0.243, -153.7195129, 0.243, -65.1219559, 0.0093462, -0.0448157, 0.243, 7.3170733, 0.243, -140.1219482, 0.243, 29.3902454, 0.0093462, -0.0041962, 0.243, 352.2561035, 0.243, 100.9756088, 0.243, 428.7804871, 0.0093462, 0.0102388, 0.243, 13.4146347, 0.243, -244.3902435, 0.243, -20.2439022, 0.0093462, -0.0216526, 0.243, -33.841465, 0.243, -113.9634171, 0.243, -19.5731716, 0.0093462, -0.0137636, 0.243, -48.9024391, 0.243, -208.1097565, 0.243, 33.841465, 0.0093462, -0.018967, 0.243, -550.6097412, 0.243, 26.7073174, 0.243, 61.4634171, , , , , , , , , , , , , , , , , , , , , , 
0.0098654, -0.0293736, 0.2565, 0, 0.2565, 0, 0.2565, 0, 0.0098654, 0.0186313, 0.2565, 417.4390259, 0.2565, -136.0975647, 0.2565, -66.7682953, 0.0098654, -0.0458228, 0.2565, 6.5853658, 0.2565, -133.4146423, 0.2565, 24.6951218, 0.0098654, -0.0062104, 0.2565, 440.4268494, 0.2565, 153.4756165, 0.2565, 545.7317505, 0.0098654, 0.0045319, 0.2565, 4.5731707, 0.2565, -262.5609741, 0.2565, -13.1097565, 0.0098654, -0.0167849, 0.2565, -30.7926846, 0.2565, -114.7561035, 0.2565, -16.0365849, 0.0098654, -0.0104067, 0.2565, -38.4756088, 0.2565, -220, 0.2565, 23.4756107, 0.0098654, -0.0176242, 0.2565, -706.2805176, 0.2565, -42.2560997, 0.2565, 77.3780518, , , , , , , , , , , , , , , , , , , , , , 
