Application:, Trigno Discover (2.0.1.3)
Date/Time:, 04-Nov-25 15:13:32
Collection Length (seconds):, 2.997
 Hamstrings right (85641), , , , , , , ,  Rectus Femoris right (85844), , , , , , , ,  Gastrocnemius left (85904), , , , , , , , TibilaisÂ Anterior right (85650), , , , , , , ,  Hamstrings left (85586), , , , , , , , TibilaisÂ Anterior left (85605), , , , , , , ,  Rectus Femoris left (85878), , , , , , , ,  Gastrocnemius right (85873)
sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49
EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s)
, 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz
, 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0.0051923, -0.0176242, 0.135, 75.8536606, 0.135, -42.3170738, 0.135, -34.9390259, 0.0051923, 0.0045319, 0.135, -140.36586, 0.135, -88.4756088, 0.135, -56.0365868, 0.0051923, -0.0229953, 0.135, 47.8658562, 0.135, -131.5243988, 0.135, 171.0365906, 0.0051923, -0.0323949, 0.135, 41.8292694, 0.135, -17.0121956, 0.135, -135.9146423, 0.0051923, 0.0273594, 0.135, 95.9146347, 0.135, 32.7439041, 0.135, 56.8902435, 0.0051923, -0.0243381, 0.135, -173.1707306, 0.135, -222.3170776, 0.135, 42.8658562, 0.0051923, 0.0575723, 0.135, -76.8292694, 0.135, 13.4756098, 0.135, -41.8292694, 0.0051923, 0.0035248, 0.135, 121.0365906, 0.135, -13.2926836, 0.135, 81.2195129, , , , , , , , , , , , , , , , , , , , , , 
0.0057115, -0.0182956, 0.1485, 7.5, 0.1485, -5.0609756, 0.1485, -32.1951218, 0.0057115, 0.0078889, 0.1485, -198.0487823, 0.1485, -87.9878082, 0.1485, -32.2560997, 0.0057115, -0.0219883, 0.1485, 72.8658524, 0.1485, -187.86586, 0.1485, 260.73172, 0.0057115, -0.0290379, 0.1485, 5, 0.1485, -144.146347, 0.1485, -179.6951294, 0.0057115, 0.0253452, 0.1485, -30.8536587, 0.1485, -110.4878082, 0.1485, 26.7682934, 0.0057115, -0.0209812, 0.1485, -218.0487823, 0.1485, -257.6219482, 0.1485, 52.8048782, 0.0057115, 0.0574044, 0.1485, 14.6951227, 0.1485, -75.9146347, 0.1485, -33.3536606, 0.0057115, 0.0072175, 0.1485, 173.1707306, 0.1485, -203.1097565, 0.1485, 123.5975647, , , , , , , , , , , , , , , , , , , , , , 
0.0062308, -0.0203098, 0.162, 21.4024391, 0.162, -41.5243912, 0.162, -149.3902435, 0.0062308, 0.0109102, 0.162, -146.4634247, 0.162, 27.8048782, 0.162, -2.5609756, 0.0062308, -0.0179599, 0.162, 124.3292694, 0.162, -196.5243988, 0.162, 313.2926941, 0.0062308, -0.0162814, 0.162, 0, 0.162, 0, 0.162, 0, 0.0062308, 0.0246738, 0.162, -102.3780518, 0.162, -185.4878082, 0.162, -20.6707325, 0.0062308, -0.018967, 0.162, -291.4024353, 0.162, -241.5243988, 0.162, 86.0975647, 0.0062308, 0.0602579, 0.162, 113.1097565, 0.162, -160.7317047, 0.162, -21.4024391, 0.0062308, 0.0065461, 0.162, 186.3414612, 0.162, -300.9756165, 0.162, 139.5121918, , , , , , , , , , , , , , , , , , , , , , 
0.00675, -0.0218204, 0.1755, 126.8902435, 0.1755, -1.5243902, 0.1755, -152.5609741, 0.00675, 0.0119173, 0.1755, -195.7926941, 0.1755, -16.280489, 0.1755, 73.0487823, 0.00675, -0.012253, 0.1755, 166.7682953, 0.1755, -53.4756126, 0.1755, 367.3170776, 0.00675, 0.0010071, 0.1755, -16.1585369, 0.1755, -232.4390259, 0.1755, -188.1707306, 0.00675, 0.0260166, 0.1755, -149.146347, 0.1755, -164.8170776, 0.1755, -59.6341476, 0.00675, -0.0260166, 0.1755, -365.4878235, 0.1755, -117.5609818, 0.1755, 133.7804871, 0.00675, 0.0669718, 0.1755, 182.9878082, 0.1755, -187.1341553, 0.1755, -31.7682934, 0.00675, 0.0035248, 0.1755, 182.9878082, 0.1755, -322.8658752, 0.1755, 136.7682953, , , , , , , , , , , , , , , , , , , , , , 
0.0072692, -0.0226596, 0.189, 279.8170776, 0.189, -321.4024353, 0.189, -182.6829376, 0.0072692, 0.0115816, 0.189, -196.3414612, 0.189, 157.7439117, 0.189, 79.3292694, 0.0072692, -0.005539, 0.189, 158.8414612, 0.189, 84.8170776, 0.189, 410.9756165, 0.0072692, 0.0078889, 0.189, 15.7317076, 0.189, 53.0487823, 0.189, -171.4634247, 0.0072692, 0.0256809, 0.189, -196.4634247, 0.189, -149.5731812, 0.189, -68.1097565, 0.0072692, -0.0391089, 0.189, -424.8170776, 0.189, 32.3780479, 0.189, 155.3048859, 0.0072692, 0.0746929, 0.189, 185, 0.189, -188.9634247, 0.189, -76.1585388, 0.0072692, 0.0008392, 0.189, 170.4268341, 0.189, -217.3170776, 0.189, 108.7195129, , , , , , , , , , , , , , , , , , , , , , 
0.0077885, -0.0224918, 0.2025, 102.5609818, 0.2025, -73.0487823, 0.2025, 53.2926826, 0.0077885, 0.01561, 0.2025, -141.8292694, 0.2025, -160.9756165, 0.2025, -272.8048706, 0.0077885, -0.0035248, 0.2025, 77.4390259, 0.2025, 251.1585388, 0.2025, 413.7195129, 0.0077885, 0.0028534, 0.2025, -236.7682953, 0.2025, 20.9756107, 0.2025, -98.6585388, 0.0077885, 0.0213169, 0.2025, -271.8902588, 0.2025, -179.5121918, 0.2025, -27.8658543, 0.0077885, -0.047837, 0.2025, -443.3536682, 0.2025, 175.0609741, 0.2025, 124.0853653, 0.0077885, 0.0787213, 0.2025, 258.2926941, 0.2025, -100.5487823, 0.2025, -103.7195129, 0.0077885, -0.0001678, 0.2025, 193.2317047, 0.2025, 8.0487804, 0.2025, -183.8414612, , , , , , , , , , , , , , , , , , , , , , 
0.0083077, -0.0234989, 0.216, 62.5, 0.216, 270.1829224, 0.216, 69.0853653, 0.0083077, 0.0209812, 0.216, -7.0731707, 0.216, -424.0853882, 0.216, -188.8414612, 0.0083077, -0.0169528, 0.216, 29.8780499, 0.216, 287.1341553, 0.216, 410.3658752, 0.0083077, -0.0035248, 0.216, 1.402439, 0.216, 218.4756165, 0.216, 84.7560959, 0.0083077, 0.0078889, 0.216, -389.0853882, 0.216, -184.8170776, 0.216, 42.9268303, 0.0083077, -0.0433051, 0.216, -408.3536682, 0.216, 286.0975647, 0.216, 86.5853653, 0.0083077, 0.0780499, 0.216, 331.8292847, 0.216, -82.3780518, 0.216, -155.4878082, 0.0083077, -0.0001678, 0.216, -241.8292694, 0.216, 674.6951294, 0.216, -172.86586, , , , , , , , , , , , , , , , , , , , , , 
0.0088269, -0.0236667, 0.2295, 139.6951294, 0.2295, 394.0853882, 0.2295, 201.3414612, 0.0088269, 0.0214847, 0.2295, -83.4756088, 0.2295, 228.4146423, 0.2295, -62.5609779, 0.0088269, -0.0404517, 0.2295, -26.7682934, 0.2295, 292.1951294, 0.2295, 387.8049011, 0.0088269, -0.003357, 0.2295, -86.1585388, 0.2295, 234.3292694, 0.2295, -106.2195129, 0.0088269, -0.0036927, 0.2295, -428.6585388, 0.2295, -47.1951218, 0.2295, 91.646347, 0.0088269, -0.0243381, 0.2295, -362.6219482, 0.2295, 287.5, 0.2295, 28.3536587, 0.0088269, 0.0763714, 0.2295, 314.6341553, 0.2295, -6.9512196, 0.2295, -164.9390259, 0.0088269, -0.0015106, 0.2295, 279.6341553, 0.2295, 158.6585388, 0.2295, 31.280489, , , , , , , , , , , , , , , , , , , , , , 
0.0093462, -0.0231632, 0.243, -50.7926826, 0.243, 128.4146423, 0.243, 132.9268341, 0.0093462, 0.023331, 0.243, 29.3902454, 0.243, 499.8780518, 0.243, 15.1219511, 0.0093462, -0.064622, 0.243, -85.7317123, 0.243, 186.646347, 0.243, 288.5975647, 0.0093462, -0.0063783, 0.243, -118.4146347, 0.243, 114.4512253, 0.243, -170.6707306, 0.0093462, -0.0078889, 0.243, -415.9146423, 0.243, -1.8902439, 0.243, 111.7682953, 0.0093462, -0.0236667, 0.243, -259.0853577, 0.243, 171.0365906, 0.243, -66.4634171, 0.0093462, 0.0743572, 0.243, 290.7926941, 0.243, 160.3048859, 0.243, -140.9146423, 0.0093462, -0.0041962, 0.243, 217.0731812, 0.243, -27.0121956, 0.243, -103.7195129, , , , , , , , , , , , , , , , , , , , , , 
0.0098654, -0.0240024, 0.2565, 80.7317123, 0.2565, 110.6097565, 0.2565, 23.3536587, 0.0098654, 0.0276951, 0.2565, -48.7195129, 0.2565, 528.0487671, 0.2565, 41.7073174, 0.0098654, -0.0903029, 0.2565, -102.2561035, 0.2565, -12.0121956, 0.2565, 159.3292694, 0.0098654, -0.0102388, 0.2565, 0, 0.2565, 0, 0.2565, 0, 0.0098654, -0.0104067, 0.2565, -359.2683105, 0.2565, 48.5975609, 0.2565, 120.36586, 0.0098654, -0.051194, 0.2565, -135.0609741, 0.2565, -12.560976, 0.2565, -113.3536606, 0.0098654, 0.0679789, 0.2565, 281.5853577, 0.2565, 151.4024353, 0.2565, -101.0975647, 0.0098654, -0.005539, 0.2565, -13.841464, 0.2565, 223.9024506, 0.2565, -30.2439022, , , , , , , , , , , , , , , , , , , , , , 
