Application:, Trigno Discover (2.0.1.3)
Date/Time:, 04-Nov-25 15:10:37
Collection Length (seconds):, 2.997
 Hamstrings right (85641), , , , , , , ,  Rectus Femoris right (85844), , , , , , , ,  Gastrocnemius left (85904), , , , , , , , TibilaisÂ Anterior right (85650), , , , , , , ,  Hamstrings left (85586), , , , , , , , TibilaisÂ Anterior left (85605), , , , , , , ,  Rectus Femoris left (85878), , , , , , , ,  Gastrocnemius right (85873)
sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49
EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s)
, 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz
, 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0.0051923, -0.0364233, 0.135, -253.7195129, 0.135, 78.1707306, 0.135, 92.3780518, 0.0051923, 0.0162814, 0.135, 307.012207, 0.135, -61.5853691, 0.135, 24.3902435, 0.0051923, -0.0382696, 0.135, 28.2317085, 0.135, -9.3902445, 0.135, 79.146347, 0.0051923, -0.0028534, 0.135, -131.9512177, 0.135, -125.4268341, 0.135, -123.5975647, 0.0051923, -0.0010071, 0.135, 144.4512177, 0.135, -76.9512177, 0.135, 21.3414631, 0.0051923, -0.0246738, 0.135, -83.2317123, 0.135, -1.7073171, 0.135, 28.780489, 0.0051923, -0.0293736, 0.135, -126.4634171, 0.135, -92.9878082, 0.135, -26.280489, 0.0051923, 0.0273594, 0.135, 194.2682953, 0.135, -111.8902435, 0.135, -25.4268303, , , , , , , , , , , , , , , , , , , , , , 
0.0057115, -0.0409552, 0.1485, -251.4024506, 0.1485, 24.7560978, 0.1485, 96.4024429, 0.0057115, 0.0172885, 0.1485, 246.5853729, 0.1485, -1.9512196, 0.1485, 66.7073212, 0.0057115, -0.0347448, 0.1485, 30.3658543, 0.1485, -13.6585369, 0.1485, 75.7317123, 0.0057115, -0.0041962, 0.1485, -115.7317123, 0.1485, -175.5487823, 0.1485, -81.5243912, 0.0057115, -0.0001678, 0.1485, 136.0365906, 0.1485, -30.6707325, 0.1485, 15.1829271, 0.0057115, -0.0075532, 0.1485, -78.9634171, 0.1485, -7.2560978, 0.1485, 30.7317085, 0.0057115, -0.0305486, 0.1485, -149.9390259, 0.1485, -44.9390259, 0.1485, 0.7926829, 0.0057115, 0.0130922, 0.1485, 167.6829376, 0.1485, -198.9634247, 0.1485, -14.3292685, , , , , , , , , , , , , , , , , , , , , , 
0.0062308, -0.0431373, 0.162, -257.4390259, 0.162, 36.8902435, 0.162, 76.2195129, 0.0062308, 0.0172885, 0.162, 160.1829376, 0.162, 2.3170731, 0.162, 80.8536606, 0.0062308, -0.0313878, 0.162, 25.5487804, 0.162, -6.5853658, 0.162, 72.1951218, 0.0062308, -0.0065461, 0.162, -76.0365906, 0.162, -195.9756165, 0.162, -28.2926826, 0.0062308, 0.002182, 0.162, 117.4390259, 0.162, -1.6463414, 0.162, 23.9634151, 0.0062308, 0.0092317, 0.162, -74.9390259, 0.162, -9.6951218, 0.162, 27.1951218, 0.0062308, -0.0310521, 0.162, -121.646347, 0.162, 11.4634151, 0.162, 25.1219521, 0.0062308, 0.0008392, 0.162, 76.5853653, 0.162, -266.1585388, 0.162, 5.1829271, , , , , , , , , , , , , , , , , , , , , , 
0.00675, -0.0446479, 0.1755, -262.012207, 0.1755, 51.6463432, 0.1755, 63.6585388, 0.00675, 0.0166171, 0.1755, 227.86586, 0.1755, 14.2682934, 0.1755, 71.4024429, 0.00675, -0.0297093, 0.1755, 23.4756107, 0.1755, 7.0731707, 0.1755, 68.7195129, 0.00675, -0.0095674, 0.1755, -16.7073174, 0.1755, -161.8292694, 0.1755, 40.7926826, 0.00675, 0.0062104, 0.1755, 99.5121994, 0.1755, 53.841465, 0.1755, 48.3536606, 0.00675, 0.0102388, 0.1755, -67.9268341, 0.1755, 12.9878054, 0.1755, 27.0121956, 0.00675, -0.0283665, 0.1755, -98.9024429, 0.1755, 58.5975609, 0.1755, 17.560976, 0.00675, -0.0083925, 0.1755, -25.6097565, 0.1755, -210.1219635, 0.1755, 4.9390244, , , , , , , , , , , , , , , , , , , , , , 
0.0072692, -0.04448, 0.189, -262.9268494, 0.189, 16.8902435, 0.189, 40.6707344, 0.0072692, 0.0176242, 0.189, 277.9268494, 0.189, 13.9024391, 0.189, 71.1585388, 0.0072692, -0.0287022, 0.189, 19.0243912, 0.189, 34.8170738, 0.189, 66.0365906, 0.0072692, -0.0095674, 0.189, 41.4634171, 0.189, -119.3902435, 0.189, 95.0609741, 0.0072692, 0.0092317, 0.189, 98.7804871, 0.189, 71.5853653, 0.189, 57.2560997, 0.0072692, 0.0018463, 0.189, -67.3780518, 0.189, 41.5853653, 0.189, 28.1097565, 0.0072692, -0.0263523, 0.189, -105.18293, 0.189, 76.9512177, 0.189, 7.0731707, 0.0072692, -0.0146029, 0.189, -125.7317123, 0.189, -182.9268341, 0.189, -6.0365853, , , , , , , , , , , , , , , , , , , , , , 
0.0077885, -0.0417945, 0.2025, -269.9390259, 0.2025, -64.6341476, 0.2025, 31.8292694, 0.0077885, 0.0193027, 0.2025, 272.1341553, 0.2025, -16.3414631, 0.2025, 79.8170776, 0.0077885, -0.0292058, 0.2025, 23.6585369, 0.2025, 35.0609779, 0.2025, 67.9878082, 0.0077885, -0.0068818, 0.2025, 83.4146347, 0.2025, -101.2804871, 0.2025, 134.0243988, 0.0077885, 0.0129244, 0.2025, 102.0731735, 0.2025, 62.9268303, 0.2025, 53.9024391, 0.0077885, -0.008896, 0.2025, -69.3292694, 0.2025, 40.3048782, 0.2025, 30.4878063, 0.0077885, -0.0253452, 0.2025, -109.3902435, 0.2025, 64.8780518, 0.2025, 5.1219511, 0.0077885, -0.0193027, 0.2025, -197.1951294, 0.2025, -150.6097565, 0.2025, -2.6829269, , , , , , , , , , , , , , , , , , , , , , 
0.0083077, -0.0404517, 0.216, -270.6097717, 0.216, -68.5975647, 0.216, 44.5121956, 0.0083077, 0.0206455, 0.216, 276.4024353, 0.216, -22.2560978, 0.216, 85.9146347, 0.0083077, -0.0307164, 0.216, 27.5, 0.216, 10.8536587, 0.216, 64.8780518, 0.0083077, -0.0057069, 0.216, 132.86586, 0.216, -89.6951218, 0.216, 167.6219482, 0.0083077, 0.0176242, 0.216, 105.8536606, 0.216, 31.9512196, 0.216, 40.8536606, 0.0083077, -0.0149386, 0.216, -63.7195129, 0.216, 11.8292685, 0.216, 32.0121956, 0.0083077, -0.0229953, 0.216, -113.5975647, 0.216, 33.6585388, 0.216, -1.9512196, 0.0083077, -0.0246738, 0.216, -229.6341553, 0.216, -92.2561035, 0.216, 34.8780479, , , , , , , , , , , , , , , , , , , , , , 
0.0088269, -0.0381018, 0.2295, -217.0731812, 0.2295, -56.4024391, 0.2295, 67.1951218, 0.0088269, 0.0198062, 0.2295, 272.8658752, 0.2295, -19.5731716, 0.2295, 94.9390259, 0.0088269, -0.0310521, 0.2295, 0, 0.2295, 0, 0.2295, 0, 0.0088269, -0.0082246, 0.2295, 188.0487823, 0.2295, -98.4756088, 0.2295, 183.0487823, 0.0088269, 0.0223239, 0.2295, 0, 0.2295, 0, 0.2295, 0, 0.0088269, -0.0164492, 0.2295, -56.341465, 0.2295, -17.9268303, 0.2295, 32.6219521, 0.0088269, -0.0176242, 0.2295, -116.4024429, 0.2295, 0.5487805, 0.2295, -5.1829271, 0.0088269, -0.0303807, 0.2295, -252.3170776, 0.2295, -31.5853672, 0.2295, 111.8902435, , , , , , , , , , , , , , , , , , , , , , 
0.0093462, -0.0354162, 0.243, -151.3414612, 0.243, -54.2682953, 0.243, 80.3048782, 0.0093462, 0.018967, 0.243, 231.5243988, 0.243, -20.4878044, 0.243, 98.3536606, 0.0093462, -0.0308843, 0.243, 32.9268303, 0.243, -30.060976, 0.243, 53.1097565, 0.0093462, -0.014435, 0.243, 236.4024506, 0.243, -115.18293, 0.243, 210.8536682, 0.0093462, 0.0253452, 0.243, 115.36586, 0.243, -23.9634151, 0.243, 19.939024, 0.0093462, -0.0182956, 0.243, -47.6219521, 0.243, -27.0731716, 0.243, 35.8536606, 0.0093462, -0.0102388, 0.243, -122.2561035, 0.243, -34.0853653, 0.243, -7.1341467, 0.0093462, -0.0330663, 0.243, -281.8292847, 0.243, -23.780489, 0.243, 160, , , , , , , , , , , , , , , , , , , , , , 
0.0098654, -0.0317235, 0.2565, -168.6585388, 0.2565, -42.8658562, 0.2565, 64.5121994, 0.0098654, 0.017792, 0.2565, 183.9024506, 0.2565, -23.2926826, 0.2565, 94.146347, 0.0098654, -0.0297093, 0.2565, 31.0975609, 0.2565, -24.6341476, 0.2565, 48.4146347, 0.0098654, -0.0229953, 0.2565, 274.6341553, 0.2565, -115.6097565, 0.2565, 252.5, 0.0098654, 0.0276951, 0.2565, 126.8902435, 0.2565, -48.2926826, 0.2565, 10.1219511, 0.0098654, -0.0224918, 0.2565, -42.0121956, 0.2565, -17.8048782, 0.2565, 37.8658562, 0.0098654, -0.0035248, 0.2565, -133.2317047, 0.2565, -57.0121956, 0.2565, -8.0487804, 0.0098654, -0.0305486, 0.2565, -345.1219482, 0.2565, -62.1951218, 0.2565, 152.6219482, , , , , , , , , , , , , , , , , , , , , , 
