,Time,Rectus Femoris right,Rectus Femoris left,Hamstrings right,Hamstrings left,TibilaisÂ Anterior right,TibilaisÂ Anterior left,Gastrocnemius right,Gastrocnemius left
0,0.0,-0.0459907,-0.0619364,-0.2056153,-0.0525368,0.0595865,0.0105745,-0.0005035,-0.0204776
1,0.0004655,-0.0464942,-0.096849,-0.199237,-0.0515297,0.0421302,0.0488441,-0.0125887,-0.0092317
2,0.000931,-0.0407874,-0.1582818,-0.170367,-0.0518654,0.0075532,0.0961776,-0.030045,0.0018463
3,0.0013966,-0.0330663,-0.2281071,-0.1339437,-0.0515297,-0.0243381,0.1508965,-0.0609293,0.0119173
4,0.0018621,-0.0293736,-0.2767834,-0.1012131,-0.0501869,-0.0391089,0.2158541,-0.0874495,0.0166171
5,0.0023276,-0.0293736,-0.2915541,-0.0753643,-0.0480049,-0.0538796,0.300618,-0.087953,0.008896
6,0.0027931,-0.0317235,-0.2818189,-0.0464942,-0.0464942,-0.0795605,0.4021668,-0.0619364,-0.0023499
7,0.0032586,-0.0407874,-0.2254215,-0.0045319,-0.0513619,-0.0931563,0.4996872,-0.0193027,-0.012253
8,0.0037241,-0.0513619,-0.1312581,0.0397803,-0.0605936,-0.0840925,0.5772335,0.0226596,-0.0354162
9,0.0041897,-0.057908,-0.0471656,0.0656291,-0.0693217,-0.0716716,0.6376593,0.04448,-0.0810712
10,0.0046552,-0.0565652,0.0115816,0.0703288,-0.0753643,-0.0636149,0.6876783,0.0394446,-0.1220264
11,0.0051207,-0.0466621,0.0480049,0.0629435,-0.0750286,-0.0592508,0.7266194,0.0209812,-0.1297475
12,0.0055862,-0.0354162,0.024506,0.0553902,-0.068986,-0.0495155,0.7447471,0.0018463,-0.1089342
13,0.0060517,-0.0236667,-0.0552224,0.0574044,-0.0605936,-0.0256809,0.7328298,-0.0142672,-0.0703288
14,0.0065172,-0.0077211,-0.1344472,0.070161,-0.051194,-0.0023499,0.6977493,-0.0219883,-0.0182956
15,0.0069828,0.0125887,-0.1978943,0.079057,-0.0424659,0.0031891,0.6571298,-0.0213169,0.043473
16,0.0074483,0.0320592,-0.2418708,0.0686503,-0.0379339,-0.0035248,0.6094606,-0.0152743,0.1042344
17,0.0079138,0.0471656,-0.2623484,0.0468299,-0.0431373,-0.0008392,0.5463493,-0.0062104,0.1505608
18,0.0083793,0.0572366,-0.2541238,0.0213169,-0.0572366,0.0132601,0.4624247,-0.0062104,0.1770809
19,0.0088448,0.0616007,-0.2178683,-0.002182,-0.0699931,0.0193027,0.3734646,-0.017792,0.1831235
20,0.0093103,0.0639506,-0.1592889,-0.0276951,-0.0693217,0.0011749,0.3002823,-0.0310521,0.1720455
21,0.0097759,0.0607614,-0.0941634,-0.064622,-0.0562295,-0.0270237,0.2334783,-0.0352483,0.1515679
22,0.0102414,0.0498512,-0.0448157,-0.1084306,-0.0387732,-0.0471656,0.1542535,-0.0357519,0.1240406
23,0.0107069,0.040116,-0.0142672,-0.142504,-0.0226596,-0.0528725,0.0710002,-0.0399481,0.0904707
24,0.0111724,0.0391089,0.0028534,-0.1535821,-0.0099031,-0.0344091,-0.0041962,-0.0436408,0.0565652
25,0.0116379,0.0381018,0.0115816,-0.1485466,0.0001678,0.0025177,-0.0792248,-0.0414588,0.023331
26,0.0121034,0.0285344,0.0203098,-0.1431754,0.0085603,0.0307164,-0.1542535,-0.0391089,-0.0087282
27,0.012569,0.0129244,0.0276951,-0.1344472,0.0139315,0.0327306,-0.2247501,-0.0391089,-0.0404517
28,0.0130345,-0.0072175,0.0327306,-0.1129625,0.023331,0.0172885,-0.2952468,-0.0330663,-0.0728466
29,0.0135,-0.0310521,0.0414588,-0.0835889,0.0360876,-0.0011749,-0.3644007,-0.0196384,-0.1055772
30,0.0139655,-0.0565652,0.0481727,-0.0508583,0.0493477,-0.0149386,-0.4231479,-0.005539,-0.1331044
31,0.014431,-0.0820783,0.0454871,-0.0256809,0.0595865,-0.0028534,-0.4671244,0.0052033,-0.1549248
32,0.0148966,-0.1008774,0.0411231,-0.0162814,0.0636149,0.0364233,-0.5003586,0.0166171,-0.1784237
33,0.0153621,-0.1129625,0.0486763,-0.0109102,0.0632792,0.0787213,-0.5265431,0.0219883,-0.2076295
34,0.0158276,-0.1237049,0.0763714,0.0045319,0.0609293,0.0897993,-0.5473564,0.0162814,-0.2317998
35,0.0162931,-0.1378042,0.1079271,0.026688,0.0565652,0.0592508,-0.5604486,0.0038605,-0.240528
36,0.0167586,-0.1552605,0.1287404,0.0387732,0.0505226,0.0119173,-0.574548,-0.0046998,-0.2324712
37,0.0172241,-0.1715419,0.1844663,0.0313878,0.0451514,-0.0384375,-0.5993896,-0.0082246,-0.2183719
38,0.0176897,-0.1774166,0.2522774,0.0172885,0.0394446,-0.0715038,-0.6332952,-0.0092317,-0.2042725
39,0.0181552,-0.1683528,0.2824903,0.0099031,0.0307164,-0.064622,-0.6618296,-0.012253,-0.1883268
40,0.0186207,-0.1445182,0.2751049,0.0125887,0.0206455,-0.0287022,-0.6789502,-0.0132601,-0.1713741
41,0.0190862,-0.1151446,0.2495918,0.0179599,0.0099031,0.0005035,-0.6903639,-0.0105745,-0.1596246
42,0.0195517,-0.0847639,0.2106508,0.0182956,-0.0010071,0.0075532,-0.6992599,-0.0063783,-0.1539178
43,0.0200172,-0.0535439,0.1775845,0.0146029,-0.0099031,-0.0082246,-0.7004349,-0.0028534,-0.1490501
44,0.0204828,-0.0216526,0.1649958,0.0105745,-0.01561,-0.0480049,-0.6863355,-0.0015106,-0.1367971
45,0.0209483,0.0099031,0.114641,-0.0048676,-0.018967,-0.0981918,-0.6670329,-0.0052033,-0.1163195
46,0.0214138,0.0369268,0.0125887,-0.0271916,-0.0213169,-0.1263905,-0.6618296,-0.0068818,-0.0914778
47,0.0218793,0.0562295,-0.047837,-0.0446479,-0.023331,-0.1250477,-0.6682078,-0.0062104,-0.0621042
48,0.0223448,0.0659648,-0.0337377,-0.0552224,-0.0243381,-0.1183337,-0.6648508,-0.005539,-0.026688
49,0.0228103,0.0666361,-0.0018463,-0.0641184,-0.0260166,-0.1193408,-0.6406806,-0.0068818,0.011078
50,0.0232759,0.0642863,0.0092317,-0.0652934,-0.0303807,-0.1270619,-0.6057679,-0.0129244,0.0441444
51,0.0237414,0.0647898,-0.0057069,-0.0527047,-0.0357519,-0.1420005,-0.5648127,-0.0229953,0.0683146
52,0.0242069,0.0693217,-0.0297093,-0.0307164,-0.0387732,-0.1505608,-0.5107652,-0.0305486,0.090135
53,0.0246724,0.0777142,-0.0223239,-0.0085603,-0.0417945,-0.13579,-0.4394293,-0.0307164,0.1116197
54,0.0251379,0.0871138,0.0182956,0.0031891,-0.0488441,-0.0981918,-0.3630579,-0.0250095,0.1284047
55,0.0256034,0.0894636,0.0629435,0.0105745,-0.0562295,-0.036759,-0.3120317,-0.0263523,0.1381399
56,0.026069,0.0785534,0.0897993,0.0240024,-0.0605936,0.0441444,-0.3127031,-0.0323949,0.1354543
57,0.0265345,0.0562295,0.0978561,0.0454871,-0.0605936,0.1287404,-0.3546654,-0.0350805,0.1299153
58,0.027,0.0260166,0.1077592,0.0636149,-0.0589151,0.207126,-0.3936065,-0.0303807,0.1295796
59,0.0274655,-0.008896,0.1139696,0.0647898,-0.0565652,0.2579843,-0.3931029,-0.021149,0.1367971
60,0.027931,-0.0468299,0.0998703,0.0488441,-0.0525368,0.2603342,-0.3563439,-0.0095674,0.1482109
61,0.0283966,-0.0820783,0.0740215,0.0204776,-0.0488441,0.2170291,-0.3086748,-0.0001678,0.156939
62,0.0288621,-0.1106126,0.0642863,-0.0135958,-0.0485084,0.1549248,-0.2722515,0.0065461,0.1579461
63,0.0293276,-0.1317617,0.0837568,-0.0340734,-0.0505226,0.0981918,-0.2519417,0.0117494,0.1582818
64,0.0297931,-0.142504,0.1104448,-0.0287022,-0.0522011,0.043473,-0.2321355,0.01561,0.1789273
65,0.0302586,-0.1465324,0.1134661,-0.0028534,-0.0532082,-0.0031891,-0.1989014,0.0199741,0.2042725
66,0.0307241,-0.1445182,0.082414,0.0293736,-0.0538796,-0.0374304,-0.1596246,0.0231632,0.2116579
67,0.0311897,-0.139147,0.0320592,0.0481727,-0.0525368,-0.0814069,-0.1218585,0.0226596,0.2042725
68,0.0316552,-0.1297475,-0.0068818,0.0428016,-0.051194,-0.1331044,-0.0908064,0.0172885,0.1995727
