,Time,Rectus Femoris right,Rectus Femoris left,Hamstrings right,Hamstrings left,TibilaisÂ Anterior right,TibilaisÂ Anterior left,Gastrocnemius right,Gastrocnemius left
0,0.0,0.0261845,-0.0159457,-0.01561,0.0938277,-0.0263523,-0.0052033,0.0186313,-0.0458228
1,0.0004655,0.024506,-0.0149386,-0.018967,0.0206455,-0.0135958,-0.0236667,0.0090639,-0.0446479
2,0.000931,0.0223239,-0.0142672,-0.0196384,-0.0552224,-0.0028534,-0.0404517,0.0038605,-0.0431373
3,0.0013966,0.0182956,-0.01561,-0.01561,-0.1085985,0.0005035,-0.0345769,0.0035248,-0.0397803
4,0.0018621,0.0152743,-0.0166171,-0.008896,-0.1381399,0.0016785,-0.0095674,0.0035248,-0.0337377
5,0.0023276,0.0125887,-0.0162814,-0.0166171,-0.139147,0.0105745,0.0109102,0.0104067,-0.0297093
6,0.0027931,0.0109102,-0.0179599,-0.06009,-0.1038987,0.0290379,0.0117494,0.0226596,-0.0287022
7,0.0032586,0.0099031,-0.0203098,-0.1190051,-0.047837,0.0495155,0.0070497,0.0307164,-0.0293736
8,0.0037241,0.0105745,-0.0223239,-0.1505608,0.0132601,0.0629435,0.0052033,0.0283665,-0.030045
9,0.0041897,0.0132601,-0.0218204,-0.1451896,0.0763714,0.0696574,0.0011749,0.0105745,-0.0310521
10,0.0046552,0.0159457,-0.0223239,-0.1164874,0.1250477,0.072343,-0.0095674,-0.0152743,-0.0307164
11,0.0051207,0.018967,-0.0243381,-0.0849317,0.1455253,0.0726787,-0.0169528,-0.0263523,-0.0323949
12,0.0055862,0.0199741,-0.0256809,-0.0673075,0.1472038,0.0703288,-0.0179599,-0.0209812,-0.0345769
13,0.0060517,0.0203098,-0.0243381,-0.0627756,0.1320974,0.068986,-0.0203098,-0.018967,-0.0377661
14,0.0065172,0.0208133,-0.023331,-0.0713359,0.0929885,0.0710002,-0.0283665,-0.0193027,-0.0428016
15,0.0069828,0.0224918,-0.0219883,-0.0963455,0.0461585,0.0730144,-0.0357519,-0.0058747,-0.0458228
16,0.0074483,0.0253452,-0.0206455,-0.1200122,-0.0015106,0.0713359,-0.0377661,0.0142672,-0.0464942
17,0.0079138,0.0283665,-0.0213169,-0.1190051,-0.061265,0.0656291,-0.0323949,0.0280308,-0.0468299
18,0.0083793,0.0307164,-0.0219883,-0.1079271,-0.1190051,0.0569009,-0.023331,0.0360876,-0.0458228
19,0.0088448,0.0357519,-0.021149,-0.0948348,-0.1435111,0.0458228,-0.0176242,0.0421302,-0.0431373
20,0.0093103,0.0439765,-0.0196384,-0.0699931,-0.13579,0.0392767,-0.0171206,0.0461585,-0.0377661
21,0.0097759,0.0522011,-0.0176242,-0.0323949,-0.1169909,0.0377661,-0.0246738,0.0493477,-0.0344091
22,0.0102414,0.0562295,-0.0149386,-0.0001678,-0.1104448,0.0313878,-0.0552224,0.0495155,-0.0320592
23,0.0107069,0.0565652,-0.0129244,0.0206455,-0.0958419,0.0179599,-0.2492561,0.04448,-0.0285344
24,0.0111724,0.0557259,-0.0125887,0.0337377,-0.057908,0.0058747,-0.585626,0.0283665,-0.0236667
25,0.0116379,0.0533761,-0.0129244,0.036759,-0.0164492,0.0016785,-0.7845274,0.0072175,-0.0216526
26,0.0121034,0.0518654,-0.0169528,0.0340734,0.0052033,0.0072175,-0.7717708,0.0005035,-0.0243381
27,0.012569,0.0500191,-0.0229953,0.0327306,0.0075532,0.0146029,-0.6789502,0.0099031,-0.0258488
28,0.0130345,0.0461585,-0.0253452,0.0226596,0.0045319,0.0119173,-0.6071107,0.0137636,-0.023331
29,0.0135,0.0394446,-0.0243381,-0.0317235,-0.0001678,0.002182,-0.5597772,0.0085603,-0.0193027
30,0.0139655,0.0327306,-0.0238346,-0.1196765,0.0057069,-0.0048676,-0.5000229,0.0085603,-0.0162814
31,0.014431,0.0263523,-0.0313878,-0.173724,0.0347448,-0.0058747,-0.4281834,0.0179599,-0.0172885
32,0.0148966,0.0223239,-0.0464942,-0.1735561,0.0582437,-0.0062104,-0.3795071,0.0270237,-0.0199741
33,0.0153621,0.0193027,-0.0582437,-0.1453574,0.0203098,-0.0041962,-0.3543297,0.0347448,-0.0224918
34,0.0158276,0.0159457,-0.0605936,-0.1049058,-0.0782177,-0.0003357,-0.3257954,0.0558938,-0.0250095
35,0.0162931,0.0099031,-0.0562295,-0.0659648,-0.1851377,0.0030213,-0.2808118,0.072343,-0.0256809
36,0.0167586,0.002182,-0.0485084,-0.0337377,-0.240528,0.005539,-0.2254215,0.0569009,-0.0270237
37,0.0172241,-0.0031891,-0.0387732,-0.0048676,-0.2195468,0.011078,-0.181445,0.0276951,-0.0288701
38,0.0176897,-0.0070497,-0.0273594,0.0146029,-0.1508965,0.0204776,-0.1535821,0.0206455,-0.0307164
39,0.0181552,-0.0109102,-0.0149386,0.0166171,-0.0661326,0.0246738,-0.1210193,0.0287022,-0.0303807
40,0.0186207,-0.0176242,-0.0015106,0.0117494,0.011078,0.0176242,-0.0716716,0.0196384,-0.0265202
41,0.0190862,-0.0250095,0.0099031,0.0099031,0.0755322,0.0078889,-0.0203098,0.0048676,-0.0223239
42,0.0195517,-0.0280308,0.0159457,0.0135958,0.1312581,0.0057069,0.0253452,0.0115816,-0.0172885
43,0.0200172,-0.0256809,0.0169528,0.0186313,0.1596246,0.0085603,0.0763714,0.0223239,-0.0125887
44,0.0204828,-0.018967,0.0151064,0.018967,0.1408255,0.0077211,0.1441825,0.0253452,-0.0099031
45,0.0209483,-0.0083925,0.0146029,0.0124208,0.0861067,0.0011749,0.2203861,0.0438087,-0.0092317
46,0.0214138,0.0023499,0.0135958,-0.0008392,0.0273594,-0.0072175,0.2791333,0.0533761,-0.0129244
47,0.0218793,0.0095674,0.0092317,-0.0008392,-0.0223239,-0.0125887,0.3043107,0.0236667,-0.0226596
48,0.0223448,0.0142672,0.0025177,0.0142672,-0.0649577,-0.0135958,0.3080034,-0.0166171,-0.0323949
49,0.0228103,0.0199741,-0.0058747,0.0236667,-0.1008774,-0.01561,0.307332,-0.042298,-0.0406195
50,0.0232759,0.0260166,-0.0149386,0.0154421,-0.1129625,-0.0263523,0.3127031,-0.0357519,-0.0451514
51,0.0237414,0.0298772,-0.0213169,-0.005539,-0.0874495,-0.0404517,0.3234455,-0.0095674,-0.0464942
52,0.0242069,0.030045,-0.0229953,-0.0263523,-0.0229953,-0.0505226,0.3286488,0.0058747,-0.0417945
53,0.0246724,0.0307164,-0.0191348,-0.0360876,0.0639506,-0.0542153,0.3355306,0.0226596,-0.0260166
54,0.0251379,0.0337377,-0.0139315,-0.0236667,0.121355,-0.0498512,0.3486229,0.0599222,-0.0045319
55,0.0256034,0.040116,-0.0105745,-0.0001678,0.1169909,-0.0384375,0.3586938,0.0743572,0.0078889
56,0.026069,0.0485084,-0.0085603,0.0159457,0.0654612,-0.0283665,0.3555047,0.0240024,0.0058747
57,0.0265345,0.0575723,-0.005539,0.017792,0.0186313,-0.0191348,0.3385519,-0.0616007,-0.0025177
58,0.027,0.0622721,-0.0028534,0.0092317,0.0199741,-0.0060426,0.3172351,-0.1230335,-0.0082246
59,0.0274655,0.0639506,-0.002182,-0.0008392,0.0693217,0.0078889,0.2979324,-0.1329366,-0.0109102
60,0.027931,0.0683146,-0.0003357,-0.0072175,0.1193408,0.0146029,0.2848402,-0.1129625,-0.0166171
61,0.0283966,0.0746929,0.002182,-0.0112459,0.1277333,0.0062104,0.2804761,-0.0874495,-0.0251774
62,0.0288621,0.0777142,0.0025177,-0.0169528,0.0810712,-0.0099031,0.2875257,-0.0605936,-0.0337377
63,0.0293276,0.0743572,-0.0018463,-0.024506,-0.0085603,-0.0196384,0.2992752,-0.0310521,-0.0464942
64,0.0297931,0.0649577,-0.0102388,-0.0310521,-0.1005417,-0.0159457,0.3051499,-0.0052033,-0.0605936
65,0.0302586,0.0515297,-0.0152743,-0.0365911,-0.1666743,-0.0068818,0.303975,0.0038605,-0.0710002
66,0.0307241,0.040116,-0.0139315,-0.047837,-0.1925231,-0.0043641,0.2975967,0.002182,-0.0830854
67,0.0311897,0.0327306,-0.0099031,-0.0669718,-0.1895018,-0.0085603,0.2851759,0.005539,-0.0978561
68,0.0316552,0.0256809,-0.0065461,-0.0892958,-0.1680171,-0.0152743,0.2720836,0.0172885,-0.1065843
69,0.0321207,0.0198062,0.0005035,-0.1082628,-0.1126268,-0.0199741,0.2655375,0.0261845,-0.1075914
70,0.0325862,0.0166171,0.0105745,-0.1169909,-0.0243381,-0.0219883,0.2596628,0.0276951,-0.1010452
71,0.0330517,0.0151064,0.0216526,-0.1055772,0.0533761,-0.0276951,0.2500954,0.0313878,-0.0864424
72,0.0335172,0.0142672,0.0287022,-0.0800641,0.0847639,-0.0307164,0.2422065,0.0421302,-0.0619364
73,0.0339828,0.0109102,0.0337377,-0.0585794,0.0770428,-0.0256809,0.2406958,0.0542153,-0.0307164
74,0.0344483,0.0041962,0.0384375,-0.047837,0.0580758,-0.0139315,0.2361639,0.0575723,-0.0038605
75,0.0349138,-0.0062104,0.0394446,-0.0431373,0.0468299,-0.0072175,0.2250858,0.0458228,0.0075532
76,0.0353793,-0.0221561,0.0354162,-0.0411231,0.0548867,-0.008896,0.2062867,0.010071,0.0078889
77,0.0358448,-0.0414588,0.030045,-0.0394446,0.0750286,-0.0112459,0.1797665,-0.0370947,0.0115816
78,0.0363103,-0.0609293,0.0179599,-0.0372625,0.0522011,-0.0031891,0.1520714,-0.0602579,0.0229953
79,0.0367759,-0.0767071,-0.0031891,-0.0458228,-0.0330663,0.0132601,0.1297475,-0.0505226,0.0350805
80,0.0372414,-0.0887922,-0.0216526,-0.0647898,-0.124712,0.023331,0.1099413,-0.0359197,0.0374304
81,0.0377069,-0.0931563,-0.0240024,-0.0773785,-0.1646601,0.023331,0.0856031,-0.0340734,0.0325628
82,0.0381724,-0.0815747,-0.0125887,-0.0780499,-0.1366293,0.0231632,0.0663005,-0.0381018,0.0276951
83,0.0386379,-0.0572366,0.0025177,-0.0669718,-0.0874495,0.0250095,0.0587472,-0.0411231,0.0248417
84,0.0391034,-0.0305486,0.0169528,-0.0364233,-0.0647898,0.0246738,0.0572366,-0.0448157,0.0287022
85,0.039569,-0.0068818,0.0307164,0.0065461,-0.0582437,0.0186313,0.0520333,-0.0501869,0.040116
86,0.0400345,0.0095674,0.0464942,0.0313878,-0.0313878,0.0078889,0.040116,-0.0584115,0.0515297
87,0.0405,0.0198062,0.0595865,0.0240024,0.0092317,0.0011749,0.0238346,-0.066804,0.0592508
88,0.0409655,0.0280308,0.0669718,0.0159457,0.0337377,0.0005035,0.005539,-0.0572366,0.064622
89,0.041431,0.0350805,0.0681468,0.0253452,0.0297093,0.0005035,-0.0109102,-0.0263523,0.0753643
90,0.0418966,0.0384375,0.0649577,0.0381018,-0.0070497,-0.0031891,-0.0216526,-0.003357,0.0941634
91,0.0423621,0.0387732,0.057908,0.0253452,-0.0663005,-0.010071,-0.026688,0.0031891,0.1141375
92,0.0428276,0.0374304,0.047837,-0.0109102,-0.1049058,-0.0184634,-0.0292058,-0.0011749,0.1257191
93,0.0432931,0.0391089,0.0354162,-0.0370947,-0.0928206,-0.0226596,-0.0357519,-0.0149386,0.1297475
