iter	MultiClass
0	1.344694404
1	1.303010155
2	1.275375143
3	1.23866392
4	1.209004415
5	1.181020993
6	1.157619607
7	1.127628292
8	1.098234821
9	1.072071606
10	1.045678303
11	1.024234316
12	0.9966095703
13	0.9757118268
14	0.9529673155
15	0.9314670129
16	0.9098980686
17	0.8908790737
18	0.8749368847
19	0.8529217022
20	0.8353937822
21	0.8143428396
22	0.7911688975
23	0.7701914591
24	0.7574589851
25	0.7429534675
26	0.7274346438
27	0.713915891
28	0.6989508315
29	0.6793438268
30	0.6658649578
31	0.6547356185
32	0.6437332471
33	0.6298977117
34	0.6198867348
35	0.6061418372
36	0.5957413837
37	0.586308444
38	0.5749422753
39	0.5659515071
40	0.5549720832
41	0.5472862817
42	0.5405916692
43	0.5304104267
44	0.5186131516
45	0.5101110068
46	0.5020646236
47	0.4898706092
48	0.4812286188
49	0.4742902762
50	0.4681307955
51	0.4605815607
52	0.4540174949
53	0.4469054609
54	0.4395197035
55	0.4330432653
56	0.4261009684
57	0.4205848109
58	0.415062807
59	0.4091794565
60	0.4024528019
61	0.3976485185
62	0.3920821619
63	0.3853414222
64	0.3797746557
65	0.3736875022
66	0.3688657291
67	0.3644152094
68	0.3597809509
69	0.3534974397
70	0.3497486416
71	0.3429703134
72	0.3385442569
73	0.3350747452
74	0.3302015283
75	0.3235885326
76	0.3186098546
77	0.3130120483
78	0.3093183605
79	0.3044392617
80	0.3001778491
81	0.2958020219
82	0.2921972147
83	0.289120016
84	0.2852139313
85	0.2816710671
86	0.2777206569
87	0.2732271225
88	0.2684520388
89	0.2639900757
90	0.2602873943
91	0.2575200198
92	0.2539114784
93	0.2510766068
94	0.2475162005
95	0.2445057691
96	0.2419279507
97	0.2386122902
98	0.2355968415
99	0.2322520696
100	0.2298782567
101	0.2273985913
102	0.2237425525
103	0.2208843109
104	0.2173528617
105	0.2146294766
106	0.2115248682
107	0.2089815107
108	0.2064221788
109	0.2041974127
110	0.2011556353
111	0.1989978755
112	0.1960309309
113	0.1939550174
114	0.1915517415
115	0.189519175
116	0.1872527139
117	0.1849000299
118	0.1827340603
119	0.1809382297
120	0.1785319517
121	0.1765886505
122	0.1752056983
123	0.1732902064
124	0.1715567835
125	0.1695365783
126	0.1678577159
127	0.1660187612
128	0.1644513062
129	0.1627265296
130	0.1609409691
131	0.1595523295
132	0.1580864042
133	0.1563194181
134	0.154790255
135	0.1534448451
136	0.1519438815
137	0.1505871602
138	0.1488052166
139	0.1469184417
140	0.1456458459
141	0.1441376723
142	0.14294201
143	0.1410750258
144	0.1399551113
145	0.1384182589
146	0.1369584008
147	0.135460316
148	0.1346125826
149	0.1336278979
150	0.132540034
151	0.1311638331
152	0.1299979208
153	0.129223701
154	0.1283426272
155	0.127180568
156	0.1261397326
157	0.1249781375
158	0.1238757032
159	0.1225674621
160	0.1215258757
161	0.1205692884
162	0.1193700012
163	0.1185102254
164	0.1175477836
165	0.1166153176
166	0.1153807218
167	0.1144416118
168	0.1135085553
169	0.1126175251
170	0.1114118802
171	0.1107227275
172	0.1095829924
173	0.1087861139
174	0.1080141825
175	0.1068837315
176	0.105853426
177	0.1050975142
178	0.104352563
179	0.1032988306
180	0.1026013117
181	0.1020496783
182	0.1012415685
183	0.1006296216
184	0.0999413364
185	0.09929693723
186	0.09859260044
187	0.09777586969
188	0.09711114173
189	0.0964528782
190	0.09583827418
191	0.09516596523
192	0.09470529808
193	0.09404701566
194	0.09346846619
195	0.09293059875
196	0.09227295639
197	0.09179144257
198	0.09100681253
199	0.09028634251
200	0.08980514497
201	0.08922456415
202	0.08860728371
203	0.0880418047
204	0.0876162486
205	0.08706872367
206	0.086515197
207	0.08599589869
208	0.08555690601
209	0.08510115519
210	0.08453958584
211	0.08403362553
212	0.08350044508
213	0.08303049121
214	0.08248132837
215	0.08200758644
216	0.08146375179
217	0.08103121393
218	0.08055854225
219	0.08005361373
220	0.07937707671
221	0.078866522
222	0.07839268417
223	0.07800580996
224	0.0775055171
225	0.0769303586
226	0.07661823379
227	0.0760947591
228	0.07564290516
229	0.07526925155
230	0.07474967621
231	0.07421558444
232	0.0737881846
233	0.07343215654
234	0.07295449055
235	0.07251945031
236	0.07201408087
237	0.07160698183
238	0.07119183467
239	0.07077348405
240	0.07044452756
241	0.07008245138
242	0.06964180669
243	0.06924088311
244	0.06887168871
245	0.06840909371
246	0.06810460228
247	0.06767152282
248	0.06735151323
249	0.0669984487
250	0.06662643352
251	0.0662732511
252	0.06593607198
253	0.06558724602
254	0.06521860007
255	0.06489550373
256	0.06455540445
257	0.06417997417
258	0.06385353402
259	0.06349001839
260	0.06317120267
261	0.0628692299
262	0.06260721332
263	0.06231986187
264	0.06208403565
265	0.06180578436
266	0.06159478707
267	0.06125379202
268	0.06098649014
269	0.06078480564
270	0.0604683438
271	0.06021161427
272	0.05991415671
273	0.05971877226
274	0.05946023483
275	0.05917165009
276	0.05892616201
277	0.05870219867
278	0.05835778187
279	0.05808782981
280	0.05784589009
281	0.05748236915
282	0.05725920361
283	0.05697535002
284	0.05669275572
285	0.05645232618
286	0.05618064105
287	0.05590341205
288	0.05564987715
289	0.05543737533
290	0.05518435168
291	0.05496752765
292	0.05476948617
293	0.05454455582
294	0.05428969719
295	0.05408680728
296	0.05391146361
297	0.05365852923
298	0.05336167233
299	0.05309095311
