Time,Rectus Femoris right,Rectus Femoris left,Hamstrings right,Hamstrings left,TibilaisÂ Anterior right,Gastrocnemius right,Gastrocnemius left
0.0,0.0008253251718509446,-0.006006708442271059,-0.005123793587977278,0.001248763207611944,0.002278852023936795,0.009201828276094063,0.0008536683626821463
0.0004655,0.0010018144106749584,-0.0057439373131052,-0.004578823392777772,0.0012494501026200486,0.002514032186024571,0.009688325377047582,0.0009236427789550323
0.000931,0.0011782859821990025,-0.005481410105112339,-0.00403286088339352,0.0012499230578643633,0.0027487538638716344,0.010177999156931546,0.0009934992795572143
0.0013966,0.0013547156804476683,-0.005219165098461247,-0.0034859786200631088,0.0012501829919120571,0.002982983729056245,0.01067081612482018,0.0010632268350447326
0.0018621,0.0015310792605059225,-0.004957240571359792,-0.002938249640099077,0.001250230948626761,0.0032166885588786275,0.011166742155516714,0.0011328144215302573
0.0023276,0.0017073524449017134,-0.004695674788706304,-0.0023897474418442125,0.00125006809882835,0.0034498352470170076,0.011665742493677243,0.0012022510240389096
0.0027931,0.0018835109299856938,-0.004434505990754668,-0.0018405459684898318,0.0012496957419304308,0.003682390814133961,0.012167781757979576,0.0012715256398576772
0.0032586,0.0020595303923042164,-0.004173772381800773,-0.0012907195917621927,0.0012491153075544854,0.003914322418425357,0.012672823945328633,0.0013406272818755592
0.0037241,0.002235386494961779,-0.003913512118897882,-0.0007403430954828601,0.001248328357119633,0.004145597366104365,0.013180832435090509,0.0014095449819116932
0.0041897,0.002411054893969128,-0.0036537633006083416,-0.00018949165900855695,0.0012473365854069707,0.004376183121813227,0.013691769993348047,0.0014782677940288571
0.0046552,0.0025865112445733144,-0.0033945639557989024,0.00036175915944420254,0.0012461418220974505,0.004606047318955804,0.01420559877717118,0.0015467847978299194
0.0051207,0.0027617312075661157,-0.0031359520324865803,0.0009133334395845557,0.0012447460332822478,0.004835157769944147,0.014722280338895643,0.0016150851017349885
0.0055862,0.002936690455567455,-0.002877965386741592,0.0014651549159377859,0.0012431513229445687,0.005063482476352619,0.015241775630403884,0.0016831578462372133
0.0060517,0.0031113646792806492,-0.0026206417716533406,0.0020171469948359706,0.0012413599344118515,0.005290989638973279,0.01576404500740199,0.0017509922071353666
0.0065172,0.0032857295937165497,-0.002364018826364795,0.002569232771504037,0.0012393742517773124,0.005517647667766388,0.016289048233686838,0.001818577398741512
0.0069828,0.0034597609443838026,-0.002108134065179948,0.003121335047236669,0.0012371968012897926,0.005743425191699955,0.016816744485397897,0.001885902677062193
0.0074483,0.003633434513442581,-0.0018530248667484172,0.003673376346661757,0.001234830252710858,0.005968291068472314,0.017347092355248506,0.001952957342951699
0.0079138,0.003806726125819241,-0.0015987284633307243,0.004225278935086396,0.001232277420638101,0.0061922143941116874,0.017880049856731774,0.0020197307452360616
0.0083793,0.0039796116552794575,-0.0013452819301473776,0.004776964835921762,0.0012295412657935836,0.0064151645124468,0.0184155744282966,0.0020862122838064974
