file,player,n_samples,fs_used,Rectus Femoris right__mean,Rectus Femoris right__std,Rectus Femoris right__rms,Rectus Femoris right__rms_rel,Rectus Femoris right__mav,Rectus Femoris right__mav_rel,Rectus Femoris right__wl,Rectus Femoris right__peak,Rectus Femoris right__peak_rel,Rectus Femoris right__iEMG,Rectus Femoris right__iEMG_rel,Rectus Femoris right__mnf,Rectus Femoris right__mdf,Rectus Femoris right__bp_20_60,Rectus Femoris right__bp_60_100,Rectus Femoris right__bp_100_200,Rectus Femoris right__time_to_peak_s,Rectus Femoris right__dur_halfmax_s,Rectus Femoris right__mrms_mean,Rectus Femoris right__mrms_mean_rel,Rectus Femoris right__mrms_peak,Rectus Femoris right__mrms_peak_rel,Rectus Femoris left__mean,Rectus Femoris left__std,Rectus Femoris left__rms,Rectus Femoris left__rms_rel,Rectus Femoris left__mav,Rectus Femoris left__mav_rel,Rectus Femoris left__wl,Rectus Femoris left__peak,Rectus Femoris left__peak_rel,Rectus Femoris left__iEMG,Rectus Femoris left__iEMG_rel,Rectus Femoris left__mnf,Rectus Femoris left__mdf,Rectus Femoris left__bp_20_60,Rectus Femoris left__bp_60_100,Rectus Femoris left__bp_100_200,Rectus Femoris left__time_to_peak_s,Rectus Femoris left__dur_halfmax_s,Rectus Femoris left__mrms_mean,Rectus Femoris left__mrms_mean_rel,Rectus Femoris left__mrms_peak,Rectus Femoris left__mrms_peak_rel,Hamstrings right__mean,Hamstrings right__std,Hamstrings right__rms,Hamstrings right__rms_rel,Hamstrings right__mav,Hamstrings right__mav_rel,Hamstrings right__wl,Hamstrings right__peak,Hamstrings right__peak_rel,Hamstrings right__iEMG,Hamstrings right__iEMG_rel,Hamstrings right__mnf,Hamstrings right__mdf,Hamstrings right__bp_20_60,Hamstrings right__bp_60_100,Hamstrings right__bp_100_200,Hamstrings right__time_to_peak_s,Hamstrings right__dur_halfmax_s,Hamstrings right__mrms_mean,Hamstrings right__mrms_mean_rel,Hamstrings right__mrms_peak,Hamstrings right__mrms_peak_rel,Hamstrings left__mean,Hamstrings left__std,Hamstrings left__rms,Hamstrings left__rms_rel,Hamstrings left__mav,Hamstrings left__mav_rel,Hamstrings left__wl,Hamstrings left__peak,Hamstrings left__peak_rel,Hamstrings left__iEMG,Hamstrings left__iEMG_rel,Hamstrings left__mnf,Hamstrings left__mdf,Hamstrings left__bp_20_60,Hamstrings left__bp_60_100,Hamstrings left__bp_100_200,Hamstrings left__time_to_peak_s,Hamstrings left__dur_halfmax_s,Hamstrings left__mrms_mean,Hamstrings left__mrms_mean_rel,Hamstrings left__mrms_peak,Hamstrings left__mrms_peak_rel,TibilaisÂ Anterior right__mean,TibilaisÂ Anterior right__std,TibilaisÂ Anterior right__rms,TibilaisÂ Anterior right__rms_rel,TibilaisÂ Anterior right__mav,TibilaisÂ Anterior right__mav_rel,TibilaisÂ Anterior right__wl,TibilaisÂ Anterior right__peak,TibilaisÂ Anterior right__peak_rel,TibilaisÂ Anterior right__iEMG,TibilaisÂ Anterior right__iEMG_rel,TibilaisÂ Anterior right__mnf,TibilaisÂ Anterior right__mdf,TibilaisÂ Anterior right__bp_20_60,TibilaisÂ Anterior right__bp_60_100,TibilaisÂ Anterior right__bp_100_200,TibilaisÂ Anterior right__time_to_peak_s,TibilaisÂ Anterior right__dur_halfmax_s,TibilaisÂ Anterior right__mrms_mean,TibilaisÂ Anterior right__mrms_mean_rel,TibilaisÂ Anterior right__mrms_peak,TibilaisÂ Anterior right__mrms_peak_rel,TibilaisÂ Anterior left__mean,TibilaisÂ Anterior left__std,TibilaisÂ Anterior left__rms,TibilaisÂ Anterior left__rms_rel,TibilaisÂ Anterior left__mav,TibilaisÂ Anterior left__mav_rel,TibilaisÂ Anterior left__wl,TibilaisÂ Anterior left__peak,TibilaisÂ Anterior left__peak_rel,TibilaisÂ Anterior left__iEMG,TibilaisÂ Anterior left__iEMG_rel,TibilaisÂ Anterior left__mnf,TibilaisÂ Anterior left__mdf,TibilaisÂ Anterior left__bp_20_60,TibilaisÂ Anterior left__bp_60_100,TibilaisÂ Anterior left__bp_100_200,TibilaisÂ Anterior left__time_to_peak_s,TibilaisÂ Anterior left__dur_halfmax_s,TibilaisÂ Anterior left__mrms_mean,TibilaisÂ Anterior left__mrms_mean_rel,TibilaisÂ Anterior left__mrms_peak,TibilaisÂ Anterior left__mrms_peak_rel,Gastrocnemius right__mean,Gastrocnemius right__std,Gastrocnemius right__rms,Gastrocnemius right__rms_rel,Gastrocnemius right__mav,Gastrocnemius right__mav_rel,Gastrocnemius right__wl,Gastrocnemius right__peak,Gastrocnemius right__peak_rel,Gastrocnemius right__iEMG,Gastrocnemius right__iEMG_rel,Gastrocnemius right__mnf,Gastrocnemius right__mdf,Gastrocnemius right__bp_20_60,Gastrocnemius right__bp_60_100,Gastrocnemius right__bp_100_200,Gastrocnemius right__time_to_peak_s,Gastrocnemius right__dur_halfmax_s,Gastrocnemius right__mrms_mean,Gastrocnemius right__mrms_mean_rel,Gastrocnemius right__mrms_peak,Gastrocnemius right__mrms_peak_rel,Gastrocnemius left__mean,Gastrocnemius left__std,Gastrocnemius left__rms,Gastrocnemius left__rms_rel,Gastrocnemius left__mav,Gastrocnemius left__mav_rel,Gastrocnemius left__wl,Gastrocnemius left__peak,Gastrocnemius left__peak_rel,Gastrocnemius left__iEMG,Gastrocnemius left__iEMG_rel,Gastrocnemius left__mnf,Gastrocnemius left__mdf,Gastrocnemius left__bp_20_60,Gastrocnemius left__bp_60_100,Gastrocnemius left__bp_100_200,Gastrocnemius left__time_to_peak_s,Gastrocnemius left__dur_halfmax_s,Gastrocnemius left__mrms_mean,Gastrocnemius left__mrms_mean_rel,Gastrocnemius left__mrms_peak,Gastrocnemius left__mrms_peak_rel,Rectus Femoris__LR_mean_ratio,Rectus Femoris__LR_mean_absdev1,Rectus Femoris__LR_coact_simple,TibilaisÂ Anterior__LR_mean_ratio,TibilaisÂ Anterior__LR_mean_absdev1,TibilaisÂ Anterior__LR_coact_simple,Gastrocnemius__LR_mean_ratio,Gastrocnemius__LR_mean_absdev1,Gastrocnemius__LR_coact_simple,Hamstrings__LR_mean_ratio,Hamstrings__LR_mean_absdev1,Hamstrings__LR_coact_simple,trial_mean_of_channel_means,trial_peak_of_channel_peaks
data/preprocessed_ml\ChipShot_Jordan_1.csv,preprocessed_ml,6438,2148.1481,0.016056758972185566,0.03132981434019892,0.0352047834147889,0.03941904012023446,0.016056758972185566,0.01797886436817645,0.46832763838374375,0.1672009836458284,0.18721610085829568,103.35524117922603,115.72758027447303,4.126252300920975,4.1956017578125,3.792752884848938e-09,1.0468464144692755e-11,1.068717684670405e-12,0.3258620762693224,0.13872414104036868,0.01626357765159403,0.018210440677712596,0.16230648171076148,0.18173569310024318,0.007387152571376566,0.01181855620386955,0.013937298657086275,0.015605689955774098,0.007541806286055355,0.008444612797821273,0.26221435006347116,0.0750820546478849,0.08406989725240886,48.53595268533816,54.34604279864502,4.271398893953035,4.1956017578125,8.590487892224922e-10,1.5229992854061085e-12,1.494955911830557e-13,0.07122413952743761,0.10101724364348995,0.007712627128279472,0.008635882079431908,0.07139913397010304,0.0799461054299562,0.010025380985609298,0.02187771434283303,0.0240653827888363,0.02694617599219297,0.010310653165099055,0.011544909849100947,0.3646956202820363,0.097917453922499,0.10963885217429738,66.35769211911338,74.30116802907708,4.117040027247869,4.1956017578125,1.8550189841495895e-09,4.570500068117998e-12,4.650132519418206e-13,0.3263275935211357,0.2811724200952439,0.010568020170016236,0.011833085469241054,0.09377160171987503,0.10499671271323925,0.005251534493305676,0.0037349407636532712,0.006444253024391438,0.007215674799655675,0.005251534493305676,0.0058801795893864296,0.07358792547383079,0.01889189425223,0.021153385001739446,33.80025402126231,37.84637881846899,4.512349903548695,4.1956017578125,1.850497186686338e-11,4.211460067802629e-14,4.2511772258197885e-15,0.035844828389625466,0.4846034591376638,0.00527041341237844,0.005901318445989743,0.018115645704114183,0.02028421411944971,0.0554652424727409,0.15195364505105072,0.16176001782535956,0.18112381369825634,0.05577515641074214,0.06245182941088064,2.0567794286310623,0.8930908339576157,1.0,359.0709230122531,402.0542025060061,4.465201451654341,4.1956017578125,1.0177922718444737e-07,2.677082991352847e-10,2.7260850869727963e-11,0.319344834743936,0.11870689921239602,0.057113986010527376,0.06395092619799286,0.8587426075073216,0.9615400526527806,0.01603499197796566,0.02144053658163334,0.026773449098720554,0.029978416618696557,0.017050680772830215,0.01909176550079721,0.6781833160662887,0.1325457427951705,0.14841238735797044,109.68746295534251,122.8178129085446,5.1087195151316065,4.1956017578125,1.0322161719122955e-08,1.7663894574640316e-11,1.7339493393809386e-12,0.058189656476664714,0.1075344851688764,0.017590734657226673,0.019696467580207516,0.12838229498198991,0.1437505459697537,0.018163374852809503,0.033492652301368574,0.03810073416909498,0.04266165626205852,0.018163374852809503,0.020337656778225875,0.4789032774272981,0.1712262141482917,0.19172317936522207,116.92442723078298,130.9210919931264,4.450532792803633,4.1956017578125,2.7567058621531985e-09,7.657586737374719e-12,7.842672281345265e-13,0.15874138286834136,0.21134483232324625,0.01837357580530023,0.020573020242386903,0.16647317670183057,0.18640117037605947,0.011691408869356554,0.014778953068470432,0.01884426955736201,0.021100059300638085,0.011691408869356554,0.013090951586131053,0.2552652148715482,0.0874650436199497,0.09793521587536595,75.23985989163333,84.24659287814846,4.4337711530498085,4.1956017578125,8.54021098825192e-10,2.2051649661697528e-12,2.242068333061733e-13,0.04655172518133177,0.14291379630668855,0.011783657726650808,0.013194243271351318,0.08436471774086864,0.0944637594890739,0.46006498470288737,0.5399350152971126,0.04623891779059198,0.2890998265365406,0.7109001734634595,0.025024119099053204,0.6436804263225594,0.3563195736774406,0.04529425773226319,0.5238239325089038,0.4761760674910962,0.080362723844346,0.017509480649418714,0.8930908339576157
data/preprocessed_ml\ChipShot_Jordan_2.csv,preprocessed_ml,6438,2148.1481,0.007521949269072033,0.014249257784808256,0.016112761036657,0.03625031645423916,0.007701598939452677,0.017326974447373564,0.26980206228274994,0.0762279131008275,0.1714967389055596,49.56580475911751,111.51261436443606,4.176529108383651,4.1956017578125,2.3478053007319388e-09,5.9336178763465784e-12,6.025864166508277e-13,0.2341551776620988,0.1736379349263675,0.007859164742211773,0.01768146429547526,0.07371466257963673,0.165842454918186,0.005211851978314134,0.0047843343674658645,0.007074832604632561,0.015916882289462014,0.005211851978314134,0.011725568516576121,0.0883825319483607,0.0248181746030691,0.05583566225124597,33.547741505219705,75.47534796317825,4.283853915972807,4.1956017578125,8.406305222946748e-11,2.1256758778418121e-13,2.156278288316259e-14,0.07168965677925093,0.23182759140303225,0.005232562258447367,0.011772162282038022,0.024230480601668002,0.054513474608756864,0.01133757290310233,0.027595836404544452,0.029834053465788737,0.0671203325604533,0.01136903040615729,0.025577922310363755,0.4948671017647068,0.1587104368656978,0.35706503360182384,73.18521584934643,164.65131135967226,4.989882454989075,4.1956017578125,4.716756208972468e-09,1.0241223075548008e-11,1.0282915020662627e-12,0.0786724155564507,0.15408621035020817,0.011716962882873938,0.0263606970537483,0.15096740097174927,0.33964483473996554,0.004668425259240214,0.003994934657825344,0.006144403740104173,0.013823613438730625,0.004668889391037477,0.010504017128405414,0.09226077562041009,0.0228484748420488,0.05140425291709256,30.05699804038349,67.6219108661471,4.579379232112906,4.1956017578125,7.634729673315166e-11,1.846797447997627e-13,1.8712767288082893e-14,0.5167241495127827,0.14943103783207498,0.004703063190948521,0.010580900975835464,0.02223188757578437,0.05001706151812069,0.0378236511325371,0.09095169028560138,0.0985029875222261,0.22161096172437944,0.03786411047968598,0.0851862684504671,1.4616608768299615,0.4444860793697362,1.0,243.7612141413252,548.4113574197172,4.766339681750837,4.1956017578125,5.0053443805600844e-08,1.1668691105715184e-10,1.178822228544613e-11,0.08891379509634369,0.2150689703377528,0.03879553950893272,0.08728178746102301,0.4263998309546492,0.9593097528707026,0.008045748835890407,0.005072144725804056,0.00951108439925405,0.021397935370080414,0.0080730394118504,0.018162637226564332,0.1595625174093706,0.029353695113297,0.06603962750626383,51.968755909108474,116.91874801298192,4.132440462633677,4.1956017578125,1.686998019099781e-10,4.1235849286684183e-13,4.171297796241733e-14,0.09124138135541028,0.31841380024030935,0.00814118940490546,0.018315960347845644,0.028391807307440606,0.0638755826677386,0.02507125854490446,0.06397214992513875,0.0687095624427188,0.15458203447033989,0.02507125854490446,0.05640504778114653,0.9799950502712562,0.3767762872121327,0.8476672379625176,161.30547573133742,362.90332412673587,4.8718167238147085,4.1956017578125,7.577190191704917e-09,1.5170636397573265e-11,1.5184705907650186e-12,0.05446551846215818,0.10800000242068972,0.025596559897750743,0.057586865114078845,0.36038204487582,0.810783647908226,0.006224254001654233,0.003883945600063952,0.007336645780011794,0.016505906755088638,0.006224339359756171,0.014003451735950963,0.1268153982095454,0.022438216082208,0.050481257172383234,40.07123645211736,90.15183672104376,4.3104406431224085,4.1956017578125,6.00601885824935e-11,1.34362571070881e-13,1.3495746134883672e-14,0.07541379479375747,0.32027586924756263,0.006279216156617953,0.014126912963217284,0.021506669858562123,0.048385474499128826,0.6928858187133483,0.3071141812866517,0.07053862225902359,0.21271740286216004,0.78728259713784,0.07715998818642025,0.24826252699910842,0.7517374730008916,0.049854231223919306,0.411765842542103,0.588234157457897,0.048789195333251094,0.013238088990589363,0.4444860793697362
data/preprocessed_ml\ChipShot_Jordan_3.csv,preprocessed_ml,6438,2148.1481,0.008544215447568941,0.013870345633632413,0.01629079818826878,0.03244913650291695,0.008544215447568941,0.01701895819740431,0.1747270103833744,0.0622464137536429,0.12398670423426647,55.000886073760704,109.55456199034211,4.199258574173352,4.1956017578125,4.5681240300561523e-10,1.10021279940336e-12,1.1131068209911894e-13,0.09310345036266354,0.30351724818228315,0.008607833694744068,0.017145677414155062,0.060853060053088034,0.12121132614022638,0.011270085968913478,0.019380340664970762,0.022419019649329443,0.044655751084470174,0.011270085968913478,0.02244853528835875,0.33001558736587006,0.1070962746009881,0.21332175338000717,72.55357707767863,144.51722372104905,3.819351860062592,4.1956017578125,1.7397555027912488e-09,4.523010094458821e-12,4.599466902022685e-13,0.11917241646420934,0.14058621004762195,0.011440700118508602,0.022788376330249993,0.10387497110357712,0.206905338684005,0.01382535476278277,0.029903103988937516,0.03294443902223881,0.06562100803719152,0.013829549117627385,0.027546650686204037,0.5147390620442897,0.162706352149766,0.3240897450071783,89.03166616604005,177.3394191688148,4.398008667021895,4.1956017578125,4.75286379174487e-09,1.1710924996026013e-11,1.188466342497217e-12,0.2625517300227112,0.1182413819605827,0.014133486938808667,0.028152055021457092,0.15631392281375384,0.3113568629401178,0.007220537742633685,0.011495058656233034,0.013574702162590368,0.027039028927234365,0.007220537742633685,0.014382365561676835,0.2429135784103154,0.0710270834327443,0.14147664829418147,46.46655542546357,92.55529301854651,4.658236977617067,4.1956017578125,2.403112213868745e-10,4.0232681324790995e-13,3.952193202394262e-14,0.04934482869221168,0.10334482990255654,0.0073427512277013315,0.014625798818514613,0.06774924900767697,0.13494763139373495,0.025495832536828102,0.04424269098424262,0.05106322729982082,0.10171126139936827,0.02565528167739261,0.0511019612145208,0.75582732670784,0.1971575848830103,0.39271208878280917,165.15621410801248,328.96954918728835,4.353179173373799,4.1956017578125,8.251833291424357e-09,2.181755441182147e-11,2.2253873057015667e-12,0.26348276452633784,0.27325862681441754,0.02603466095750318,0.051857635055938295,0.191702885050596,0.38184704107925893,0.011843168553536032,0.01952079291785324,0.022832476815474356,0.04547930361193361,0.011843168553536032,0.02359004074444211,0.277389938264656,0.1133998400496842,0.22587763022139523,76.21855504031194,151.81737984693555,4.207049175725257,4.1956017578125,8.617979450972172e-10,1.8221458770399335e-12,1.8233910676855157e-13,0.0577241392248514,0.1443103480621285,0.011915351535314261,0.02373381979086084,0.11044644184518222,0.21999484778324763,0.03166074602719279,0.08181387492350059,0.08772635276242027,0.17473940581626793,0.03191126758057474,0.06356306583239428,1.7453605179401912,0.5020410384974143,1.0,205.4320154801365,409.19367088990384,3.963754484253199,4.1956017578125,5.964652775573932e-08,1.3210499623219842e-10,1.3308379710697221e-11,0.23694828117297873,0.10055172639167663,0.03352326763339027,0.06677395882560491,0.4770802741580634,0.9502814263669414,0.007629037861579046,0.008979526345674177,0.011782788807666172,0.023469772198168332,0.007629037861579046,0.01519604430030741,0.16841830002060348,0.0527561906529479,0.10508342268362113,49.10694727614318,97.8146077920602,3.984613011429129,4.1956017578125,2.601909799821208e-10,6.859356832789981e-13,6.984167553857784e-14,0.09403448486629018,0.14617241706938178,0.00768788827043209,0.015313266607529906,0.051491606127820944,0.10256453592306507,1.3190311078591879,0.31903110785918787,0.07783293890710258,0.46451389794643316,0.5354861020535668,0.06085398851948762,0.2409620371795931,0.7590379628204069,0.0308973886223552,0.5222678091088685,0.4777321908911315,0.048276013289226975,0.014686122362629356,0.5020410384974143
data/preprocessed_ml\ChipShot_Jordan_4.csv,preprocessed_ml,6438,2148.1481,0.0064133174232805495,0.010275663988513635,0.012112799460760085,0.06609351758908517,0.0064133174232805495,0.03499428099120703,0.1667479492349545,0.0538625335977904,0.29390103611232915,41.27258210746463,225.20393739726796,4.033768496420251,4.1956017578125,4.210750083222713e-10,1.1524090049861964e-12,1.1762034636169945e-13,0.20855172881236636,0.18806896973258036,0.0064872977248869165,0.0353979546738521,0.0523412263808224,0.2856000198502497,0.004252368741858216,0.004435247899069925,0.006144433565670395,0.033527115615444865,0.004254521221765304,0.023214804646508696,0.09855806835576511,0.0247102599786554,0.13483158933002304,27.38796154698747,149.44247397962087,3.7648318888391756,4.1956017578125,1.5531720592246116e-10,3.957740962369717e-13,4.0169299777358045e-14,0.5921379443065402,0.19598276301340678,0.004304137373146337,0.02348553528847371,0.024031904292906157,0.13113014000008338,0.007412911829200293,0.01701664581728528,0.01856118252316997,0.10127913431932391,0.007412911829200293,0.04044857012260341,0.2400213688659667,0.1129862239952372,0.6165095861733129,47.670579404632704,260.1146240857738,4.213825457490782,4.1956017578125,8.35768161034675e-10,2.030122889003005e-12,2.0617933209002999e-13,0.020017241827972664,0.0786724155564507,0.007543140797271601,0.04115916478073452,0.10959103006174203,0.5979837028142453,0.00445516881644234,0.0033015539549654683,0.005545158942766958,0.030257172283362714,0.00445516881644234,0.02430963869960728,0.0816048983710085,0.013490467143498,0.07361076440852841,28.676770230577752,156.47486146971266,4.3023081635475675,4.1956017578125,2.910144971491205e-11,6.924878729094975e-14,7.00149495545919e-15,0.19877586652428667,0.6317069107106722,0.004479986604484056,0.02444505701605602,0.013144273814918226,0.07172175972997863,0.017800429030616273,0.03362685348327249,0.038047608976905255,0.20760686423350755,0.01794175871837253,0.0978992469307723,0.7783127194826434,0.1832675866348566,1.0,115.47947223509637,630.1140008198959,5.068277080634084,4.1956017578125,1.1801987701453664e-08,1.998542635766327e-11,1.9645538904125384e-12,0.2043620735460465,0.17224138317092758,0.01845018437882722,0.10067347269426032,0.17463185110043625,0.9528790895706711,0.009954175708522294,0.009431080511853887,0.013712435730285319,0.07482193650318567,0.009988853159956698,0.05450419980625678,0.2566658922943385,0.0601848453907851,0.3283987446765354,64.30237792323362,350.86607023068433,3.8460546521314027,4.1956017578125,8.984035757265443e-10,2.1109569182889e-12,2.1328471477263407e-13,0.588879323543847,0.11451724394607617,0.010143543413330916,0.05534826752283791,0.057728211386819016,0.3149941156907197,0.01419995562455413,0.02384468064823428,0.027752613119408864,0.15143219610734185,0.01510518414549726,0.08242147137340176,0.6389494658856653,0.1159314522451891,0.6325802307648193,97.17273269459544,530.2232352096335,5.299941617346933,4.1956017578125,1.1377120651110046e-08,2.340022063723263e-11,2.338232425036984e-12,0.20808621156055304,0.18713793522895372,0.015581945385313996,0.08502292015423084,0.11140733325892342,0.6078943653079911,0.006570665259718065,0.004880176580199312,0.00818472757085975,0.044659984458501376,0.006612031868796034,0.03607856681154363,0.1408145139744173,0.024764628464516,0.135128251095799,42.56275753703606,232.24378253988988,4.306351167229235,4.1956017578125,1.7867711685216505e-10,4.1535451180776456e-13,4.187953429280766e-14,0.577241392248514,0.3095689724558563,0.006689588766204858,0.03650175619725508,0.024065133462562373,0.13131145503929118,0.6630529039088143,0.33694709609118567,0.06608520649299926,0.5592098758317657,0.44079012416823427,0.062383611169482434,0.46272435160948994,0.5372756483905101,0.0805149359427176,0.6010011879936205,0.39899881200637954,0.058705134665200574,0.00888237405427402,0.1832675866348566
data/preprocessed_ml\ChipShot_Jordan_5.csv,preprocessed_ml,6438,2148.1481,0.009427904003606657,0.018646197549133346,0.02089416322666521,0.09969202446662141,0.009427904003606657,0.04498322456852571,0.32200321335447296,0.1048936082075501,0.5004773841564495,60.67867275465633,289.51529014281493,4.293096524279457,4.1956017578125,1.6709102376960987e-09,4.181814756315864e-12,4.243145392322775e-13,0.26394828177815116,0.12382758898234252,0.009604737661775662,0.04582694849206664,0.10120358024807212,0.48287120612347023,0.0051612955613454855,0.003850332206540761,0.006439256942558641,0.03072353526199931,0.005161342679651909,0.024626241075967642,0.0971838222988694,0.0195978041184241,0.09350672465182108,33.22723081025759,158.53661479330572,4.1588175696441265,4.1956017578125,8.054131111158324e-11,1.7907681971564593e-13,1.7987577527647557e-14,0.6833793256619505,0.3542586286299348,0.00519734036206273,0.024797996307163565,0.01908596196252314,0.09106457943760132,0.013169121169831004,0.03550130156776433,0.03786513126071316,0.1806653633899714,0.013169121169831004,0.06283364093716001,0.5640216206277657,0.2095871092843634,1.0,84.72829398744035,404.2629066107438,4.877677000811354,4.1956017578125,2.027941280233682e-09,4.151926161428341e-12,4.160898513877777e-13,0.05400000121034486,0.12150000272327593,0.01354402167248309,0.06462239838475393,0.20011828284841768,0.9548215228108394,0.004295709789009033,0.005058120157060655,0.006636090876009108,0.03166268621514026,0.004295709789009033,0.020496059150187065,0.11026658094875672,0.0275797595162271,0.13159091515884913,27.654760726687208,131.94876736987584,3.802018106957056,4.1956017578125,1.3430776429710392e-10,3.4669106798936226e-13,3.525167029142604e-14,0.487862079900357,0.2178620738486327,0.004347142968866195,0.020741461551283112,0.026750308536972276,0.1276333674733689,0.0208012110612552,0.04253053731207093,0.04734487285512914,0.22589591991982966,0.020913879808891995,0.09978609791557591,0.6247966907737774,0.191440233006338,0.913416066761033,134.62175547359288,642.3188712953759,4.174867696461591,4.1956017578125,1.3493948961765942e-08,3.37793935737943e-11,3.4275344241674356e-12,0.24067241918748528,0.2718620750589776,0.02127911359325371,0.1015287326873842,0.18538615333022895,0.8845303223238835,0.0066504200898172255,0.0041808915783161605,0.00785544026523527,0.03748055065055157,0.006651443995194006,0.0317359403348107,0.12275657705365381,0.0242932461897545,0.11591002076751741,42.82005182385115,204.30670555102606,4.640857697427821,4.1956017578125,1.2855835709255104e-10,3.359307639458326e-13,3.416806895449701e-14,0.26860345429628435,0.3095689724558563,0.006693605903667234,0.031937106850333484,0.023686575584088137,0.11301542191676821,0.01760445950633,0.03260426038995779,0.03705340456808501,0.17679238334172417,0.01760445950633,0.08399590779433215,0.6171999292880415,0.1652170113275168,0.788297581333372,113.28759110740435,540.5274756363863,4.510346422818859,4.1956017578125,4.0985828067880776e-09,9.449920655574184e-12,9.542492767505913e-13,0.26068966101545793,0.20296552179060653,0.017953071197387874,0.08565923380826597,0.15821341547479884,0.7548814238386111,0.005488992646644953,0.004697014781674325,0.007224333058088439,0.03446935778997083,0.005488992646644953,0.026189552713366558,0.10723549800449209,0.0292230796428326,0.13943166515638775,35.33363174405187,168.5868556739906,4.460893466766218,4.1956017578125,7.117098446789757e-11,1.484163381197381e-13,1.481146779601178e-14,0.06331034624661121,0.12475862348596915,0.005520588133777865,0.026340303812710388,0.028151492275864293,0.13431881556068861,0.5474488877722531,0.4525511122277469,0.06227542600698393,0.3197131200637031,0.6802868799362969,0.09124423652962187,0.3117955790894626,0.6882044209105374,0.06996946590838199,0.3261956309221174,0.6738043690778825,0.0372565612368328,0.010324889228479944,0.2095871092843634
