Application:, Trigno Discover (2.0.1.3)
Date/Time:, 9/18/2025 4:01:37 PM
Collection Length (seconds):, 4.995
Tibilais Anterior left (85586), , Gastrocnemius right (85650), , , , , , , , Rectus Femoris left (85878), , Rectus Femoris right (85844), , Hamstrings left (85904), , Tibilais Anterior right (85641), , Hamstrings right (85873), , Gastrocnemius left (85605)
sensor mode: 40, , sensor mode: 49, , , , , , , , sensor mode: 40, , sensor mode: 40, , sensor mode: 40, , sensor mode: 40, , sensor mode: 40, , sensor mode: 40
EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV)
, 2148.1481 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz
, 0.00046551724137931035 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0.0060517, -0.021149, 0.00675, 0.0003357, 0.1755, 100.8536606, 0.1755, -26.7682934, 0.1755, -35.0609779, 0.0060517, -0.0203098, 0.0060517, 0.0251774, 0.0060517, -0.0139315, 0.0060517, -0.0129244, 0.0060517, -0.0048676, 0.0060517, -0.0062104, , , , , , , , , , , , , , , , , , , , , , 
0.0065172, -0.0236667, 0.0072692, -0.0001678, 0.189, 109.2073212, 0.189, -61.0365868, 0.189, -42.8658562, 0.0065172, -0.018967, 0.0065172, 0.0258488, 0.0065172, -0.0152743, 0.0065172, -0.0003357, 0.0065172, -0.0048676, 0.0065172, 0.0176242, , , , , , , , , , , , , , , , , , , , , , 
0.0069828, -0.0260166, 0.0077885, -0.0005035, 0.2025, 113.8414688, 0.2025, -57.4390259, 0.2025, -50.6707344, 0.0069828, -0.018967, 0.0069828, 0.026688, 0.0069828, -0.0166171, 0.0069828, 0.0099031, 0.0069828, -0.0041962, 0.0069828, 0.0374304, , , , , , , , , , , , , , , , , , , , , , 
0.0074483, -0.026688, 0.0083077, -0.0011749, 0.216, 110.7926865, 0.216, -58.1097565, 0.216, -55.5487823, 0.0074483, -0.0196384, 0.0074483, 0.026688, 0.0074483, -0.0172885, 0.0074483, 0.0139315, 0.0074483, -0.0031891, 0.0074483, 0.0293736, , , , , , , , , , , , , , , , , , , , , , 
0.0079138, -0.0246738, 0.0088269, -0.0001678, 0.2295, 98.8414688, 0.2295, -75.6707306, 0.2295, -55.8536606, 0.0079138, -0.0203098, 0.0079138, 0.026688, 0.0079138, -0.0169528, 0.0079138, 0.0129244, 0.0079138, -0.0025177, 0.0079138, -0.005539, , , , , , , , , , , , , , , , , , , , , , 
0.0083793, -0.0243381, 0.0093462, -0.0001678, 0.243, 87.0121994, 0.243, -72.0731735, 0.243, -50.6097565, 0.0083793, -0.0218204, 0.0083793, 0.026688, 0.0083793, -0.01561, 0.0083793, 0.0058747, 0.0083793, -0.0016785, 0.0083793, -0.0547189, , , , , , , , , , , , , , , , , , , , , , 
0.0088448, -0.0243381, 0.0098654, -0.0041962, 0.2565, 68.4146347, 0.2565, -37.5609779, 0.2565, -34.9390259, 0.0088448, -0.0224918, 0.0088448, 0.0270237, 0.0088448, -0.0142672, 0.0088448, -0.0062104, 0.0088448, -0.0018463, 0.0088448, -0.0975204, , , , , , , , , , , , , , , , , , , , , , 
0.0093103, -0.0229953, 0.0103846, -0.0109102, 0.27, 41.2804871, 0.27, 8.9024391, 0.27, -6.3414636, 0.0093103, -0.0229953, 0.0093103, 0.0270237, 0.0093103, -0.0139315, 0.0093103, -0.0196384, 0.0093103, -0.0020142, 0.0093103, -0.1149767, , , , , , , , , , , , , , , , , , , , , , 
0.0097759, -0.0209812, 0.0109038, -0.0140993, 0.2835, 30.8536587, 0.2835, 34.5731697, 0.2835, 29.8170738, 0.0097759, -0.0218204, 0.0097759, 0.0258488, 0.0097759, -0.0162814, 0.0097759, -0.0273594, 0.0097759, -0.0028534, 0.0097759, -0.1143053, , , , , , , , , , , , , , , , , , , , , , 
0.0102414, -0.0193027, 0.0114231, -0.0129244, 0.297, 7.4390244, 0.297, -29.6951218, 0.297, 62.0731735, 0.0102414, -0.0206455, 0.0102414, 0.0253452, 0.0102414, -0.0198062, 0.0102414, -0.0261845, 0.0102414, -0.0023499, 0.0102414, -0.1139696, , , , , , , , , , , , , , , , , , , , , , 
0.0107069, -0.0186313, 0.0119423, -0.0102388, 0.3105, -70.5487823, 0.3105, -13.780488, 0.3105, 82.0121994, 0.0107069, -0.0199741, 0.0107069, 0.0253452, 0.0107069, -0.0240024, 0.0107069, -0.0216526, 0.0107069, -0.0028534, 0.0107069, -0.1065843, , , , , , , , , , , , , , , , , , , , , , 
0.0111724, -0.0193027, 0.0124615, -0.0095674, 0.324, -100.4268341, 0.324, 31.7682934, 0.324, 86.5243912, 0.0111724, -0.0209812, 0.0111724, 0.0246738, 0.0111724, -0.0270237, 0.0111724, -0.0176242, 0.0111724, -0.0035248, 0.0111724, -0.0740215, , , , , , , , , , , , , , , , , , , , , , 
0.0116379, -0.0193027, 0.0129808, -0.0095674, 0.3375, -105.9146347, 0.3375, 111.2195129, 0.3375, 95.4878082, 0.0116379, -0.0223239, 0.0116379, 0.0253452, 0.0116379, -0.0297093, 0.0116379, -0.0169528, 0.0116379, -0.0041962, 0.0116379, -0.0206455, , , , , , , , , , , , , , , , , , , , , , 
0.0121034, -0.0196384, 0.0135, -0.012253, 0.351, -94.2682953, 0.351, 117.6219559, 0.351, 112.86586, 0.0121034, -0.0213169, 0.0121034, 0.0260166, 0.0121034, -0.0327306, 0.0121034, -0.0159457, 0.0121034, -0.0041962, 0.0121034, 0.0199741, , , , , , , , , , , , , , , , , , , , , , 
0.012569, -0.023331, 0.0140192, -0.0146029, 0.3645, -101.9512253, 0.3645, 102.6219559, 0.3645, 122.1951218, 0.012569, -0.0191348, 0.012569, 0.0250095, 0.012569, -0.0323949, 0.012569, -0.0109102, 0.012569, -0.0035248, 0.012569, 0.0276951, , , , , , , , , , , , , , , , , , , , , , 
