Application:, Trigno Discover (2.0.1.3)
Date/Time:, 24-09-2025 10:42:02
Collection Length (seconds):, 4.995
 Hamstrings left (85586), , TibilaisÂ Anterior right (85650), ,  Rectus Femoris left (85878), ,  Rectus Femoris right (85844), ,  Hamstrings right (85641), ,  Gastrocnemius right (85873), ,  Gastrocnemius left (85904), , TibilaisÂ Anterior left (85605)
sensor mode: 40, , sensor mode: 40, , sensor mode: 40, , sensor mode: 40, , sensor mode: 40, , sensor mode: 40, , sensor mode: 40, , sensor mode: 40
EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV)
, 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz
, 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0.0083793, -0.0041962, 0.0083793, -0.0176242, 0.0083793, -0.0077211, 0.0083793, 0.0206455, 0.0083793, -0.0307164, 0.0083793, -0.0139315, 0.0083793, -0.0359197, 0.0083793, -0.096849, , , , , , , , , , , , , , , , , , , , , , 
0.0088448, -0.0018463, 0.0088448, -0.0198062, 0.0088448, -0.0068818, 0.0088448, 0.0198062, 0.0088448, -0.0307164, 0.0088448, -0.0169528, 0.0088448, -0.0364233, 0.0088448, -0.1527428, , , , , , , , , , , , , , , , , , , , , , 
0.0093103, -0.0015106, 0.0093103, -0.0216526, 0.0093103, -0.0065461, 0.0093103, 0.0182956, 0.0093103, -0.0287022, 0.0093103, -0.0209812, 0.0093103, -0.0337377, 0.0093103, -0.1713741, , , , , , , , , , , , , , , , , , , , , , 
0.0097759, -0.0015106, 0.0097759, -0.0209812, 0.0097759, -0.0065461, 0.0097759, 0.017792, 0.0097759, -0.0256809, 0.0097759, -0.0263523, 0.0097759, -0.0283665, 0.0097759, -0.1322652, , , , , , , , , , , , , , , , , , , , , , 
0.0102414, -0.0011749, 0.0102414, -0.0193027, 0.0102414, -0.0075532, 0.0102414, 0.0179599, 0.0102414, -0.0238346, 0.0102414, -0.0303807, 0.0102414, -0.0238346, 0.0102414, -0.068986, , , , , , , , , , , , , , , , , , , , , , 
0.0107069, -0.0001678, 0.0107069, -0.0162814, 0.0107069, -0.0082246, 0.0107069, 0.0193027, 0.0107069, -0.0250095, 0.0107069, -0.0310521, 0.0107069, -0.0203098, 0.0107069, -0.03122, , , , , , , , , , , , , , , , , , , , , , 
0.0111724, -0.0010071, 0.0111724, -0.0129244, 0.0111724, -0.0092317, 0.0111724, 0.0193027, 0.0111724, -0.0253452, 0.0111724, -0.0263523, 0.0111724, -0.0182956, 0.0111724, -0.0229953, , , , , , , , , , , , , , , , , , , , , , 
0.0116379, -0.0025177, 0.0116379, -0.008896, 0.0116379, -0.008896, 0.0116379, 0.0179599, 0.0116379, -0.0258488, 0.0116379, -0.01561, 0.0116379, -0.0169528, 0.0116379, -0.0203098, , , , , , , , , , , , , , , , , , , , , , 
0.0121034, -0.0025177, 0.0121034, -0.0035248, 0.0121034, -0.0078889, 0.0121034, 0.0172885, 0.0121034, -0.0263523, 0.0121034, -0.0075532, 0.0121034, -0.0162814, 0.0121034, -0.0149386, , , , , , , , , , , , , , , , , , , , , , 
0.012569, -0.0025177, 0.012569, -0.0015106, 0.012569, -0.0085603, 0.012569, 0.0172885, 0.012569, -0.0263523, 0.012569, -0.0115816, 0.012569, -0.0176242, 0.012569, -0.0135958, , , , , , , , , , , , , , , , , , , , , , 
0.0130345, -0.0048676, 0.0130345, -0.0015106, 0.0130345, -0.008896, 0.0130345, 0.0159457, 0.0130345, -0.0256809, 0.0130345, -0.0250095, 0.0130345, -0.0196384, 0.0130345, -0.0181277, , , , , , , , , , , , , , , , , , , , , , 
0.0135, -0.0085603, 0.0135, -0.0023499, 0.0135, -0.0085603, 0.0135, 0.0159457, 0.0135, -0.0263523, 0.0135, -0.0384375, 0.0135, -0.0226596, 0.0135, -0.0065461, , , , , , , , , , , , , , , , , , , , , , 
0.0139655, -0.0115816, 0.0139655, -0.0075532, 0.0139655, -0.0085603, 0.0139655, 0.0169528, 0.0139655, -0.0265202, 0.0139655, -0.0501869, 0.0139655, -0.0260166, 0.0139655, 0.0186313, , , , , , , , , , , , , , , , , , , , , , 
0.014431, -0.012253, 0.014431, -0.0159457, 0.014431, -0.0095674, 0.014431, 0.0184634, 0.014431, -0.0253452, 0.014431, -0.0626078, 0.014431, -0.0276951, 0.014431, 0.0206455, , , , , , , , , , , , , , , , , , , , , , 
0.0148966, -0.0119173, 0.0148966, -0.0243381, 0.0148966, -0.0099031, 0.0148966, 0.018967, 0.0148966, -0.0236667, 0.0148966, -0.0706645, 0.0148966, -0.0283665, 0.0148966, -0.0001678, , , , , , , , , , , , , , , , , , , , , , 
0.0153621, -0.0132601, 0.0153621, -0.0315557, 0.0153621, -0.0099031, 0.0153621, 0.0172885, 0.0153621, -0.023331, 0.0153621, -0.0763714, 0.0153621, -0.0313878, 0.0153621, -0.0236667, , , , , , , , , , , , , , , , , , , , , , 
0.0158276, -0.0142672, 0.0158276, -0.0330663, 0.0158276, -0.0109102, 0.0158276, 0.0162814, 0.0158276, -0.024506, 0.0158276, -0.0780499, 0.0158276, -0.0345769, 0.0158276, -0.0411231, , , , , , , , , , , , , , , , , , , , , , 
0.0162931, -0.0159457, 0.0162931, -0.0256809, 0.0162931, -0.011078, 0.0162931, 0.014435, 0.0162931, -0.0256809, 0.0162931, -0.0589151, 0.0162931, -0.0347448, 0.0162931, -0.0525368, , , , , , , , , , , , , , , , , , , , , , 
0.0167586, -0.0169528, 0.0167586, -0.0109102, 0.0167586, -0.0109102, 0.0167586, 0.014435, 0.0167586, -0.0246738, 0.0167586, -0.0117494, 0.0167586, -0.0345769, 0.0167586, -0.0558938, , , , , , , , , , , , , , , , , , , , , , 
0.0172241, -0.0162814, 0.0172241, 0.0052033, 0.0172241, -0.0095674, 0.0172241, 0.01561, 0.0172241, -0.0243381, 0.0172241, 0.0404517, 0.0172241, -0.0337377, 0.0172241, -0.0540475, , , , , , , , , , , , , , , , , , , , , , 
0.0176897, -0.01561, 0.0176897, 0.0132601, 0.0176897, -0.0090639, 0.0176897, 0.0157778, 0.0176897, -0.0243381, 0.0176897, 0.0787213, 0.0176897, -0.033402, 0.0176897, -0.0515297, , , , , , , , , , , , , , , , , , , , , , 
0.0181552, -0.0157778, 0.0181552, 0.0075532, 0.0181552, -0.0095674, 0.0181552, 0.0146029, 0.0181552, -0.0256809, 0.0181552, 0.0965133, 0.0181552, -0.0323949, 0.0181552, -0.0495155, , , , , , , , , , , , , , , , , , , , , , 
0.0186207, -0.0182956, 0.0186207, -0.0068818, 0.0186207, -0.0092317, 0.0186207, 0.0142672, 0.0186207, -0.0253452, 0.0186207, 0.0850996, 0.0186207, -0.0297093, 0.0186207, -0.0411231, , , , , , , , , , , , , , , , , , , , , , 
