Application:, Trigno Discover (2.0.1.3)
Date/Time:, 9/18/2025 4:07:04 PM
Collection Length (seconds):, 4.995
Tibilais Anterior left (85586), , Gastrocnemius right (85650), , , , , , , , Rectus Femoris left (85878), , Rectus Femoris right (85844), , Hamstrings left (85904), , Tibilais Anterior right (85641), , Hamstrings right (85873), , Gastrocnemius left (85605)
sensor mode: 40, , sensor mode: 49, , , , , , , , sensor mode: 40, , sensor mode: 40, , sensor mode: 40, , sensor mode: 40, , sensor mode: 40, , sensor mode: 40
EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV)
, 2148.1481 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz
, 0.00046551724137931035 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , Type, Name, Label, Time (s), , 
0.0069828, -0.0459907, 0.0077885, -0.0095674, 0.2025, 75.18293, 0.2025, -92.3780518, 0.2025, -115.2439041, 0.0069828, -0.0169528, 0.0069828, 0.0246738, 0.0069828, -0.0310521, 0.0069828, -0.0229953, 0.0069828, 0.0008392, 0.0069828, -0.005539, , , , , , , 
0.0074483, -0.0498512, 0.0083077, -0.0099031, 0.216, 56.341465, 0.216, -33.4146347, 0.216, -129.3292694, 0.0074483, -0.0159457, 0.0074483, 0.0263523, 0.0074483, -0.0310521, 0.0074483, -0.0216526, 0.0074483, 0.0030213, 0.0074483, -0.0082246, , , , , , , 
0.0079138, -0.0527047, 0.0088269, -0.0105745, 0.2295, 47.9878044, 0.2295, 41.1585388, 0.2295, -103.5365906, 0.0079138, -0.0149386, 0.0079138, 0.024506, 0.0079138, -0.0297093, 0.0079138, -0.0223239, 0.0079138, 0.0057069, 0.0079138, -0.0251774, , , , , , , 
0.0083793, -0.0538796, 0.0093462, -0.0109102, 0.243, 83.1707306, 0.243, 45.1829262, 0.243, -45.7926826, 0.0083793, -0.0142672, 0.0083793, 0.0216526, 0.0083793, -0.0270237, 0.0083793, -0.0243381, 0.0083793, 0.005539, 0.0083793, -0.0481727, , , , , , , 
0.0088448, -0.0535439, 0.0098654, -0.0117494, 0.2565, 95.6707306, 0.2565, 39.5121956, 0.2565, -13.4146347, 0.0088448, -0.0130922, 0.0088448, 0.0193027, 0.0088448, -0.0250095, 0.0088448, -0.0263523, 0.0088448, 0.0018463, 0.0088448, -0.0679789, , , , , , , 
0.0093103, -0.0491798, 0.0103846, -0.0142672, 0.27, 79.9390259, 0.27, -13.6585369, 0.27, -25.4268303, 0.0093103, -0.0112459, 0.0093103, 0.0159457, 0.0093103, -0.023331, 0.0093103, -0.0283665, 0.0093103, -0.0045319, 0.0093103, -0.0822461, , , , , , , 
0.0097759, -0.035584, 0.0109038, -0.0171206, 0.2835, 56.1585388, 0.2835, -78.3536606, 0.2835, -41.0365868, 0.0097759, -0.0095674, 0.0097759, 0.012253, 0.0097759, -0.0219883, 0.0097759, -0.0283665, 0.0097759, -0.0119173, 0.0097759, -0.0839246, , , , , , , 
0.0102414, -0.0112459, 0.0114231, -0.0199741, 0.297, 0.7926829, 0.297, -81.3414688, 0.297, 4.5121951, 0.0102414, -0.0087282, 0.0102414, 0.0092317, 0.0102414, -0.0203098, 0.0102414, -0.0273594, 0.0102414, -0.0164492, 0.0102414, -0.0431373, , , , , , , 
0.0107069, 0.0129244, 0.0119423, -0.0229953, 0.3105, -91.2195129, 0.3105, -40.8536606, 0.3105, 97.5, 0.0107069, -0.0068818, 0.0107069, 0.0078889, 0.0107069, -0.018967, 0.0107069, -0.026688, 0.0107069, -0.018967, 0.0107069, 0.0438087, , , , , , , 
0.0111724, 0.0251774, 0.0124615, -0.0251774, 0.324, -99.3292694, 0.324, 43.9024391, 0.324, 128.1707306, 0.0111724, -0.0052033, 0.0111724, 0.0082246, 0.0111724, -0.0182956, 0.0111724, -0.0256809, 0.0111724, -0.0193027, 0.0111724, 0.1344472, , , , , , , 
0.0116379, 0.0240024, 0.0129808, -0.0293736, 0.3375, -28.1707325, 0.3375, 92.9878082, 0.3375, 118.1097565, 0.0116379, -0.0035248, 0.0116379, 0.0099031, 0.0116379, -0.0164492, 0.0116379, -0.0256809, 0.0116379, -0.0166171, 0.0116379, 0.1654994, , , , , , , 
0.0121034, 0.0182956, 0.0135, -0.0364233, 0.351, 19.2682934, 0.351, 226.7682953, 0.351, 63.7804909, 0.0121034, -0.0018463, 0.0121034, 0.0125887, 0.0121034, -0.0149386, 0.0121034, -0.0265202, 0.0121034, -0.0135958, 0.0121034, 0.1109483, , , , , , , 
0.012569, 0.0152743, 0.0140192, -0.0392767, 0.3645, 44.8780479, 0.3645, 225.7926941, 0.3645, -48.2926826, 0.012569, -0.0005035, 0.012569, 0.0135958, 0.012569, -0.0135958, 0.012569, -0.0280308, 0.012569, -0.0099031, 0.012569, 0.0025177, , , , , , , 
