fold,test_player,n_test,accuracy,f1_macro
1,Player01,5,0.8,0.6190476190476191
2,Player02,5,0.8,0.6
3,Player03,5,0.8,0.6190476190476191
4,Player04,5,1.0,1.0
5,Player05,5,0.8,0.7619047619047619
6,Player06,5,0.8,0.4444444444444444
7,Player07,5,0.8,0.4444444444444444
8,Player08,5,0.8,0.4444444444444444
9,Player09,5,1.0,1.0
