model,accuracy,f1_macro,n_samples
lr,0.8444444444444444,0.8455439488048184,45
rf,0.8,0.7995670995670996,45
knn,0.7555555555555555,0.7367774936061382,45
svm,0.6888888888888889,0.6880315336837075,45
xgb,0.5777777777777777,0.5602766798418972,45
