Application:, Trigno Discover (2.0.1.3)
Date/Time:, 04-Nov-25 15:19:34
Collection Length (seconds):, 2.997
 Hamstrings right (85641), , , , , , , ,  Rectus Femoris right (85844), , , , , , , ,  Gastrocnemius left (85904), , , , , , , , TibilaisÂ Anterior right (85650), , , , , , , ,  Hamstrings left (85586), , , , , , , , TibilaisÂ Anterior left (85605), , , , , , , ,  Rectus Femoris left (85878), , , , , , , ,  Gastrocnemius right (85873)
sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49
EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s)
, 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz
, 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0.0051923, -0.0090639, 0.135, 201.1585388, 0.135, 175.2439117, 0.135, -81.3414688, 0.0051923, 0.1346151, 0.135, -301.4634094, 0.135, 126.2804871, 0.135, -27.1951218, 0.0051923, -0.1116197, 0.135, -344.0243835, 0.135, 121.9512253, 0.135, -461.8292847, 0.0051923, 0.0864424, 0.135, 150.0609741, 0.135, 46.6463432, 0.135, 16.0365849, 0.0051923, -0.0290379, 0.135, -305.2438965, 0.135, 34.0243912, 0.135, -105, 0.0051923, -0.1008774, 0.135, 447.1951294, 0.135, 187.9268341, 0.135, -281.5243835, 0.0051923, -0.0095674, 0.135, 336.0975647, 0.135, 4.6951222, 0.135, -2.7439024, 0.0051923, -0.0236667, 0.135, -63.7195129, 0.135, 138.1707306, 0.135, 74.8170776, , , , , , , , , , , , , , , , , , , , , , 
0.0057115, 0.0119173, 0.1485, 317.8658752, 0.1485, 42.1951218, 0.1485, -80.4268341, 0.0057115, 0.1144732, 0.1485, -364.512207, 0.1485, 66.7682953, 0.1485, -35.9146347, 0.0057115, -0.0834211, 0.1485, -360.3049011, 0.1485, 80, 0.1485, -504.4512329, 0.0057115, 0.0861067, 0.1485, 145.2439117, 0.1485, 24.8780499, 0.1485, 14.0243902, 0.0057115, -0.0283665, 0.1485, -198.7195129, 0.1485, 73.4146347, 0.1485, -94.6951218, 0.0057115, -0.0458228, 0.1485, 490.243927, 0.1485, 159.3292694, 0.1485, -321.2195129, 0.0057115, -0.0135958, 0.1485, 269.5731812, 0.1485, 67.1341476, 0.1485, 44.6341476, 0.0057115, -0.005539, 0.1485, -95.6707306, 0.1485, 122.86586, 0.1485, 74.8170776, , , , , , , , , , , , , , , , , , , , , , 
0.0062308, 0.0297093, 0.162, 319.3292847, 0.162, -74.3292694, 0.162, -127.5, 0.0062308, 0.0918135, 0.162, -367.2561035, 0.162, -5.2439027, 0.162, -53.5365868, 0.0062308, -0.0607614, 0.162, -361.1585388, 0.162, 58.1097565, 0.162, -524.9390259, 0.0062308, 0.1045701, 0.162, 175.9146423, 0.162, 131.9512177, 0.162, -22.8658543, 0.0062308, -0.030045, 0.162, -54.9390259, 0.162, 48.9634171, 0.162, -79.2682953, 0.0062308, 0.0357519, 0.162, 525, 0.162, 112.68293, 0.162, -346.0365906, 0.0062308, -0.0181277, 0.162, 189.512207, 0.162, 84.2073212, 0.162, 76.0365906, 0.0062308, 0.0119173, 0.162, -89.3292694, 0.162, 171.5853729, 0.162, 77.7439041, , , , , , , , , , , , , , , , , , , , , , 
0.00675, 0.0387732, 0.1755, 315.73172, 0.1755, 4.1463413, 0.1755, -122.68293, 0.00675, 0.0647898, 0.1755, -356.7683105, 0.1755, -110.6707306, 0.1755, -95.0609741, 0.00675, -0.0538796, 0.1755, -356.9512329, 0.1755, -7.9268293, 0.1755, -543.4146729, 0.00675, 0.1104448, 0.1755, 189.6951294, 0.1755, 197.5, 0.1755, -29.9390259, 0.00675, -0.0310521, 0.1755, 50.7926826, 0.1755, 30.4268303, 0.1755, -91.1585388, 0.00675, 0.0364233, 0.1755, 546.9512329, 0.1755, 75, 0.1755, -350.7926941, 0.00675, -0.0240024, 0.1755, 98.8414688, 0.1755, 54.9390259, 0.1755, 100.6097565, 0.00675, 0.0179599, 0.1755, -85.9146347, 0.1755, 258.8414612, 0.1755, 71.4634171, , , , , , , , , , , , , , , , , , , , , , 
0.0072692, 0.0414588, 0.189, 321.1585388, 0.189, 2.3170731, 0.189, -101.4634171, 0.0072692, 0.0347448, 0.189, -401.5853882, 0.189, -170, 0.189, -84.0243912, 0.0072692, -0.0693217, 0.189, -332.7438965, 0.189, -68.2926865, 0.189, -543.9024658, 0.0072692, 0.0971847, 0.189, 277.2561035, 0.189, 214.6341553, 0.189, 6.890244, 0.0072692, -0.0317235, 0.189, 77.2560959, 0.189, 29.8170738, 0.189, -101.7073212, 0.0072692, -0.0350805, 0.189, 546.4024658, 0.189, 30.060976, 0.189, -332.3170776, 0.0072692, -0.0297093, 0.189, 22.1341476, 0.189, 12.8658543, 0.189, 108.9634171, 0.0072692, 0.0112459, 0.189, -157.1341553, 0.189, 189.2682953, 0.189, 105.4268341, , , , , , , , , , , , , , , , , , , , , , 
0.0077885, 0.0365911, 0.2025, 262.8658447, 0.2025, -118.2317123, 0.2025, -104.9390259, 0.0077885, 0.0172885, 0.2025, -373.0487976, 0.2025, -134.8780518, 0.2025, -37.3170738, 0.0077885, -0.090135, 0.2025, -306.7683105, 0.2025, -130.7926788, 0.2025, -528.6585693, 0.0077885, 0.0850996, 0.2025, 209.5731812, 0.2025, 48.9024391, 0.2025, -63.3536606, 0.0077885, -0.033402, 0.2025, 91.7682953, 0.2025, 33.3536606, 0.2025, -108.5365906, 0.0077885, -0.1117876, 0.2025, 538.2927246, 0.2025, -24.6341476, 0.2025, -305.6707458, 0.0077885, -0.0337377, 0.2025, -13.2926836, 0.2025, -17.5, 0.2025, 101.4634171, 0.0077885, -0.0001678, 0.2025, -72.0731735, 0.2025, 53.2317085, 0.2025, 142.1341553, , , , , , , , , , , , , , , , , , , , , , 
0.0083077, 0.0176242, 0.216, 166.5243988, 0.216, -117.2561035, 0.216, -58.7804909, 0.0083077, 0.0176242, 0.216, -143.9024353, 0.216, -84.5121994, 0.216, -58.0487823, 0.0083077, -0.0931563, 0.216, -292.8658752, 0.216, -190.9146423, 0.216, -504.0853882, 0.0083077, 0.0877852, 0.216, -82.9878082, 0.216, -152.8048859, 0.216, -279.4512329, 0.0083077, -0.0370947, 0.216, 152.0121918, 0.216, 56.5243912, 0.216, -73.6585388, 0.0083077, -0.1596246, 0.216, 524.9390259, 0.216, -97.68293, 0.216, -289.0243835, 0.0083077, -0.0397803, 0.216, -71.0975647, 0.216, -82.0731735, 0.216, 76.4634171, 0.0083077, 0.0011749, 0.216, 224.8170776, 0.216, -136.2804871, 0.216, 81.5853653, , , , , , , , , , , , , , , , , , , , , , 
0.0088269, -0.0030213, 0.2295, 81.4634171, 0.2295, -138.1097565, 0.2295, 25.6097565, 0.0088269, 0.0246738, 0.2295, -5.7926831, 0.2295, -187.012207, 0.2295, -124.2682953, 0.0088269, -0.072343, 0.2295, -259.3902588, 0.2295, -292.1951294, 0.2295, -481.2804871, 0.0088269, 0.0803998, 0.2295, -339.6341553, 0.2295, -170.6707306, 0.2295, -557.5, 0.0088269, -0.0404517, 0.2295, 209.8780518, 0.2295, 95.0609741, 0.2295, -9.2073174, 0.0088269, -0.1468681, 0.2295, 505.1219482, 0.2295, -171.7682953, 0.2295, -260.4878235, 0.0088269, -0.0464942, 0.2295, -93.9024429, 0.2295, -113.8414688, 0.2295, 65.0609741, 0.0088269, -0.0008392, 0.2295, 668.2317505, 0.2295, -290.9146423, 0.2295, -11.6463413, , , , , , , , , , , , , , , , , , , , , , 
0.0093462, -0.0124208, 0.243, 42.9268303, 0.243, -225.1219635, 0.243, 91.8902435, 0.0093462, 0.0273594, 0.243, 26.3414631, 0.243, -229.6951294, 0.243, -96.1585388, 0.0093462, -0.0354162, 0.243, -189.146347, 0.243, -350.4878235, 0.243, -468.6585388, 0.0093462, 0.0518654, 0.243, -396.7073364, 0.243, -246.2804871, 0.243, -668.2927246, 0.0093462, -0.0411231, 0.243, 188.0487823, 0.243, 103.1097565, 0.243, 34.2073174, 0.0093462, -0.0921492, 0.243, 470.4878235, 0.243, -201.0365906, 0.243, -220.4268341, 0.0093462, -0.051194, 0.243, -83.7195129, 0.243, -64.6341476, 0.243, 75.3048782, 0.0093462, -0.0223239, 0.243, 752.5, 0.243, -105.5487823, 0.243, -18.2317085, , , , , , , , , , , , , , , , , , , , , , 
0.0098654, -0.0149386, 0.2565, 78.1707306, 0.2565, -117.2561035, 0.2565, 122.68293, 0.0098654, 0.0219883, 0.2565, 10.4268293, 0.2565, -97.7439041, 0.2565, -57.0731735, 0.0098654, 0.0008392, 0.2565, -161.5853729, 0.2565, -285.9756165, 0.2565, -438.9634399, 0.0098654, 0.026688, 0.2565, -392.6829224, 0.2565, -175.2439117, 0.2565, -589.6341553, 0.0098654, -0.0411231, 0.2565, 130.2439117, 0.2565, 42.5609779, 0.2565, 21.6463413, 0.0098654, -0.0706645, 0.2565, 432.8658752, 0.2565, -168.5365906, 0.2565, -202.6219635, 0.0098654, -0.0569009, 0.2565, -66.8902435, 0.2565, -2.2560976, 0.2565, 80.6097565, 0.0098654, -0.04448, 0.2565, 716.2805176, 0.2565, -80, 0.2565, -17.9268303, , , , , , , , , , , , , , , , , , , , , , 
0.0103846, -0.012253, 0.27, 109.3902435, 0.27, -109.8780518, 0.27, 118.0487823, 0.0103846, 0.0127565, 0.27, 98.6585388, 0.27, 370.7926941, 0.27, -107.8658524, 0.0103846, 0.021149, 0.27, -195.2439117, 0.27, -168.1707306, 0.27, -375.73172, 0.0103846, 0.0313878, 0.27, -394.9390259, 0.27, -148.5365906, 0.27, -593.7805176, 0.0103846, -0.0394446, 0.27, 102.9878082, 0.27, -59.4512215, 0.27, -48.1097565, 0.0103846, -0.0904707, 0.27, 386.7683105, 0.27, -99.9390259, 0.27, -189.8780518, 0.0103846, -0.0609293, 0.27, -51.1585388, 0.27, 29.8170738, 0.27, 67.3780518, 0.0103846, -0.0451514, 0.27, 741.2805176, 0.27, -175.0609741, 0.27, -42.4390259, , , , , , , , , , , , , , , , , , , , , , 
0.0109038, -0.0119173, 0.2835, 126.5243912, 0.2835, -98.8414688, 0.2835, 106.0975647, 0.0109038, 0.0028534, 0.2835, -26.280489, 0.2835, 161.4024353, 0.2835, -242.4390259, 0.0109038, 0.0224918, 0.2835, -175.5487823, 0.2835, -110.5487823, 0.2835, -303.5975647, 0.0109038, 0.0548867, 0.2835, -396.5853882, 0.2835, -56.8902435, 0.2835, -587.8048706, 0.0109038, -0.0370947, 0.2835, 73.0487823, 0.2835, -99.8780518, 0.2835, -109.2682953, 0.0109038, -0.1064164, 0.2835, 353.9024353, 0.2835, -71.2804871, 0.2835, -169.8170776, 0.0109038, -0.061265, 0.2835, -51.2804909, 0.2835, 49.0853653, 0.2835, 47.0121956, 0.0109038, -0.0327306, 0.2835, 719.6951294, 0.2835, -126.7682953, 0.2835, -87.0121994, , , , , , , , , , , , , , , , , , , , , , 
0.0114231, -0.0132601, 0.297, 196.0975647, 0.297, 32.3780479, 0.297, 84.4512253, 0.0114231, -0.0068818, 0.297, -77.9268341, 0.297, 8.0487804, 0.297, -295, 0.0114231, 0.0162814, 0.297, -70.6097565, 0.297, -109.2073212, 0.297, -216.9512177, 0.0114231, 0.0622721, 0.297, -377.6219482, 0.297, 76.2195129, 0.297, -573.5366211, 0.0114231, -0.0357519, 0.297, 62.2560997, 0.297, -61.0365868, 0.297, -124.7561035, 0.0114231, -0.096849, 0.297, 255.36586, 0.297, -43.9024391, 0.297, -94.9390259, 0.0114231, -0.0599222, 0.297, -71.6463394, 0.297, -7.0121951, 0.297, 31.0365868, 0.0114231, -0.0199741, 0.297, 675.4268188, 0.297, 38.6585388, 0.297, -106.5243912, , , , , , , , , , , , , , , , , , , , , , 
0.0119423, -0.0129244, 0.3105, 237.9268341, 0.3105, 100.4878082, 0.3105, 72.5, 0.0119423, -0.0236667, 0.3105, -173.1707306, 0.3105, -92.2561035, 0.3105, -282.5609741, 0.0119423, 0.0099031, 0.3105, 28.4146347, 0.3105, -146.7073212, 0.3105, -136.4024353, 0.0119423, 0.0493477, 0.3105, -332.1341553, 0.3105, 209.5731812, 0.3105, -572.3780518, 0.0119423, -0.0344091, 0.3105, 85.9756088, 0.3105, -45.1829262, 0.3105, -101.9512253, 0.0119423, -0.0622721, 0.3105, 161.9512177, 0.3105, -98.6585388, 0.3105, -0.3048781, 0.0119423, -0.0589151, 0.3105, -85.9146347, 0.3105, -111.4634171, 0.3105, 22.2560978, 0.0119423, -0.0085603, 0.3105, 666.2805176, 0.3105, 113.5975647, 0.3105, -106.8292694, , , , , , , , , , , , , , , , , , , , , , 
